EER;FMR;FNMR;THR;GDTHRGAngTHR;;;;;;;;;
8,0556;0;0,161111111;20;6;20;;;;;;;;
9,8611;0;0,197222222;30;6;40;;;EER;FMR;FNMR;THR;GDTHR;GAngTHR
10;0;0,2;30;10;20;;Maþiausias EER (FMR = 0);8,0556;0;0,161111111;20;6;20
10,9722;0;0,219444444;10;4;10;;Maþiausias EER (FMR - bet koks);9,3056;0,002777778;0,183333333;10;6;10
11,3889;0;0,227777778;20;4;20;;;;;;;;
11,3889;0;0,227777778;30;8;20;;;;;;;;
11,3889;0;0,227777778;30;6;30;;Matches;total;103680;;;;
12,0833;0;0,241666667;40;10;40;;406;;;;;;
13,0556;0;0,261111111;20;10;10;;;;;;;;
13,4722;0;0,269444444;40;10;30;;average;0,003915895;;;;;
13,75;0;0,275;20;8;10;;;;;;;;
13,8889;0;0,277777778;30;6;20;;;;;;;;
13,8889;0;0,277777778;40;8;40;;;;;;;;
15,2778;0;0,305555556;30;4;40;;;;;;;;
15,2778;0;0,305555556;40;8;30;;;;;;;;
16,25;0;0,325;40;10;20;;;;;;;;
16,8056;0;0,336111111;20;6;10;;;;;;;;
17,5;0;0,35;30;4;30;;;;;;;;
17,7778;0;0,355555556;50;10;50;;;;;;;;
18,1944;0;0,363888889;40;6;40;;;;;;;;
18,8889;0;0,377777778;40;8;20;;;;;;;;
19,7222;0;0,394444444;40;6;30;;;;;;;;
19,7222;0;0,394444444;50;10;40;;;;;;;;
20,5556;0;0,411111111;30;4;20;;;;;;;;
20,6944;0;0,413888889;30;10;10;;;;;;;;
20,9722;0;0,419444444;20;4;10;;;;;;;;
21,5278;0;0,430555556;50;10;30;;;;;;;;
21,8056;0;0,436111111;30;8;10;;;;;;;;
21,8056;0;0,436111111;50;8;50;;;;;;;;
22,9167;0;0,458333333;50;8;40;;;;;;;;
23,0556;0;0,461111111;40;6;20;;;;;;;;
23,75;0;0,475;40;4;50;;;;;;;;
24,5833;0;0,491666667;50;8;30;;;;;;;;
25;0;0,5;30;6;10;;;;;;;;
25;0;0,5;40;4;40;;;;;;;;
25,1389;0;0,502777778;50;6;60;;;;;;;;
25,2778;0;0,505555556;50;10;20;;;;;;;;
26,1111;0;0,522222222;50;6;50;;;;;;;;
26,5278;0;0,530555556;40;4;30;;;;;;;;
27,0833;0;0,541666667;50;6;40;;;;;;;;
27,2222;0;0,544444444;50;8;20;;;;;;;;
27,6389;0;0,552777778;60;10;60;;;;;;;;
28,4722;0;0,569444444;40;10;10;;;;;;;;
28,75;0;0,575;50;6;30;;;;;;;;
28,8889;0;0,577777778;60;10;50;;;;;;;;
29,5833;0;0,591666667;40;4;20;;;;;;;;
29,7222;0;0,594444444;60;10;40;;;;;;;;
30,1389;0;0,602777778;40;8;10;;;;;;;;
30,2778;0;0,605555556;30;4;10;;;;;;;;
30,4167;0;0,608333333;60;8;60;;;;;;;;
30,6944;0;0,613888889;50;6;20;;;;;;;;
31,1111;0;0,622222222;60;8;50;;;;;;;;
31,3889;0;0,627777778;50;4;60;;;;;;;;
31,3889;0;0,627777778;60;10;30;;;;;;;;
31,9444;0;0,638888889;50;4;50;;;;;;;;
31,9444;0;0,638888889;60;8;40;;;;;;;;
32,7778;0;0,655555556;40;6;10;;;;;;;;
32,7778;0;0,655555556;60;6;60;;;;;;;;
32,9167;0;0,658333333;60;8;30;;;;;;;;
33,3333;0;0,666666667;60;10;20;;;;;;;;
33,6111;0;0,672222222;50;4;40;;;;;;;;
33,75;0;0,675;60;6;50;;;;;;;;
34,0278;0;0,680555556;50;4;30;;;;;;;;
34,3056;0;0,686111111;60;6;40;;;;;;;;
34,7222;0;0,694444444;60;8;20;;;;;;;;
35;0;0,7;60;6;30;;;;;;;;
35,2778;0;0,705555556;50;4;20;;;;;;;;
35,6944;0;0,713888889;40;4;10;;;;;;;;
35,8333;0;0,716666667;50;10;10;;;;;;;;
36,25;0;0,725;60;6;20;;;;;;;;
36,6667;0;0,733333333;50;8;10;;;;;;;;
36,6667;0;0,733333333;60;4;60;;;;;;;;
36,9444;0;0,738888889;50;6;10;;;;;;;;
36,9444;0;0,738888889;60;4;50;;;;;;;;
37,3611;0;0,747222222;60;4;30;;;;;;;;
37,3611;0;0,747222222;60;4;40;;;;;;;;
38,0556;0;0,761111111;50;4;10;;;;;;;;
38,1944;0;0,763888889;60;4;20;;;;;;;;
38,4722;0;0,769444444;60;8;10;;;;;;;;
38,4722;0;0,769444444;60;10;10;;;;;;;;
38,6111;0;0,772222222;60;6;10;;;;;;;;
38,75;0;0,775;60;4;10;;;;;;;;
9,3056;0,002777778;0,183333333;10;6;10;;;;;;;;
16,8056;0,002777778;0,333333333;40;6;50;;;;;;;;
16,8056;0,002777778;0,333333333;50;10;60;;;;;;;;
22,9167;0,002777778;0,455555556;40;4;60;;;;;;;;
9,0278;0,005555556;0,175;20;4;30;;;;;;;;
9,4444;0,005555556;0,183333333;30;8;30;;;;;;;;
13,0556;0,005555556;0,255555556;40;8;50;;;;;;;;
14,1667;0,005555556;0,277777778;30;4;50;;;;;;;;
15,4167;0,005555556;0,302777778;40;6;60;;;;;;;;
20,6944;0,005555556;0,408333333;50;8;60;;;;;;;;
8,75;0,008333333;0,166666667;10;8;10;;;;;;;;
11,5278;0,008333333;0,222222222;40;10;50;;;;;;;;
8,0556;0,011111111;0,15;20;8;20;;;;;;;;
8,4722;0,011111111;0,158333333;10;10;10;;;;;;;;
8,6111;0,011111111;0,161111111;30;10;30;;;;;;;;
13,0556;0,016666667;0,244444444;30;4;60;;;;;;;;
12,9167;0,019444444;0,238888889;40;8;60;;;;;;;;
7,7778;0,022222222;0,133333333;20;4;40;;;;;;;;
8,4722;0,022222222;0,147222222;20;10;20;;;;;;;;
9,7222;0,022222222;0,172222222;30;6;50;;;;;;;;
7,5;0,030555556;0,119444444;10;4;20;;;;;;;;
9,3056;0,030555556;0,155555556;30;8;40;;;;;;;;
8,6111;0,033333333;0,138888889;20;6;30;;;;;;;;
12,0833;0,036111111;0,205555556;40;10;60;;;;;;;;
9,7222;0,05;0,144444444;30;10;40;;;;;;;;
10,5556;0,075;0,136111111;30;8;50;;;;;;;;
11,25;0,075;0,15;30;6;60;;;;;;;;
10,2778;0,080555556;0,125;20;8;30;;;;;;;;
10,2778;0,083333333;0,122222222;20;4;50;;;;;;;;
9,5833;0,086111111;0,105555556;10;6;20;;;;;;;;
10,9722;0,102777778;0,116666667;20;10;30;;;;;;;;
11,25;0,105555556;0,119444444;20;6;40;;;;;;;;
12,0833;0,119444444;0,122222222;30;10;50;;;;;;;;
13,6111;0,147222222;0,125;30;8;60;;;;;;;;
12,2222;0,152777778;0,091666667;10;4;30;;;;;;;;
12,6389;0,152777778;0,1;10;8;20;;;;;;;;
13,0556;0,158333333;0,102777778;20;4;60;;;;;;;;
14,1667;0,180555556;0,102777778;20;8;40;;;;;;;;
14,1667;0,194444444;0,088888889;10;10;20;;;;;;;;
15,4167;0,194444444;0,113888889;30;10;60;;;;;;;;
14,3056;0,197222222;0,088888889;20;6;50;;;;;;;;
17,7778;0,263888889;0,091666667;20;10;40;;;;;;;;
19,3056;0,308333333;0,077777778;20;8;50;;;;;;;;
19,4444;0,308333333;0,080555556;10;6;30;;;;;;;;
20,9722;0,341666667;0,077777778;20;6;60;;;;;;;;
20,5556;0,344444444;0,066666667;10;4;40;;;;;;;;
23,1944;0,397222222;0,066666667;20;10;50;;;;;;;;
25,5556;0,438888889;0,072222222;10;8;30;;;;;;;;
26,5278;0,472222222;0,058333333;20;8;60;;;;;;;;
28,0556;0,5;0,061111111;10;10;30;;;;;;;;
29,0278;0,533333333;0,047222222;10;4;50;;;;;;;;
29,8611;0,55;0,047222222;10;6;40;;;;;;;;
30,8333;0,561111111;0,055555556;20;10;60;;;;;;;;
35,2778;0,666666667;0,038888889;10;8;40;;;;;;;;
36,6667;0,697222222;0,036111111;10;6;50;;;;;;;;
36,9444;0,7;0,038888889;10;4;60;;;;;;;;
38,6111;0,738888889;0,033333333;10;10;40;;;;;;;;
39,8611;0,772222222;0,025;10;8;50;;;;;;;;
41,5278;0,808333333;0,022222222;10;6;60;;;;;;;;
42,3611;0,825;0,022222222;10;10;50;;;;;;;;
44,3056;0,875;0,011111111;10;8;60;;;;;;;;
45,8333;0,908333333;0,008333333;10;10;60;;;;;;;;
Matches;total;103680;;;;;;;;;;;
406;;;;;;;;;;;;;
