GATHR;EER;FMR;FNMR
TRESHOLD;15;;
0;38,8889;0;0,777777778
3;35;0;0,7
6;23,8889;0;0,477777778
9;19,4444;0;0,388888889
12;16,5278;0;0,330555556
15;15,4167;0,002777778;0,305555556
18;14,1667;0,005555556;0,277777778
21;13,3333;0,011111111;0,255555556
24;12,9167;0,011111111;0,247222222
27;13,4722;0,027777778;0,241666667
30;13,4722;0,044444444;0,225
33;14,1667;0,058333333;0,225
36;14,3056;0,066666667;0,219444444
39;14,7222;0,086111111;0,208333333
42;15,1389;0,094444444;0,208333333
45;15,1389;0,108333333;0,194444444
48;14,8611;0,119444444;0,177777778
51;15,1389;0,130555556;0,172222222
54;15,5556;0,144444444;0,166666667
57;15,9722;0,158333333;0,161111111
60;16,5278;0,180555556;0,15
63;17,6389;0,202777778;0,15
66;18,4722;0,225;0,144444444
69;19,3056;0,255555556;0,130555556
72;19,4444;0,263888889;0,125
75;19,7222;0,272222222;0,122222222
78;20,6944;0,294444444;0,119444444
81;21,25;0,308333333;0,116666667
84;21,25;0,316666667;0,108333333
87;22,5;0,341666667;0,108333333
