GDTHR;EER;FMR;FNMR
TRESHOLD;15;GlobAngThr;24
0;38,8889;0;0,777777778
1;30,2778;0;0,605555556
2;21,9444;0,002777778;0,436111111
3;17,6389;0,008333333;0,344444444
4;15,1389;0,011111111;0,291666667
5;14,1667;0,013888889;0,269444444
6;13,8889;0,022222222;0,255555556
7;13,6111;0,036111111;0,236111111
8;13,4722;0,044444444;0,225
9;12,6389;0,05;0,202777778
10;12,7778;0,061111111;0,194444444
11;12,7778;0,077777778;0,177777778
12;12,9167;0,086111111;0,172222222
13;12,5;0,094444444;0,155555556
14;12,9167;0,105555556;0,152777778
15;13,3333;0,122222222;0,144444444
16;13,4722;0,130555556;0,138888889
17;14,4444;0,152777778;0,136111111
18;14,5833;0,163888889;0,127777778
19;14,5833;0,172222222;0,119444444
