Features:; Ratha1995MinutiaeExtractor_Ratha1995SkeImgExtractor.jy
Average match time(ms):; 3,08594
EER(%):; 17,718
FMR100(%):; 30,357
FMR1000(%):; 44,286
ZeroFmr(%):; 44,286
Matcher:;JY
FMR;FNMR;Threshold
0,0000;0,4429;35,7389
0,0028;0,4429;35,6419
0,0028;0,3786;31,7361
0,0056;0,3786;31,3868
0,0056;0,3071;25,5655
0,0083;0,3071;25,4533
0,0083;0,3036;24,8482
0,0111;0,3036;24,8170
0,0111;0,2929;24,5078
0,0139;0,2929;24,4432
0,0139;0,2857;23,6362
0,0222;0,2857;23,3263
0,0222;0,2821;23,2954
0,0333;0,2821;22,9256
0,0333;0,2679;22,0412
0,0361;0,2679;21,9712
0,0361;0,2500;20,9960
0,0444;0,2500;20,4948
0,0444;0,2464;20,3706
0,0472;0,2464;20,3521
0,0472;0,2393;19,9965
0,0500;0,2393;19,7725
0,0500;0,2321;19,7026
0,0694;0,2321;19,0005
0,0694;0,2286;18,9582
0,0722;0,2286;18,9078
0,0722;0,2250;18,5591
0,0778;0,2250;18,1554
0,0778;0,2214;18,0228
0,0833;0,2214;17,8206
0,0833;0,2179;17,7219
0,1000;0,2179;17,5770
0,1000;0,2107;17,4222
0,1028;0,2107;17,4212
0,1028;0,2071;17,4108
0,1111;0,2071;17,2137
0,1111;0,2036;17,1876
0,1139;0,2036;17,1373
0,1139;0,2000;17,1280
0,1278;0,2000;16,7472
0,1278;0,1964;16,4293
0,1417;0,1964;16,1325
0,1417;0,1929;15,9749
0,1500;0,1929;15,9064
0,1500;0,1893;15,7863
0,1556;0,1893;15,5696
0,1556;0,1857;15,4968
0,1722;0,1857;14,9718
0,1722;0,1821;14,9617
0,2056;0,1821;13,7290
0,2056;0,1786;13,6854
0,2306;0,1786;13,1106
0,2306;0,1714;13,0393
0,2389;0,1714;12,8192
0,2389;0,1607;12,5328
0,2472;0,1607;12,4253
0,2472;0,1571;12,3713
0,2500;0,1571;12,2967
0,2500;0,1536;12,1312
0,2528;0,1536;12,1232
0,2528;0,1500;12,1090
0,2972;0,1500;11,4312
0,2972;0,1464;11,3811
0,3194;0,1464;11,2055
0,3194;0,1429;11,1490
0,3361;0,1429;10,5561
0,3361;0,1393;10,4662
0,3389;0,1393;10,4616
0,3389;0,1357;10,4464
0,3750;0,1357;9,4322
0,3750;0,1321;9,2741
0,3806;0,1321;9,1601
0,3806;0,1286;9,1600
0,3944;0,1286;9,0053
0,3944;0,1250;8,9231
0,4167;0,1250;7,3092
0,4167;0,1179;7,2648
0,4194;0,1179;7,1391
0,4194;0,1143;6,4333
0,4222;0,1143;6,1904
0,4222;0,1107;6,0607
1,0000;0,1107;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
