Features:; Ratha1995MinutiaeExtractor_Ratha1995OrImgExtractor.tk
Average match time(ms):; 4,72969
EER(%):; 16,845
FMR100(%):; 36,071
FMR1000(%):; 43,571
ZeroFmr(%):; 43,571
Matcher:;TK
FMR;FNMR;Threshold
0,0000;0,4357;0,0161
0,0028;0,4357;0,0157
0,0028;0,3750;0,0106
0,0056;0,3750;0,0104
0,0056;0,3679;0,0101
0,0083;0,3679;0,0098
0,0083;0,3607;0,0097
0,0111;0,3607;0,0093
0,0111;0,3500;0,0091
0,0139;0,3500;0,0090
0,0139;0,3357;0,0084
0,0167;0,3357;0,0084
0,0167;0,3107;0,0077
0,0194;0,3107;0,0077
0,0194;0,3036;0,0076
0,0222;0,3036;0,0075
0,0222;0,3000;0,0075
0,0250;0,3000;0,0075
0,0250;0,2929;0,0073
0,0278;0,2929;0,0072
0,0278;0,2893;0,0071
0,0306;0,2893;0,0070
0,0306;0,2821;0,0069
0,0389;0,2821;0,0067
0,0389;0,2786;0,0067
0,0417;0,2786;0,0065
0,0417;0,2750;0,0065
0,0472;0,2750;0,0060
0,0472;0,2643;0,0058
0,0500;0,2643;0,0056
0,0500;0,2536;0,0054
0,0583;0,2536;0,0052
0,0583;0,2464;0,0051
0,0611;0,2464;0,0049
0,0611;0,2357;0,0048
0,0694;0,2357;0,0047
0,0694;0,2286;0,0046
0,0806;0,2286;0,0046
0,0806;0,2179;0,0044
0,0972;0,2179;0,0042
0,0972;0,2036;0,0040
0,1056;0,2036;0,0038
0,1056;0,2000;0,0037
0,1139;0,2000;0,0037
0,1139;0,1929;0,0035
0,1278;0,1929;0,0034
0,1278;0,1893;0,0034
0,1306;0,1893;0,0034
0,1306;0,1857;0,0034
0,1389;0,1857;0,0033
0,1389;0,1821;0,0033
0,1583;0,1821;0,0032
0,1583;0,1786;0,0031
0,1944;0,1786;0,0028
0,1944;0,1714;0,0028
0,1972;0,1714;0,0028
0,1972;0,1679;0,0028
0,2167;0,1679;0,0026
0,2167;0,1643;0,0026
0,2250;0,1643;0,0026
0,2250;0,1536;0,0026
0,2333;0,1536;0,0026
0,2333;0,1500;0,0025
0,2389;0,1500;0,0025
0,2389;0,1464;0,0025
0,2528;0,1464;0,0025
0,2528;0,1429;0,0025
0,2722;0,1429;0,0024
0,2722;0,1393;0,0024
0,2750;0,1393;0,0023
0,2750;0,1321;0,0023
0,2889;0,1321;0,0023
0,2889;0,1286;0,0023
0,2944;0,1286;0,0023
0,2944;0,1250;0,0022
0,3056;0,1250;0,0022
0,3056;0,1179;0,0021
0,3250;0,1179;0,0020
0,3250;0,1143;0,0020
0,3333;0,1143;0,0020
0,3333;0,1107;0,0020
0,3361;0,1107;0,0020
0,3361;0,1071;0,0020
0,3417;0,1071;0,0020
0,3417;0,1036;0,0019
0,3694;0,1036;0,0018
0,3694;0,1000;0,0018
0,3778;0,1000;0,0018
0,3778;0,0964;0,0018
0,3806;0,0964;0,0018
0,3806;0,0929;0,0018
0,4000;0,0929;0,0017
0,4000;0,0893;0,0017
0,4083;0,0893;0,0017
0,4083;0,0857;0,0017
0,4361;0,0857;0,0016
0,4361;0,0786;0,0015
0,4528;0,0786;0,0015
0,4528;0,0750;0,0015
0,4639;0,0750;0,0015
0,4639;0,0714;0,0015
0,4778;0,0714;0,0014
0,4778;0,0679;0,0014
0,5083;0,0679;0,0013
0,5083;0,0643;0,0013
0,5194;0,0643;0,0013
0,5194;0,0607;0,0013
0,6111;0,0607;0,0010
0,6111;0,0571;0,0010
0,6250;0,0571;0,0010
0,6250;0,0536;0,0010
0,6361;0,0536;0,0009
0,6361;0,0500;0,0009
0,6472;0,0500;0,0009
0,6472;0,0464;0,0009
0,6611;0,0464;0,0009
0,6611;0,0429;0,0009
0,6833;0,0429;0,0008
0,6833;0,0393;0,0008
0,7306;0,0393;0,0007
0,7306;0,0357;0,0007
0,7583;0,0357;0,0006
0,7583;0,0321;0,0006
0,7667;0,0321;0,0006
0,7667;0,0286;0,0006
0,7972;0,0286;0,0005
0,7972;0,0214;0,0005
0,8111;0,0214;0,0004
0,8111;0,0179;0,0004
0,8500;0,0179;0,0004
0,8500;0,0143;0,0004
1,0000;0,0143;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
