Features:; Delaunay(Ratha1995MinutiaeExtractor).mtp
Average match time(ms):; 2,70000
EER(%):; 8,254
FMR100(%):; 22,143
FMR1000(%):; 24,643
ZeroFmr(%):; 24,643
Matcher:;MPN
FMR;FNMR;Threshold
0,0000;0,2464;28,3491
0,0028;0,2464;28,2843
0,0028;0,2214;25,8603
0,0111;0,2214;25,5994
0,0111;0,2143;25,4588
0,0139;0,2143;25,4462
0,0139;0,2071;25,4152
0,0167;0,2071;25,3225
0,0167;0,2036;24,9392
0,0194;0,2036;24,7016
0,0194;0,1714;22,5877
0,0222;0,1714;22,5374
0,0222;0,1643;22,2230
0,0250;0,1643;22,0465
0,0250;0,1571;21,8686
0,0306;0,1571;21,6787
0,0306;0,1321;20,5182
0,0333;0,1321;20,0327
0,0333;0,1286;20,0298
0,0361;0,1286;19,6827
0,0361;0,1250;19,2775
0,0389;0,1250;19,1706
0,0389;0,1179;19,0516
0,0417;0,1179;18,8639
0,0417;0,1143;18,7581
0,0444;0,1143;18,4793
0,0444;0,1107;18,3942
0,0528;0,1107;18,1956
0,0528;0,1071;18,0656
0,0556;0,1071;18,0021
0,0556;0,1036;17,9932
0,0639;0,1036;17,6777
0,0639;0,1000;17,5682
0,0722;0,1000;17,2891
0,0722;0,0929;17,0561
0,1139;0,0929;15,2145
0,1139;0,0857;14,9820
0,1250;0,0857;14,7344
0,1250;0,0821;14,7225
0,1278;0,0821;14,6647
0,1278;0,0750;14,4707
0,1611;0,0750;13,7361
0,1611;0,0714;13,7361
0,1750;0,0714;13,5929
0,1750;0,0679;13,5492
0,2528;0,0679;12,0714
0,2528;0,0643;11,9523
0,2556;0,0643;11,9048
0,2556;0,0571;11,8262
0,2778;0,0571;11,5865
0,2778;0,0536;11,5406
0,2861;0,0536;11,1636
0,2861;0,0500;11,1636
0,2944;0,0500;11,0940
0,2944;0,0464;11,0940
0,3000;0,0464;10,9632
0,3000;0,0429;10,9422
0,3861;0,0429;9,1192
0,3861;0,0357;9,0182
0,3917;0,0357;8,7039
0,3917;0,0321;8,6347
0,4667;0,0321;6,0708
0,4667;0,0286;5,9131
1,0000;0,0286;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
