Features:; Ratha1995MinutiaeExtractor_Ratha1995OrImgExtractor.tk
Average match time(ms):; 5,18594
EER(%):; 12,401
FMR100(%):; 25,714
FMR1000(%):; 35,714
ZeroFmr(%):; 35,714
Matcher:;MTK
FMR;FNMR;Threshold
0,0000;0,3571;0,0129
0,0028;0,3571;0,0129
0,0028;0,3071;0,0103
0,0056;0,3071;0,0099
0,0056;0,2750;0,0091
0,0083;0,2750;0,0085
0,0083;0,2571;0,0071
0,0167;0,2571;0,0066
0,0167;0,2464;0,0063
0,0222;0,2464;0,0058
0,0222;0,2393;0,0057
0,0250;0,2393;0,0057
0,0250;0,2143;0,0056
0,0278;0,2143;0,0055
0,0278;0,2107;0,0055
0,0333;0,2107;0,0054
0,0333;0,2071;0,0053
0,0444;0,2071;0,0049
0,0444;0,2000;0,0048
0,0472;0,2000;0,0047
0,0472;0,1964;0,0046
0,0500;0,1964;0,0046
0,0500;0,1929;0,0046
0,0611;0,1929;0,0045
0,0611;0,1821;0,0044
0,0639;0,1821;0,0043
0,0639;0,1786;0,0043
0,0667;0,1786;0,0042
0,0667;0,1750;0,0042
0,0806;0,1750;0,0040
0,0806;0,1679;0,0038
0,0833;0,1679;0,0038
0,0833;0,1643;0,0038
0,0944;0,1643;0,0037
0,0944;0,1571;0,0036
0,1028;0,1571;0,0035
0,1028;0,1536;0,0034
0,1056;0,1536;0,0034
0,1056;0,1429;0,0032
0,1111;0,1429;0,0032
0,1111;0,1357;0,0031
0,1194;0,1357;0,0031
0,1194;0,1286;0,0030
0,1306;0,1286;0,0029
0,1306;0,1250;0,0029
0,1389;0,1250;0,0029
0,1389;0,1214;0,0029
0,1444;0,1214;0,0028
0,1444;0,1143;0,0028
0,1500;0,1143;0,0027
0,1500;0,1107;0,0027
0,1611;0,1107;0,0026
0,1611;0,1071;0,0026
0,1861;0,1071;0,0025
0,1861;0,1036;0,0025
0,2056;0,1036;0,0024
0,2056;0,1000;0,0024
0,2111;0,1000;0,0024
0,2111;0,0964;0,0023
0,2528;0,0964;0,0021
0,2528;0,0929;0,0020
0,2694;0,0929;0,0020
0,2694;0,0893;0,0020
0,3056;0,0893;0,0019
0,3056;0,0857;0,0019
0,3139;0,0857;0,0018
0,3139;0,0821;0,0018
0,3389;0,0821;0,0017
0,3389;0,0786;0,0017
0,3583;0,0786;0,0017
0,3583;0,0750;0,0017
0,3778;0,0750;0,0016
0,3778;0,0714;0,0016
0,3861;0,0714;0,0016
0,3861;0,0679;0,0016
0,3889;0,0679;0,0016
0,3889;0,0643;0,0016
0,4889;0,0643;0,0013
0,4889;0,0607;0,0012
0,5056;0,0607;0,0012
0,5056;0,0571;0,0012
0,5139;0,0571;0,0012
0,5139;0,0536;0,0011
0,5611;0,0536;0,0010
0,5611;0,0500;0,0010
0,5944;0,0500;0,0010
0,5944;0,0429;0,0010
0,6583;0,0429;0,0008
0,6583;0,0357;0,0008
0,6750;0,0357;0,0008
0,6750;0,0321;0,0008
0,7333;0,0321;0,0006
0,7333;0,0286;0,0006
0,7500;0,0286;0,0006
0,7500;0,0250;0,0006
0,7750;0,0250;0,0006
0,7750;0,0214;0,0006
0,8306;0,0214;0,0005
0,8306;0,0179;0,0005
0,8500;0,0179;0,0005
0,8500;0,0143;0,0005
0,9750;0,0143;0,0001
0,9750;0,0107;0,0001
1,0000;0,0107;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
