Features:; Ratha1995MinutiaeExtractor_Ratha1995OrImgExtractor.qyw
Average match time(ms):; 9,82031
EER(%):; 32,044
FMR100(%):; 67,857
FMR1000(%):; 77,500
ZeroFmr(%):; 77,500
Matcher:;QYW
FMR;FNMR;Threshold
0,0000;0,7750;0,5644
0,0028;0,7750;0,5638
0,0028;0,6857;0,4793
0,0056;0,6857;0,4751
0,0056;0,6821;0,4658
0,0083;0,6821;0,4646
0,0083;0,6786;0,4631
0,0167;0,6786;0,4564
0,0167;0,6679;0,4505
0,0194;0,6679;0,4487
0,0194;0,6500;0,4406
0,0250;0,6500;0,4394
0,0250;0,6321;0,4263
0,0333;0,6321;0,4179
0,0333;0,5929;0,3963
0,0361;0,5929;0,3960
0,0361;0,5786;0,3892
0,0389;0,5786;0,3869
0,0389;0,5714;0,3862
0,0444;0,5714;0,3817
0,0444;0,5679;0,3809
0,0500;0,5679;0,3765
0,0500;0,5643;0,3760
0,0611;0,5643;0,3743
0,0611;0,5571;0,3723
0,0833;0,5571;0,3666
0,0833;0,5536;0,3633
0,0861;0,5536;0,3623
0,0861;0,5357;0,3532
0,1000;0,5357;0,3509
0,1000;0,5107;0,3436
0,1167;0,5107;0,3413
0,1167;0,5036;0,3406
0,1250;0,5036;0,3382
0,1250;0,4964;0,3369
0,1278;0,4964;0,3369
0,1278;0,4857;0,3311
0,1306;0,4857;0,3309
0,1306;0,4750;0,3306
0,1333;0,4750;0,3306
0,1333;0,4714;0,3304
0,1389;0,4714;0,3297
0,1389;0,4607;0,3241
0,1500;0,4607;0,3199
0,1500;0,4464;0,3178
0,1611;0,4464;0,3108
0,1611;0,4393;0,3090
0,1667;0,4393;0,3082
0,1667;0,4286;0,3070
0,1694;0,4286;0,3065
0,1694;0,4250;0,3053
0,1778;0,4250;0,3022
0,1778;0,4214;0,3017
0,1806;0,4214;0,3010
0,1806;0,4143;0,3001
0,1833;0,4143;0,2997
0,1833;0,4107;0,2983
0,1917;0,4107;0,2970
0,1917;0,4071;0,2951
0,2056;0,4071;0,2937
0,2056;0,4036;0,2931
0,2083;0,4036;0,2903
0,2083;0,4000;0,2898
0,2250;0,4000;0,2861
0,2250;0,3893;0,2837
0,2361;0,3893;0,2832
0,2361;0,3857;0,2832
0,2417;0,3857;0,2828
0,2417;0,3821;0,2814
0,2583;0,3821;0,2769
0,2583;0,3786;0,2759
0,2611;0,3786;0,2753
0,2611;0,3714;0,2752
0,2639;0,3714;0,2735
0,2639;0,3679;0,2734
0,2667;0,3679;0,2732
0,2667;0,3643;0,2732
0,2806;0,3643;0,2702
0,2806;0,3536;0,2671
0,2861;0,3536;0,2660
0,2861;0,3500;0,2649
0,2889;0,3500;0,2646
0,2889;0,3429;0,2643
0,3000;0,3429;0,2624
0,3000;0,3357;0,2611
0,3028;0,3357;0,2607
0,3028;0,3321;0,2576
0,3083;0,3321;0,2574
0,3083;0,3250;0,2564
0,3194;0,3250;0,2548
0,3194;0,3214;0,2539
0,3250;0,3214;0,2518
0,3250;0,3107;0,2481
0,3306;0,3107;0,2481
0,3306;0,3071;0,2480
0,3417;0,3071;0,2477
0,3417;0,2964;0,2471
