Features:; Ratha1995MinutiaeExtractor_Ratha1995SkeImgExtractor.jy
Average match time(ms):; 4,35156
EER(%):; 19,226
FMR100(%):; 30,714
FMR1000(%):; 36,786
ZeroFmr(%):; 36,786
Matcher:;MJY
FMR;FNMR;Threshold
0,0000;0,3679;16,9811
0,0028;0,3679;16,6667
0,0028;0,3286;15,6863
0,0056;0,3286;15,3846
0,0056;0,3071;15,0685
0,0111;0,3071;14,5833
0,0111;0,3036;14,5161
0,0139;0,3036;14,2857
0,0139;0,2929;14,2857
0,0167;0,2929;14,0000
0,0167;0,2786;13,7255
0,0222;0,2786;13,6364
0,0222;0,2750;13,6364
0,0250;0,2750;13,5135
0,0250;0,2714;13,4615
0,0306;0,2714;13,3333
0,0306;0,2679;13,2075
0,0333;0,2679;13,1579
0,0333;0,2643;13,1579
0,0389;0,2643;13,0435
0,0389;0,2607;13,0435
0,0556;0,2607;12,2449
0,0556;0,2500;12,0690
0,0806;0,2500;11,5385
0,0806;0,2429;11,5385
0,0861;0,2429;11,4754
0,0861;0,2393;11,4286
0,1111;0,2393;11,1111
0,1111;0,2357;11,1111
0,1278;0,2357;10,6061
0,1278;0,2321;10,5263
0,1361;0,2321;10,4167
0,1361;0,2286;10,3448
0,1500;0,2286;10,2041
0,1500;0,2214;10,2041
0,1528;0,2214;10,1695
0,1528;0,2179;10,1695
0,1694;0,2179;10,0000
0,1694;0,2107;10,0000
0,1778;0,2107;9,8361
0,1778;0,2071;9,8361
0,1806;0,2071;9,8039
0,1806;0,2036;9,7222
0,1917;0,2036;9,6154
0,1917;0,1929;9,6154
0,2056;0,1929;9,4340
0,2056;0,1821;9,4340
0,2611;0,1821;9,0909
0,2611;0,1786;8,9109
0,2667;0,1786;8,8889
0,2667;0,1714;8,8889
0,2861;0,1714;8,6207
0,2861;0,1643;8,6207
0,3500;0,1643;8,1633
0,3500;0,1500;8,1633
0,3889;0,1500;8,1081
0,3889;0,1464;8,1081
0,4056;0,1464;8,0000
0,4056;0,1357;7,9208
0,4222;0,1357;7,8947
0,4222;0,1321;7,8947
0,4472;0,1321;7,5472
0,4472;0,1250;7,5472
0,5028;0,1250;6,9307
0,5028;0,1214;6,9307
0,5194;0,1214;6,8966
0,5194;0,1179;6,8966
0,5222;0,1179;6,8493
0,5222;0,1143;6,8493
0,5278;0,1143;6,8182
0,5278;0,1071;6,8182
0,5361;0,1071;6,7797
0,5361;0,1036;6,7797
0,5583;0,1036;6,6667
0,5583;0,0893;6,6667
0,5917;0,0893;6,4516
0,5917;0,0857;6,4516
0,6944;0,0857;5,9406
0,6944;0,0821;5,9406
0,7306;0,0821;5,7692
0,7306;0,0714;5,7692
0,7472;0,0714;5,6818
0,7472;0,0679;5,6818
0,7694;0,0679;5,6604
0,7694;0,0607;5,6604
0,7972;0,0607;5,5556
0,7972;0,0500;5,5556
0,8583;0,0500;5,1724
0,8583;0,0393;5,1724
0,8611;0,0393;5,0847
0,8611;0,0357;5,0847
0,8667;0,0357;4,9505
0,8667;0,0286;4,9505
0,9111;0,0286;4,4444
0,9111;0,0143;4,4444
0,9556;0,0143;3,9604
0,9556;0,0107;3,9604
0,9611;0,0107;3,8462
0,9611;0,0071;3,8462
0,9778;0,0071;3,4091
0,9778;0,0000;3,4091
1,0000;0,0000;2,8571
1,0000;0,0000;2,8571
1,0000;0,0000;2,8571
