Features:; Ratha1995MinutiaeExtractor_Ratha1995OrImgExtractor.qyw
Average match time(ms):; 11,57188
EER(%):; 21,310
FMR100(%):; 42,500
FMR1000(%):; 48,214
ZeroFmr(%):; 48,214
Matcher:;MQYW
FMR;FNMR;Threshold
0,0000;0,4821;0,3767
0,0028;0,4821;0,3760
0,0028;0,4714;0,3677
0,0056;0,4714;0,3675
0,0056;0,4250;0,3308
0,0111;0,4250;0,3178
0,0111;0,4107;0,3087
0,0167;0,4107;0,3060
0,0167;0,3893;0,2981
0,0194;0,3893;0,2961
0,0194;0,3821;0,2942
0,0222;0,3821;0,2941
0,0222;0,3750;0,2920
0,0250;0,3750;0,2917
0,0250;0,3679;0,2910
0,0278;0,3679;0,2904
0,0278;0,3643;0,2902
0,0361;0,3643;0,2868
0,0361;0,3607;0,2852
0,0389;0,3607;0,2837
0,0389;0,3571;0,2837
0,0417;0,3571;0,2834
0,0417;0,3500;0,2791
0,0472;0,3500;0,2780
0,0472;0,3393;0,2756
0,0556;0,3393;0,2708
0,0556;0,3250;0,2648
0,0583;0,3250;0,2647
0,0583;0,3214;0,2626
0,0611;0,3214;0,2623
0,0611;0,3143;0,2610
0,0750;0,3143;0,2563
0,0750;0,3071;0,2552
0,0806;0,3071;0,2483
0,0806;0,2929;0,2420
0,0833;0,2929;0,2417
0,0833;0,2893;0,2415
0,1139;0,2893;0,2365
0,1139;0,2857;0,2352
0,1167;0,2857;0,2335
0,1167;0,2821;0,2332
0,1278;0,2821;0,2309
0,1278;0,2786;0,2307
0,1306;0,2786;0,2293
0,1306;0,2750;0,2290
0,1333;0,2750;0,2287
0,1333;0,2714;0,2275
0,1444;0,2714;0,2256
0,1444;0,2643;0,2243
0,1472;0,2643;0,2241
0,1472;0,2607;0,2240
0,1500;0,2607;0,2236
0,1500;0,2571;0,2227
0,1556;0,2571;0,2205
0,1556;0,2536;0,2205
0,1611;0,2536;0,2205
0,1611;0,2464;0,2181
0,1639;0,2464;0,2165
0,1639;0,2429;0,2163
0,1861;0,2429;0,2124
0,1861;0,2393;0,2108
0,1944;0,2393;0,2105
0,1944;0,2321;0,2088
0,2000;0,2321;0,2065
0,2000;0,2286;0,2055
0,2056;0,2286;0,2052
0,2056;0,2250;0,2052
0,2083;0,2250;0,2051
0,2083;0,2179;0,2047
0,2194;0,2179;0,2031
0,2194;0,2107;0,2009
0,2222;0,2107;0,1991
0,2222;0,2071;0,1988
0,2333;0,2071;0,1985
0,2333;0,2036;0,1984
0,2361;0,2036;0,1984
0,2361;0,2000;0,1984
0,2417;0,2000;0,1981
0,2417;0,1964;0,1960
0,2472;0,1964;0,1938
0,2472;0,1929;0,1937
0,2556;0,1929;0,1930
0,2556;0,1893;0,1921
0,2694;0,1893;0,1891
0,2694;0,1857;0,1883
0,2722;0,1857;0,1881
0,2722;0,1821;0,1879
0,2861;0,1821;0,1860
0,2861;0,1786;0,1860
0,2972;0,1786;0,1830
0,2972;0,1750;0,1805
0,3111;0,1750;0,1782
0,3111;0,1714;0,1777
0,3306;0,1714;0,1744
0,3306;0,1607;0,1740
0,3361;0,1607;0,1728
0,3361;0,1571;0,1728
0,3417;0,1571;0,1725
0,3417;0,1500;0,1723
0,3472;0,1500;0,1713
0,3472;0,1429;0,1712
0,3500;0,1429;0,1710
0,3500;0,1393;0,1708
0,3556;0,1393;0,1702
0,3556;0,1357;0,1698
0,3639;0,1357;0,1691
0,3639;0,1321;0,1677
0,3667;0,1321;0,1676
0,3667;0,1286;0,1656
0,3694;0,1286;0,1656
0,3694;0,1250;0,1655
0,3861;0,1250;0,1653
0,3861;0,1214;0,1650
0,3944;0,1214;0,1621
0,3944;0,1179;0,1617
0,4139;0,1179;0,1586
0,4139;0,1143;0,1581
0,4750;0,1143;0,1497
0,4750;0,1107;0,1493
0,4889;0,1107;0,1485
0,4889;0,1071;0,1481
0,4944;0,1071;0,1471
0,4944;0,1036;0,1460
0,5083;0,1036;0,1452
0,5083;0,1000;0,1450
0,5417;0,1000;0,1416
0,5417;0,0929;0,1392
0,5472;0,0929;0,1389
0,5472;0,0893;0,1383
0,5639;0,0893;0,1367
0,5639;0,0857;0,1365
0,5694;0,0857;0,1355
0,5694;0,0821;0,1355
0,6111;0,0821;0,1293
0,6111;0,0786;0,1293
0,6139;0,0786;0,1286
0,6139;0,0750;0,1280
0,6167;0,0750;0,1279
0,6167;0,0714;0,1274
0,6611;0,0714;0,1238
0,6611;0,0679;0,1220
0,7444;0,0679;0,1136
0,7444;0,0643;0,1134
0,7583;0,0643;0,1104
0,7583;0,0607;0,1103
0,7639;0,0607;0,1074
0,7639;0,0571;0,1065
0,7889;0,0571;0,1026
0,7889;0,0536;0,1025
0,8000;0,0536;0,0993
0,8000;0,0500;0,0992
0,8139;0,0500;0,0968
0,8139;0,0464;0,0968
0,8306;0,0464;0,0953
0,8306;0,0429;0,0945
0,8528;0,0429;0,0901
0,8528;0,0393;0,0890
0,8583;0,0393;0,0883
0,8583;0,0357;0,0882
0,8750;0,0357;0,0862
0,8750;0,0286;0,0829
0,8972;0,0286;0,0794
0,8972;0,0250;0,0764
0,9250;0,0250;0,0707
0,9250;0,0179;0,0692
0,9417;0,0179;0,0662
0,9417;0,0143;0,0662
0,9722;0,0143;0,0551
0,9722;0,0107;0,0538
0,9806;0,0107;0,0497
0,9806;0,0071;0,0413
0,9944;0,0071;0,0321
0,9944;0,0036;0,0284
1,0000;0,0036;0,0249
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
