Features:; Ratha1995MinutiaeExtractor(4).mtp
Average match time(ms):; 0,96875
EER(%):; 10,278
FMR100(%):; 16,429
FMR1000(%):; 18,214
ZeroFmr(%):; 18,214
Matcher:;M3gl
FMR;FNMR;Threshold
0,0000;0,1821;0,0272
0,0028;0,1821;0,0269
0,0028;0,1679;0,0243
0,0083;0,1679;0,0220
0,0083;0,1643;0,0212
0,0111;0,1643;0,0208
0,0111;0,1607;0,0204
0,0167;0,1607;0,0187
0,0167;0,1571;0,0185
0,0278;0,1571;0,0165
0,0278;0,1536;0,0165
0,0361;0,1536;0,0163
0,0361;0,1464;0,0158
0,0417;0,1464;0,0154
0,0417;0,1429;0,0154
0,0556;0,1429;0,0146
0,0556;0,1393;0,0141
0,0583;0,1393;0,0136
0,0583;0,1321;0,0133
0,0611;0,1321;0,0131
0,0611;0,1286;0,0130
0,0639;0,1286;0,0128
0,0639;0,1214;0,0127
0,0667;0,1214;0,0125
0,0667;0,1179;0,0125
0,0806;0,1179;0,0123
0,0806;0,1143;0,0122
0,0889;0,1143;0,0120
0,0889;0,1107;0,0119
0,1028;0,1107;0,0113
0,1028;0,1071;0,0111
0,1056;0,1071;0,0111
0,1056;0,1000;0,0109
0,1139;0,1000;0,0109
0,1139;0,0929;0,0109
0,1167;0,0929;0,0108
0,1167;0,0893;0,0107
0,1694;0,0893;0,0091
0,1694;0,0857;0,0090
0,1861;0,0857;0,0089
0,1861;0,0821;0,0088
0,2111;0,0821;0,0085
0,2111;0,0786;0,0085
0,2194;0,0786;0,0083
0,2194;0,0714;0,0082
0,2222;0,0714;0,0082
0,2222;0,0607;0,0081
0,2250;0,0607;0,0081
0,2250;0,0571;0,0080
0,2333;0,0571;0,0079
0,2333;0,0536;0,0079
0,2389;0,0536;0,0078
0,2389;0,0500;0,0077
0,4722;0,0500;0,0049
0,4722;0,0464;0,0049
0,5083;0,0464;0,0047
0,5083;0,0429;0,0047
0,5417;0,0429;0,0043
0,5417;0,0393;0,0043
0,5556;0,0393;0,0042
0,5556;0,0357;0,0042
0,6250;0,0357;0,0037
0,6250;0,0321;0,0036
0,6333;0,0321;0,0036
0,6333;0,0286;0,0035
0,6389;0,0286;0,0035
0,6389;0,0250;0,0034
0,6417;0,0250;0,0034
0,6417;0,0214;0,0033
0,6611;0,0214;0,0031
0,6611;0,0179;0,0031
0,6639;0,0179;0,0030
0,6639;0,0143;0,0030
0,6778;0,0143;0,0028
0,6778;0,0107;0,0028
0,6861;0,0107;0,0026
0,6861;0,0071;0,0026
0,7194;0,0071;0,0022
0,7194;0,0036;0,0018
1,0000;0,0036;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
