Features:; Ratha1995MinutiaeExtractor.pn
Average match time(ms):; 10,44375
EER(%):; 17,500
FMR100(%):; 24,286
FMR1000(%):; 26,429
ZeroFmr(%):; 26,429
Matcher:;PN
FMR;FNMR;Threshold
0,0000;0,2643;20,8893
0,0056;0,2643;19,3429
0,0056;0,2500;18,3942
0,0083;0,2500;18,1956
0,0083;0,2429;18,1818
0,0167;0,2429;17,4284
0,0167;0,2321;16,4488
0,0194;0,2321;15,8114
0,0194;0,2286;15,7725
0,0361;0,2286;14,6328
0,0361;0,2250;14,6176
0,0444;0,2250;14,2134
0,0444;0,2214;13,9973
0,0750;0,2214;12,0913
0,0750;0,2143;11,7738
0,1139;0,2143;10,3098
0,1139;0,2107;10,2041
0,1306;0,2107;9,6850
0,1306;0,2000;9,3790
0,1361;0,2000;9,2319
0,1361;0,1964;9,0680
0,1389;0,1964;9,0351
0,1389;0,1929;9,0351
0,1417;0,1929;8,9309
0,1417;0,1893;8,9087
0,1639;0,1893;8,3333
0,1639;0,1821;8,2690
0,1694;0,1821;8,1792
0,1694;0,1786;8,1011
0,1750;0,1786;7,8246
0,1750;0,1750;7,7703
0,1833;0,1750;7,5235
0,1833;0,1714;7,3914
0,1972;0,1714;7,1429
0,1972;0,1679;7,1348
0,2028;0,1679;6,9061
0,2028;0,1643;6,8259
0,2083;0,1643;6,8182
0,2083;0,1607;6,7612
0,2194;0,1607;6,5760
0,2194;0,1571;6,5433
0,2222;0,1571;6,5279
0,2222;0,1536;6,4760
0,2361;0,1536;6,0523
0,2361;0,1464;5,7307
0,2417;0,1464;5,6344
0,2417;0,1429;5,4672
0,2611;0,1429;4,3519
0,2611;0,1393;4,2806
0,2694;0,1393;4,1396
0,2694;0,1286;3,5921
0,2833;0,1286;2,6547
0,2833;0,1250;2,6082
1,0000;0,1250;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
