Features:; Ratha1995MinutiaeExtractor_Ratha1995SkeImgExtractor.jy
Average match time(ms):; 2,18906
EER(%):; 29,683
FMR100(%):; 48,929
FMR1000(%):; 53,571
ZeroFmr(%):; 53,571
Matcher:;JY
FMR;FNMR;Threshold
0,0000;0,5357;30,6018
0,0028;0,5357;29,6650
0,0028;0,4964;27,2024
0,0083;0,4964;26,7472
0,0083;0,4893;26,2935
0,0167;0,4893;25,7309
0,0167;0,4857;25,6620
0,0222;0,4857;25,4961
0,0222;0,4786;25,2175
0,0250;0,4786;24,9257
0,0250;0,4679;24,4831
0,0278;0,4679;24,3631
0,0278;0,4571;23,9632
0,0306;0,4571;23,8801
0,0306;0,4464;23,3867
0,0417;0,4464;22,4790
0,0417;0,4393;22,0119
0,0583;0,4393;21,4177
0,0583;0,4250;21,2462
0,0639;0,4250;20,9260
0,0639;0,4214;20,9025
0,0694;0,4214;20,5797
0,0694;0,4107;19,9025
0,0722;0,4107;19,8915
0,0722;0,4071;19,8743
0,0778;0,4071;19,8359
0,0778;0,3964;19,4296
0,0806;0,3964;19,3942
0,0806;0,3893;19,3499
0,1028;0,3893;18,9323
0,1028;0,3857;18,8427
0,1056;0,3857;18,7207
0,1056;0,3821;18,5267
0,1167;0,3821;17,8485
0,1167;0,3786;17,6324
0,1194;0,3786;17,4940
0,1194;0,3714;17,1924
0,1250;0,3714;16,9387
0,1250;0,3679;16,8934
0,1278;0,3679;16,8190
0,1278;0,3643;16,5752
0,1333;0,3643;16,5180
0,1333;0,3607;16,4188
0,1361;0,3607;16,3758
0,1361;0,3571;16,3722
0,1556;0,3571;15,7275
0,1556;0,3536;15,6673
0,1583;0,3536;15,6071
0,1583;0,3500;15,5957
0,1639;0,3500;15,3982
0,1639;0,3464;15,3930
0,1667;0,3464;15,2712
0,1667;0,3429;15,1330
0,1972;0,3429;13,3786
0,1972;0,3393;13,2268
0,2028;0,3393;13,1478
0,2028;0,3357;13,1364
0,2139;0,3357;12,9898
0,2139;0,3321;12,9737
0,2194;0,3321;12,8506
0,2194;0,3286;12,8503
0,2583;0,3286;11,4577
0,2583;0,3250;11,3718
0,2611;0,3250;11,3710
0,2611;0,3214;11,1288
0,2750;0,3214;10,6695
0,2750;0,3179;10,5730
0,2778;0,3179;10,5656
0,2778;0,3143;10,4002
0,2889;0,3143;9,9526
0,2889;0,3036;9,8614
0,2944;0,3036;9,3894
0,2944;0,3000;9,2998
0,2972;0,3000;9,2866
0,2972;0,2964;9,1370
0,3167;0,2964;7,6960
0,3167;0,2929;7,2448
0,3194;0,2929;7,0183
0,3194;0,2893;6,8519
0,3222;0,2893;6,2649
0,3222;0,2821;5,9221
1,0000;0,2821;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
