Features:; Ratha1995MinutiaeExtractor.pn
Average match time(ms):; 4,77813
EER(%):; 24,583
FMR100(%):; 45,357
FMR1000(%):; 60,357
ZeroFmr(%):; 60,357
Matcher:;PN
FMR;FNMR;Threshold
0,0000;0,6036;35,7143
0,0028;0,6036;35,4787
0,0028;0,5393;26,4628
0,0056;0,5393;26,1861
0,0056;0,5179;24,7594
0,0083;0,5179;24,4899
0,0083;0,4536;18,8562
0,0139;0,4536;18,3117
0,0139;0,4464;17,9592
0,0167;0,4464;17,6419
0,0167;0,4429;17,3276
0,0194;0,4429;17,1499
0,0194;0,4393;17,1448
0,0222;0,4393;16,9842
0,0222;0,4321;16,8408
0,0250;0,4321;16,8232
0,0250;0,4286;16,6667
0,0306;0,4286;16,3299
0,0306;0,4250;16,3178
0,0333;0,4250;16,2698
0,0333;0,4107;15,8777
0,0500;0,4107;15,0619
0,0500;0,3964;14,4338
0,0556;0,3964;14,3267
0,0556;0,3929;14,3040
0,0722;0,3929;13,3631
0,0722;0,3893;13,1972
0,0750;0,3893;13,1876
0,0750;0,3821;12,7357
0,0806;0,3821;12,6491
0,0806;0,3714;12,4073
0,0833;0,3714;12,3443
0,0833;0,3679;12,3091
0,0861;0,3679;12,2980
0,0861;0,3643;12,0873
0,1056;0,3643;11,5470
0,1056;0,3607;11,5011
0,1083;0,3607;11,4939
0,1083;0,3571;11,3715
0,1139;0,3571;11,2687
0,1139;0,3536;11,2523
0,1167;0,3536;11,1746
0,1167;0,3500;11,1456
0,1278;0,3500;10,3457
0,1278;0,3429;9,9381
0,1306;0,3429;9,9340
0,1306;0,3357;9,5482
0,1333;0,3357;9,5258
0,1333;0,3321;9,1670
0,1444;0,3321;8,9087
0,1444;0,3286;8,8561
0,1500;0,3286;8,5749
0,1500;0,3214;8,4472
0,1583;0,3214;7,9682
0,1583;0,3143;7,8431
0,1667;0,3143;7,4536
0,1667;0,3000;7,1429
0,1722;0,3000;6,9636
0,1722;0,2929;6,5372
0,1917;0,2929;5,7735
0,1917;0,2893;5,3916
0,1944;0,2893;5,2705
0,1944;0,2857;5,2462
0,2083;0,2857;4,0842
0,2083;0,2821;3,5136
0,2167;0,2821;2,8307
0,2167;0,2750;2,4754
1,0000;0,2750;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
