Features:; Ratha1995MinutiaeExtractor_Ratha1995OrImgExtractor.tk
Average match time(ms):; 3,48906
EER(%):; 13,591
FMR100(%):; 32,500
FMR1000(%):; 33,214
ZeroFmr(%):; 33,214
Matcher:;MTK
FMR;FNMR;Threshold
0,0000;0,3321;0,0104
0,0083;0,3321;0,0102
0,0083;0,3250;0,0102
0,0111;0,3250;0,0101
0,0111;0,2893;0,0093
0,0139;0,2893;0,0093
0,0139;0,2857;0,0092
0,0167;0,2857;0,0092
0,0167;0,2821;0,0091
0,0194;0,2821;0,0089
0,0194;0,2679;0,0085
0,0222;0,2679;0,0083
0,0222;0,2536;0,0081
0,0250;0,2536;0,0080
0,0250;0,2464;0,0077
0,0306;0,2464;0,0075
0,0306;0,2357;0,0074
0,0361;0,2357;0,0073
0,0361;0,2321;0,0071
0,0389;0,2321;0,0071
0,0389;0,2250;0,0070
0,0444;0,2250;0,0067
0,0444;0,2214;0,0066
0,0500;0,2214;0,0064
0,0500;0,2179;0,0063
0,0528;0,2179;0,0062
0,0528;0,2143;0,0062
0,0611;0,2143;0,0061
0,0611;0,2107;0,0061
0,0639;0,2107;0,0060
0,0639;0,2071;0,0059
0,0750;0,2071;0,0058
0,0750;0,1893;0,0056
0,0806;0,1893;0,0056
0,0806;0,1821;0,0053
0,1056;0,1821;0,0049
0,1056;0,1714;0,0047
0,1083;0,1714;0,0047
0,1083;0,1607;0,0046
0,1111;0,1607;0,0046
0,1111;0,1536;0,0046
0,1222;0,1536;0,0045
0,1222;0,1464;0,0044
0,1250;0,1464;0,0044
0,1250;0,1393;0,0043
0,1361;0,1393;0,0043
0,1361;0,1357;0,0042
0,1389;0,1357;0,0042
0,1389;0,1321;0,0042
0,1556;0,1321;0,0040
0,1556;0,1286;0,0040
0,1611;0,1286;0,0039
0,1611;0,1214;0,0039
0,1722;0,1214;0,0038
0,1722;0,1179;0,0038
0,2000;0,1179;0,0036
0,2000;0,1143;0,0036
0,2083;0,1143;0,0035
0,2083;0,1107;0,0035
0,2139;0,1107;0,0034
0,2139;0,1071;0,0034
0,2167;0,1071;0,0034
0,2167;0,1036;0,0034
0,2306;0,1036;0,0032
0,2306;0,0964;0,0032
0,2667;0,0964;0,0029
0,2667;0,0893;0,0029
0,2750;0,0893;0,0028
0,2750;0,0857;0,0028
0,2917;0,0857;0,0028
0,2917;0,0821;0,0028
0,3194;0,0821;0,0026
0,3194;0,0750;0,0026
0,3306;0,0750;0,0025
0,3306;0,0714;0,0025
0,3389;0,0714;0,0024
0,3389;0,0679;0,0024
0,3472;0,0679;0,0024
0,3472;0,0643;0,0024
0,3639;0,0643;0,0023
0,3639;0,0607;0,0023
0,4028;0,0607;0,0021
0,4028;0,0571;0,0021
0,4333;0,0571;0,0020
0,4333;0,0536;0,0020
0,4806;0,0536;0,0018
0,4806;0,0500;0,0018
0,4972;0,0500;0,0018
0,4972;0,0464;0,0018
0,5417;0,0464;0,0017
0,5417;0,0429;0,0017
0,6528;0,0429;0,0013
0,6528;0,0393;0,0013
0,6556;0,0393;0,0013
0,6556;0,0357;0,0013
0,6833;0,0357;0,0013
0,6833;0,0321;0,0013
0,7444;0,0321;0,0011
0,7444;0,0286;0,0011
0,8667;0,0286;0,0008
0,8667;0,0250;0,0008
0,8750;0,0250;0,0007
0,8750;0,0214;0,0007
0,9111;0,0214;0,0006
0,9111;0,0179;0,0005
0,9278;0,0179;0,0005
0,9278;0,0143;0,0005
0,9556;0,0143;0,0003
0,9556;0,0107;0,0003
1,0000;0,0107;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
