Features:; Ratha1995MinutiaeExtractor(4).mtp
Average match time(ms):; 0,71719
EER(%):; 22,222
FMR100(%):; 36,429
FMR1000(%):; 43,571
ZeroFmr(%):; 43,571
Matcher:;M3gl
FMR;FNMR;Threshold
0,0000;0,4357;0,0647
0,0028;0,4357;0,0611
0,0028;0,4179;0,0577
0,0056;0,4179;0,0545
0,0056;0,3786;0,0379
0,0083;0,3786;0,0370
0,0083;0,3643;0,0363
0,0139;0,3643;0,0362
0,0139;0,3607;0,0362
0,0167;0,3607;0,0349
0,0167;0,3429;0,0318
0,0194;0,3429;0,0311
0,0194;0,3286;0,0301
0,0250;0,3286;0,0289
0,0250;0,3179;0,0268
0,0472;0,3179;0,0256
0,0472;0,3107;0,0248
0,0528;0,3107;0,0248
0,0528;0,3071;0,0246
0,0722;0,3071;0,0230
0,0722;0,3036;0,0230
0,0750;0,3036;0,0228
0,0750;0,3000;0,0222
0,0778;0,3000;0,0221
0,0778;0,2964;0,0221
0,0833;0,2964;0,0216
0,0833;0,2929;0,0213
0,0861;0,2929;0,0211
0,0861;0,2893;0,0210
0,0917;0,2893;0,0206
0,0917;0,2857;0,0205
0,1167;0,2857;0,0196
0,1167;0,2821;0,0196
0,1444;0,2821;0,0182
0,1444;0,2750;0,0178
0,1639;0,2750;0,0173
0,1639;0,2714;0,0173
0,1694;0,2714;0,0172
0,1694;0,2679;0,0172
0,1778;0,2679;0,0168
0,1778;0,2643;0,0168
0,1861;0,2643;0,0165
0,1861;0,2536;0,0164
0,1944;0,2536;0,0163
0,1944;0,2500;0,0162
0,1972;0,2500;0,0162
0,1972;0,2464;0,0162
0,2056;0,2464;0,0157
0,2056;0,2429;0,0157
0,2111;0,2429;0,0155
0,2111;0,2357;0,0153
0,2139;0,2357;0,0152
0,2139;0,2321;0,0152
0,2167;0,2321;0,0151
0,2167;0,2286;0,0151
0,2194;0,2286;0,0150
0,2194;0,2250;0,0150
0,2333;0,2250;0,0145
0,2333;0,2214;0,0144
0,2389;0,2214;0,0144
0,2389;0,2179;0,0144
0,2472;0,2179;0,0143
0,2472;0,2143;0,0142
0,2500;0,2143;0,0141
0,2500;0,2107;0,0140
0,2611;0,2107;0,0138
0,2611;0,2036;0,0138
0,2778;0,2036;0,0136
0,2778;0,2000;0,0135
0,2833;0,2000;0,0133
0,2833;0,1964;0,0133
0,2917;0,1964;0,0132
0,2917;0,1857;0,0132
0,3000;0,1857;0,0130
0,3000;0,1821;0,0129
0,3306;0,1821;0,0119
0,3306;0,1750;0,0116
0,3333;0,1750;0,0115
0,3333;0,1714;0,0115
0,3556;0,1714;0,0112
0,3556;0,1679;0,0111
0,3611;0,1679;0,0111
0,3611;0,1643;0,0111
0,3778;0,1643;0,0106
0,3778;0,1607;0,0106
0,3889;0,1607;0,0102
0,3889;0,1571;0,0101
0,4083;0,1571;0,0097
0,4083;0,1536;0,0097
0,4111;0,1536;0,0097
0,4111;0,1429;0,0095
0,4167;0,1429;0,0095
0,4167;0,1393;0,0095
0,4472;0,1393;0,0088
0,4472;0,1357;0,0087
0,4500;0,1357;0,0087
0,4500;0,1321;0,0086
0,4639;0,1321;0,0085
0,4639;0,1214;0,0084
0,4806;0,1214;0,0082
0,4806;0,1143;0,0080
0,4861;0,1143;0,0080
0,4861;0,1107;0,0080
0,4917;0,1107;0,0079
0,4917;0,1071;0,0078
0,5056;0,1071;0,0074
0,5056;0,1036;0,0074
0,5194;0,1036;0,0074
0,5194;0,1000;0,0074
0,5556;0,1000;0,0069
0,5556;0,0964;0,0069
0,5694;0,0964;0,0068
0,5694;0,0929;0,0067
0,5750;0,0929;0,0067
0,5750;0,0857;0,0066
0,6083;0,0857;0,0063
0,6083;0,0821;0,0062
0,6528;0,0821;0,0056
0,6528;0,0714;0,0056
0,6556;0,0714;0,0055
0,6556;0,0679;0,0055
0,6694;0,0679;0,0053
0,6694;0,0607;0,0051
0,6750;0,0607;0,0051
0,6750;0,0536;0,0050
0,6944;0,0536;0,0048
0,6944;0,0500;0,0047
0,7028;0,0500;0,0042
0,7028;0,0464;0,0042
0,7056;0,0464;0,0042
0,7056;0,0429;0,0041
0,7361;0,0429;0,0028
0,7361;0,0286;0,0015
1,0000;0,0286;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
