Features:; Ratha1995MinutiaeExtractor_Ratha1995SkeImgExtractor.jy
Average match time(ms):; 2,74375
EER(%):; 27,996
FMR100(%):; 55,357
FMR1000(%):; 59,643
ZeroFmr(%):; 59,643
Matcher:;MJY
FMR;FNMR;Threshold
0,0000;0,5964;20,4545
0,0028;0,5964;20,0000
0,0028;0,5714;19,4444
0,0056;0,5714;19,2308
0,0056;0,5643;19,2308
0,0083;0,5643;18,5185
0,0083;0,5536;17,7778
0,0111;0,5536;17,6471
0,0111;0,5464;17,3077
0,0167;0,5464;17,2414
0,0167;0,5393;17,1429
0,0250;0,5393;16,6667
0,0250;0,5250;16,6667
0,0306;0,5250;16,0000
0,0306;0,5071;15,6863
0,0333;0,5071;15,6250
0,0333;0,5036;15,5556
0,0389;0,5036;15,3846
0,0389;0,4964;15,0943
0,0417;0,4964;15,0000
0,0417;0,4929;15,0000
0,0472;0,4929;14,7059
0,0472;0,4857;14,7059
0,0556;0,4857;14,2857
0,0556;0,4643;14,0351
0,0611;0,4643;13,8889
0,0611;0,4607;13,8889
0,0750;0,4607;13,7931
0,0750;0,4571;13,7931
0,0778;0,4571;13,7255
0,0778;0,4464;13,4615
0,0861;0,4464;13,3333
0,0861;0,4321;13,3333
0,0917;0,4321;13,1579
0,0917;0,4286;13,1579
0,0972;0,4286;13,0435
0,0972;0,4214;12,6984
0,1111;0,4214;12,5000
0,1111;0,3929;12,2807
0,1639;0,3929;12,0000
0,1639;0,3821;12,0000
0,1694;0,3821;11,9048
0,1694;0,3750;11,9048
0,1778;0,3750;11,7647
0,1778;0,3643;11,7647
0,1806;0,3643;11,6279
0,1806;0,3607;11,6279
0,2028;0,3607;11,5385
0,2028;0,3393;11,5385
0,2056;0,3393;11,4286
0,2056;0,3357;11,4286
0,2111;0,3357;11,3636
0,2111;0,3250;11,3208
0,2361;0,3250;11,1111
0,2361;0,3179;11,1111
0,2389;0,3179;10,9375
0,2389;0,3107;10,9375
0,2417;0,3107;10,7143
0,2417;0,3000;10,7143
0,2528;0,3000;10,5263
0,2528;0,2857;10,5263
0,2778;0,2857;10,2564
0,2778;0,2821;10,2564
0,3250;0,2821;10,0000
0,3250;0,2536;10,0000
0,3278;0,2536;9,8039
0,3278;0,2464;9,8039
0,3333;0,2464;9,6154
0,3333;0,2429;9,6154
0,3528;0,2429;9,5238
0,3528;0,2357;9,5238
0,3583;0,2357;9,4340
0,3583;0,2321;9,4340
0,3750;0,2321;9,2593
0,3750;0,2250;9,1743
0,3889;0,2250;9,0909
0,3889;0,2214;9,0909
0,4000;0,2214;8,8889
0,4000;0,2143;8,8889
0,4083;0,2143;8,8235
0,4083;0,2071;8,8235
0,4111;0,2071;8,7719
0,4111;0,2036;8,7719
0,4278;0,2036;8,6957
0,4278;0,1964;8,6957
0,4556;0,1964;8,3333
0,4556;0,1786;8,2569
0,4667;0,1786;8,0000
0,4667;0,1714;8,0000
0,4722;0,1714;7,9365
0,4722;0,1607;7,9365
0,4972;0,1607;7,8947
0,4972;0,1571;7,8947
0,5139;0,1571;7,8431
0,5139;0,1536;7,8431
0,5167;0,1536;7,7778
0,5167;0,1500;7,7778
0,5500;0,1500;7,6923
0,5500;0,1321;7,6923
0,5611;0,1321;7,5472
0,5611;0,1286;7,5472
0,5889;0,1286;7,5000
0,5889;0,1250;7,5000
0,6000;0,1250;7,4074
0,6000;0,1179;7,3394
0,6556;0,1179;7,1429
0,6556;0,1036;7,1429
0,6639;0,1036;7,0175
0,6639;0,1000;7,0175
0,6778;0,1000;6,9767
0,6778;0,0964;6,9767
0,6917;0,0964;6,8966
0,6917;0,0929;6,8966
0,7000;0,0929;6,8182
0,7000;0,0893;6,8182
0,7472;0,0893;6,6667
0,7472;0,0714;6,6667
0,7639;0,0714;6,3492
0,7639;0,0571;6,3492
0,7722;0,0571;6,2500
0,7722;0,0536;6,2500
0,8028;0,0536;5,8824
0,8028;0,0464;5,8824
0,8444;0,0464;5,5556
0,8444;0,0321;5,5556
0,8500;0,0321;5,5046
0,8500;0,0286;5,5046
0,8778;0,0286;5,3571
0,8778;0,0214;5,3571
0,9361;0,0214;4,7619
0,9361;0,0179;4,7619
0,9528;0,0179;4,6875
0,9528;0,0143;4,6875
0,9611;0,0143;4,4444
0,9611;0,0071;4,0000
0,9806;0,0071;3,6697
0,9806;0,0036;3,6697
1,0000;0,0036;2,7523
1,0000;0,0000;2,7523
1,0000;0,0000;2,7523
1,0000;0,0000;2,7523
