Features:; Ratha1995MinutiaeExtractor_Ratha1995OrImgExtractor.tk
Average match time(ms):; 3,05469
EER(%):; 15,258
FMR100(%):; 33,214
FMR1000(%):; 62,500
ZeroFmr(%):; 62,500
Matcher:;TK
FMR;FNMR;Threshold
0,0000;0,6250;0,0289
0,0028;0,6250;0,0283
0,0028;0,3893;0,0114
0,0056;0,3893;0,0112
0,0056;0,3607;0,0103
0,0083;0,3607;0,0102
0,0083;0,3321;0,0091
0,0111;0,3321;0,0091
0,0111;0,3286;0,0090
0,0194;0,3286;0,0087
0,0194;0,3107;0,0081
0,0222;0,3107;0,0079
0,0222;0,3000;0,0077
0,0250;0,3000;0,0077
0,0250;0,2714;0,0070
0,0278;0,2714;0,0068
0,0278;0,2679;0,0068
0,0333;0,2679;0,0066
0,0333;0,2607;0,0064
0,0389;0,2607;0,0063
0,0389;0,2464;0,0061
0,0417;0,2464;0,0060
0,0417;0,2429;0,0060
0,0444;0,2429;0,0059
0,0444;0,2393;0,0058
0,0472;0,2393;0,0058
0,0472;0,2357;0,0058
0,0528;0,2357;0,0057
0,0528;0,2321;0,0056
0,0639;0,2321;0,0054
0,0639;0,2214;0,0054
0,0667;0,2214;0,0054
0,0667;0,2179;0,0053
0,0694;0,2179;0,0053
0,0694;0,2143;0,0052
0,0750;0,2143;0,0049
0,0750;0,2036;0,0048
0,0778;0,2036;0,0046
0,0778;0,1964;0,0046
0,0833;0,1964;0,0044
0,0833;0,1929;0,0044
0,0861;0,1929;0,0043
0,0861;0,1857;0,0042
0,0889;0,1857;0,0042
0,0889;0,1821;0,0042
0,1056;0,1821;0,0040
0,1056;0,1786;0,0040
0,1083;0,1786;0,0040
0,1083;0,1750;0,0040
0,1278;0,1750;0,0038
0,1278;0,1714;0,0038
0,1361;0,1714;0,0038
0,1361;0,1679;0,0037
0,1444;0,1679;0,0037
0,1444;0,1607;0,0036
0,1722;0,1607;0,0034
0,1722;0,1536;0,0033
0,1806;0,1536;0,0032
0,1806;0,1464;0,0032
0,1889;0,1464;0,0031
0,1889;0,1429;0,0031
0,2167;0,1429;0,0030
0,2167;0,1393;0,0029
0,2194;0,1393;0,0029
0,2194;0,1357;0,0029
0,2444;0,1357;0,0028
0,2444;0,1321;0,0028
0,2639;0,1321;0,0027
0,2639;0,1286;0,0027
0,2722;0,1286;0,0027
0,2722;0,1250;0,0027
0,2917;0,1250;0,0026
0,2917;0,1143;0,0025
0,3056;0,1143;0,0025
0,3056;0,1071;0,0024
0,3111;0,1071;0,0024
0,3111;0,1000;0,0024
0,3278;0,1000;0,0023
0,3278;0,0964;0,0023
0,3472;0,0964;0,0022
0,3472;0,0893;0,0022
0,4361;0,0893;0,0019
0,4361;0,0857;0,0019
0,4917;0,0857;0,0017
0,4917;0,0821;0,0017
0,5028;0,0821;0,0017
0,5028;0,0786;0,0017
0,5306;0,0786;0,0016
0,5306;0,0750;0,0016
0,5472;0,0750;0,0016
0,5472;0,0714;0,0015
0,5889;0,0714;0,0014
0,5889;0,0679;0,0014
0,6444;0,0679;0,0012
0,6444;0,0643;0,0012
0,6750;0,0643;0,0012
0,6750;0,0607;0,0012
0,6806;0,0607;0,0011
0,6806;0,0571;0,0011
0,6972;0,0571;0,0011
0,6972;0,0536;0,0011
0,7167;0,0536;0,0010
0,7167;0,0500;0,0010
0,7417;0,0500;0,0010
0,7417;0,0464;0,0009
0,7444;0,0464;0,0009
0,7444;0,0429;0,0009
0,7500;0,0429;0,0009
0,7500;0,0393;0,0009
0,7611;0,0393;0,0009
0,7611;0,0357;0,0009
0,7639;0,0357;0,0009
0,7639;0,0321;0,0009
0,7806;0,0321;0,0008
0,7806;0,0286;0,0008
0,8028;0,0286;0,0008
0,8028;0,0250;0,0007
0,8056;0,0250;0,0007
0,8056;0,0214;0,0007
0,8750;0,0214;0,0005
0,8750;0,0179;0,0005
0,9139;0,0179;0,0004
0,9139;0,0143;0,0004
0,9250;0,0143;0,0003
0,9250;0,0107;0,0003
1,0000;0,0107;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
