Features:; Ratha1995MinutiaeExtractor_Ratha1995OrImgExtractor.qyw
Average match time(ms):; 6,39219
EER(%):; 22,401
FMR100(%):; 47,857
FMR1000(%):; 55,714
ZeroFmr(%):; 55,714
Matcher:;MQYW
FMR;FNMR;Threshold
0,0000;0,5571;0,4586
0,0028;0,5571;0,4556
0,0028;0,4857;0,4114
0,0056;0,4857;0,4094
0,0056;0,4821;0,4080
0,0083;0,4821;0,4039
0,0083;0,4786;0,4034
0,0111;0,4786;0,4020
0,0111;0,4607;0,3977
0,0139;0,4607;0,3975
0,0139;0,4357;0,3905
0,0194;0,4357;0,3863
0,0194;0,4250;0,3818
0,0222;0,4250;0,3787
0,0222;0,4179;0,3733
0,0278;0,4179;0,3726
0,0278;0,4107;0,3724
0,0417;0,4107;0,3643
0,0417;0,4071;0,3638
0,0472;0,4071;0,3615
0,0472;0,3964;0,3610
0,0500;0,3964;0,3594
0,0500;0,3857;0,3582
0,0528;0,3857;0,3581
0,0528;0,3821;0,3576
0,0556;0,3821;0,3526
0,0556;0,3786;0,3502
0,0583;0,3786;0,3497
0,0583;0,3750;0,3494
0,0611;0,3750;0,3458
0,0611;0,3679;0,3448
0,0639;0,3679;0,3441
0,0639;0,3464;0,3319
0,0667;0,3464;0,3318
0,0667;0,3429;0,3315
0,0694;0,3429;0,3315
0,0694;0,3357;0,3314
0,0722;0,3357;0,3314
0,0722;0,3286;0,3312
0,0750;0,3286;0,3312
0,0750;0,3250;0,3311
0,0917;0,3250;0,3305
0,0917;0,3214;0,3216
0,1056;0,3214;0,3182
0,1056;0,3036;0,3172
0,1083;0,3036;0,3161
0,1083;0,3000;0,3139
0,1111;0,3000;0,3136
0,1111;0,2964;0,3135
0,1139;0,2964;0,3132
0,1139;0,2929;0,3126
0,1167;0,2929;0,3121
0,1167;0,2893;0,3119
0,1250;0,2893;0,3082
0,1250;0,2679;0,3060
0,1278;0,2679;0,3059
0,1278;0,2643;0,3059
0,1361;0,2643;0,3055
0,1361;0,2607;0,3044
0,1694;0,2607;0,3004
0,1694;0,2571;0,2982
0,1778;0,2571;0,2978
0,1778;0,2536;0,2964
0,1889;0,2536;0,2926
0,1889;0,2500;0,2922
0,1944;0,2500;0,2898
0,1944;0,2429;0,2888
0,2028;0,2429;0,2878
0,2028;0,2357;0,2842
0,2167;0,2357;0,2839
0,2167;0,2321;0,2838
0,2194;0,2321;0,2836
0,2194;0,2286;0,2836
0,2417;0,2286;0,2762
0,2417;0,2214;0,2759
0,2556;0,2214;0,2710
0,2556;0,2179;0,2710
0,2611;0,2179;0,2709
0,2611;0,2143;0,2691
0,2639;0,2143;0,2686
0,2639;0,2107;0,2685
0,2722;0,2107;0,2650
0,2722;0,2071;0,2639
0,2750;0,2071;0,2638
0,2750;0,2036;0,2632
0,2778;0,2036;0,2630
0,2778;0,1964;0,2626
0,2944;0,1964;0,2608
0,2944;0,1929;0,2601
0,3111;0,1929;0,2566
0,3111;0,1893;0,2566
0,3278;0,1893;0,2545
0,3278;0,1821;0,2533
0,3333;0,1821;0,2485
0,3333;0,1786;0,2485
0,3806;0,1786;0,2483
0,3806;0,1750;0,2439
0,3861;0,1750;0,2435
0,3861;0,1714;0,2434
0,3889;0,1714;0,2433
0,3889;0,1679;0,2430
0,4000;0,1679;0,2409
0,4000;0,1607;0,2392
0,4083;0,1607;0,2383
0,4083;0,1536;0,2368
0,4139;0,1536;0,2366
0,4139;0,1464;0,2354
0,4167;0,1464;0,2350
0,4167;0,1429;0,2350
0,4500;0,1429;0,2268
0,4500;0,1321;0,2260
0,4556;0,1321;0,2259
0,4556;0,1286;0,2255
0,4806;0,1286;0,2208
0,4806;0,1250;0,2206
0,4861;0,1250;0,2204
0,4861;0,1214;0,2204
0,5056;0,1214;0,2159
0,5056;0,1179;0,2151
0,5167;0,1179;0,2128
0,5167;0,1143;0,2128
0,5528;0,1143;0,2046
0,5528;0,1107;0,2042
0,5917;0,1107;0,1987
0,5917;0,1071;0,1987
0,5944;0,1071;0,1987
0,5944;0,1036;0,1987
0,6194;0,1036;0,1933
0,6194;0,0964;0,1929
0,6667;0,0964;0,1862
0,6667;0,0893;0,1850
0,6889;0,0893;0,1804
0,6889;0,0821;0,1773
0,6972;0,0821;0,1753
0,6972;0,0786;0,1753
0,7028;0,0786;0,1752
0,7028;0,0750;0,1727
0,7417;0,0750;0,1655
0,7417;0,0714;0,1655
0,7444;0,0714;0,1655
0,7444;0,0679;0,1655
0,7500;0,0679;0,1654
0,7500;0,0607;0,1652
0,7611;0,0607;0,1612
0,7611;0,0571;0,1602
0,7667;0,0571;0,1588
0,7667;0,0536;0,1587
0,7750;0,0536;0,1529
0,7750;0,0500;0,1529
0,7833;0,0500;0,1527
0,7833;0,0464;0,1513
0,7917;0,0464;0,1505
0,7917;0,0429;0,1505
0,8000;0,0429;0,1489
0,8000;0,0357;0,1488
0,8472;0,0357;0,1306
0,8472;0,0321;0,1305
0,8556;0,0321;0,1294
0,8556;0,0286;0,1294
0,9056;0,0286;0,1226
0,9056;0,0250;0,1211
0,9139;0,0250;0,1192
0,9139;0,0214;0,1183
0,9361;0,0214;0,1135
0,9361;0,0179;0,1133
0,9389;0,0179;0,1104
0,9389;0,0143;0,1103
0,9472;0,0143;0,1077
0,9472;0,0071;0,1072
0,9500;0,0071;0,1044
0,9500;0,0036;0,1013
0,9889;0,0036;0,0743
0,9889;0,0000;0,0634
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
