Features:; Ratha1995MinutiaeExtractor_Ratha1995OrImgExtractor.qyw
Average match time(ms):; 5,80938
EER(%):; 29,087
FMR100(%):; 66,071
FMR1000(%):; 81,071
ZeroFmr(%):; 81,071
Matcher:;QYW
FMR;FNMR;Threshold
0,0000;0,8107;0,6085
0,0028;0,8107;0,6075
0,0028;0,7714;0,5633
0,0056;0,7714;0,5498
0,0056;0,7679;0,5457
0,0083;0,7679;0,5442
0,0083;0,6607;0,4864
0,0111;0,6607;0,4799
0,0111;0,6571;0,4792
0,0139;0,6571;0,4768
0,0139;0,6500;0,4732
0,0167;0,6500;0,4730
0,0167;0,6464;0,4730
0,0222;0,6464;0,4694
0,0222;0,6321;0,4635
0,0250;0,6321;0,4635
0,0250;0,6250;0,4631
0,0333;0,6250;0,4512
0,0333;0,6107;0,4415
0,0361;0,6107;0,4413
0,0361;0,6071;0,4412
0,0389;0,6071;0,4410
0,0389;0,5857;0,4300
0,0444;0,5857;0,4263
0,0444;0,5821;0,4260
0,0472;0,5821;0,4258
0,0472;0,5750;0,4219
0,0500;0,5750;0,4217
0,0500;0,5679;0,4197
0,0528;0,5679;0,4172
0,0528;0,5607;0,4167
0,0556;0,5607;0,4165
0,0556;0,5536;0,4147
0,0583;0,5536;0,4117
0,0583;0,5464;0,4106
0,0611;0,5464;0,4060
0,0611;0,5393;0,4053
0,0750;0,5393;0,3974
0,0750;0,5286;0,3948
0,0861;0,5286;0,3900
0,0861;0,5214;0,3888
0,0889;0,5214;0,3887
0,0889;0,5179;0,3862
0,0917;0,5179;0,3857
0,0917;0,5143;0,3855
0,0944;0,5143;0,3847
0,0944;0,5000;0,3825
0,0972;0,5000;0,3823
0,0972;0,4929;0,3821
0,1000;0,4929;0,3811
0,1000;0,4893;0,3808
0,1083;0,4893;0,3767
0,1083;0,4857;0,3766
0,1111;0,4857;0,3760
0,1111;0,4750;0,3728
0,1139;0,4750;0,3723
0,1139;0,4643;0,3693
0,1194;0,4643;0,3682
0,1194;0,4357;0,3609
0,1278;0,4357;0,3575
0,1278;0,4214;0,3549
0,1333;0,4214;0,3546
0,1333;0,4143;0,3530
0,1361;0,4143;0,3523
0,1361;0,4107;0,3522
0,1472;0,4107;0,3504
0,1472;0,4036;0,3503
0,1667;0,4036;0,3438
0,1667;0,3964;0,3424
0,1694;0,3964;0,3421
0,1694;0,3929;0,3415
0,1722;0,3929;0,3407
0,1722;0,3893;0,3400
0,1778;0,3893;0,3388
0,1778;0,3643;0,3311
0,1806;0,3643;0,3311
0,1806;0,3607;0,3311
0,1917;0,3607;0,3310
0,1917;0,3571;0,3310
0,2111;0,3571;0,3302
0,2111;0,3536;0,3276
0,2194;0,3536;0,3218
0,2194;0,3500;0,3204
0,2222;0,3500;0,3194
0,2222;0,3464;0,3189
0,2361;0,3464;0,3170
0,2361;0,3357;0,3160
0,2472;0,3357;0,3139
0,2472;0,3321;0,3137
0,2556;0,3321;0,3125
0,2556;0,3286;0,3107
0,2694;0,3286;0,3083
0,2694;0,3250;0,3060
0,2750;0,3250;0,3054
0,2750;0,3214;0,3053
0,2778;0,3214;0,3051
0,2778;0,3179;0,3042
0,2806;0,3179;0,3031
0,2806;0,3107;0,3026
0,2833;0,3107;0,3025
0,2833;0,3036;0,3011
0,2861;0,3036;0,3008
0,2861;0,2964;0,2987
0,2889;0,2964;0,2981
0,2889;0,2929;0,2981
0,3056;0,2929;0,2946
0,3056;0,2893;0,2942
0,3222;0,2893;0,2926
0,3222;0,2857;0,2924
0,3250;0,2857;0,2924
0,3250;0,2821;0,2922
0,3278;0,2821;0,2921
0,3278;0,2786;0,2921
0,3306;0,2786;0,2920
0,3306;0,2679;0,2910
0,3389;0,2679;0,2894
0,3389;0,2643;0,2894
0,3417;0,2643;0,2893
0,3417;0,2607;0,2892
0,3444;0,2607;0,2888
0,3444;0,2571;0,2885
0,3472;0,2571;0,2883
0,3472;0,2536;0,2881
0,3528;0,2536;0,2869
0,3528;0,2464;0,2842
0,3667;0,2464;0,2809
0,3667;0,2429;0,2806
0,3694;0,2429;0,2800
0,3694;0,2393;0,2787
0,3778;0,2393;0,2777
0,3778;0,2357;0,2761
0,3806;0,2357;0,2760
0,3806;0,2321;0,2760
0,3861;0,2321;0,2759
0,3861;0,2286;0,2757
0,3889;0,2286;0,2739
0,3889;0,2214;0,2713
0,3944;0,2214;0,2704
0,3944;0,2179;0,2692
0,3972;0,2179;0,2688
0,3972;0,2071;0,2671
0,4000;0,2071;0,2664
0,4000;0,2000;0,2651
0,4111;0,2000;0,2629
0,4111;0,1929;0,2612
0,4250;0,1929;0,2599
0,4250;0,1821;0,2592
0,4278;0,1821;0,2591
0,4278;0,1786;0,2591
0,4389;0,1786;0,2587
0,4389;0,1679;0,2572
0,4778;0,1679;0,2485
0,4778;0,1643;0,2485
0,4833;0,1643;0,2484
0,4833;0,1607;0,2483
0,4889;0,1607;0,2482
0,4889;0,1571;0,2482
0,5056;0,1571;0,2478
0,5056;0,1536;0,2478
0,5083;0,1536;0,2478
0,5083;0,1393;0,2416
0,5111;0,1393;0,2408
0,5111;0,1357;0,2408
0,5167;0,1357;0,2404
0,5167;0,1321;0,2396
0,5194;0,1321;0,2393
0,5194;0,1286;0,2387
0,5222;0,1286;0,2386
0,5222;0,1250;0,2386
0,5278;0,1250;0,2379
0,5278;0,1214;0,2369
0,5389;0,1214;0,2361
0,5389;0,1179;0,2354
0,5417;0,1179;0,2350
0,5417;0,1107;0,2336
0,5722;0,1107;0,2267
0,5722;0,1071;0,2255
0,5778;0,1071;0,2243
0,5778;0,1036;0,2243
0,5806;0,1036;0,2206
0,5806;0,1000;0,2206
0,5889;0,1000;0,2202
0,5889;0,0964;0,2175
0,5972;0,0964;0,2158
0,5972;0,0929;0,2152
0,6000;0,0929;0,2131
0,6000;0,0893;0,2128
0,6083;0,0893;0,2103
0,6083;0,0857;0,2094
0,6111;0,0857;0,2090
0,6111;0,0786;0,2079
0,6361;0,0786;0,2050
0,6361;0,0750;0,2046
0,6556;0,0750;0,1986
0,6556;0,0714;0,1986
0,6583;0,0714;0,1986
0,6583;0,0679;0,1985
0,6750;0,0679;0,1981
0,6750;0,0643;0,1943
0,6861;0,0643;0,1911
0,6861;0,0607;0,1910
0,7472;0,0607;0,1772
0,7472;0,0571;0,1771
0,7694;0,0571;0,1727
0,7694;0,0536;0,1726
0,7750;0,0536;0,1725
0,7750;0,0500;0,1725
0,8139;0,0500;0,1653
0,8139;0,0464;0,1653
0,8167;0,0464;0,1652
0,8167;0,0429;0,1651
0,8222;0,0429;0,1579
0,8222;0,0393;0,1569
0,8250;0,0393;0,1569
0,8250;0,0357;0,1567
0,8278;0,0357;0,1565
0,8278;0,0321;0,1562
0,8444;0,0321;0,1488
0,8444;0,0286;0,1487
0,8778;0,0286;0,1355
0,8778;0,0250;0,1354
0,9056;0,0250;0,1282
0,9056;0,0214;0,1280
0,9139;0,0214;0,1241
0,9139;0,0179;0,1239
0,9472;0,0179;0,1102
0,9472;0,0143;0,1101
0,9583;0,0143;0,1065
0,9583;0,0107;0,0948
0,9611;0,0107;0,0902
0,9611;0,0071;0,0900
0,9694;0,0071;0,0764
0,9694;0,0000;0,0762
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
