Features:; Ratha1995MinutiaeExtractor(4).mtp
Average match time(ms):; 1,07656
EER(%):; 14,623
FMR100(%):; 31,786
FMR1000(%):; 44,286
ZeroFmr(%):; 44,286
Matcher:;M3gl
FMR;FNMR;Threshold
0,0000;0,4429;0,0653
0,0028;0,4429;0,0650
0,0028;0,3714;0,0507
0,0056;0,3714;0,0502
0,0056;0,3393;0,0422
0,0083;0,3393;0,0420
0,0083;0,3179;0,0403
0,0139;0,3179;0,0385
0,0139;0,3036;0,0373
0,0167;0,3036;0,0369
0,0167;0,3000;0,0369
0,0194;0,3000;0,0367
0,0194;0,2893;0,0345
0,0222;0,2893;0,0338
0,0222;0,2857;0,0327
0,0250;0,2857;0,0326
0,0250;0,2643;0,0288
0,0333;0,2643;0,0274
0,0333;0,2464;0,0265
0,0361;0,2464;0,0263
0,0361;0,2429;0,0263
0,0389;0,2429;0,0256
0,0389;0,2357;0,0250
0,0444;0,2357;0,0244
0,0444;0,2179;0,0233
0,0472;0,2179;0,0230
0,0472;0,2071;0,0208
0,0500;0,2071;0,0205
0,0500;0,2036;0,0203
0,0556;0,2036;0,0200
0,0556;0,2000;0,0193
0,0583;0,2000;0,0191
0,0583;0,1929;0,0187
0,0611;0,1929;0,0184
0,0611;0,1893;0,0182
0,0667;0,1893;0,0172
0,0667;0,1857;0,0170
0,0722;0,1857;0,0169
0,0722;0,1821;0,0168
0,0806;0,1821;0,0163
0,0806;0,1786;0,0163
0,0889;0,1786;0,0154
0,0889;0,1750;0,0152
0,1139;0,1750;0,0146
0,1139;0,1714;0,0145
0,1167;0,1714;0,0144
0,1167;0,1643;0,0141
0,1333;0,1643;0,0133
0,1333;0,1607;0,0132
0,1361;0,1607;0,0131
0,1361;0,1571;0,0129
0,1389;0,1571;0,0128
0,1389;0,1536;0,0127
0,1667;0,1536;0,0117
0,1667;0,1500;0,0115
0,2778;0,1500;0,0089
0,2778;0,1464;0,0088
0,2806;0,1464;0,0088
0,2806;0,1429;0,0088
0,3083;0,1429;0,0083
0,3083;0,1393;0,0083
0,3167;0,1393;0,0080
0,3167;0,1321;0,0079
0,3222;0,1321;0,0079
0,3222;0,1286;0,0079
0,3556;0,1286;0,0076
0,3556;0,1250;0,0075
0,3806;0,1250;0,0071
0,3806;0,1214;0,0071
0,4250;0,1214;0,0065
0,4250;0,1179;0,0065
0,4611;0,1179;0,0063
0,4611;0,1143;0,0063
0,5000;0,1143;0,0055
0,5000;0,1071;0,0055
0,5139;0,1071;0,0054
0,5139;0,1036;0,0054
0,6111;0,1036;0,0043
0,6111;0,0964;0,0043
0,6528;0,0964;0,0037
0,6528;0,0929;0,0036
0,6722;0,0929;0,0032
0,6722;0,0893;0,0032
0,6750;0,0893;0,0031
0,6750;0,0857;0,0030
0,6833;0,0857;0,0029
0,6833;0,0821;0,0029
0,6972;0,0821;0,0023
0,6972;0,0786;0,0021
1,0000;0,0786;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
