Features:; Ratha1995MinutiaeExtractor_Ratha1995OrImgExtractor.qyw
Average match time(ms):; 9,25313
EER(%):; 27,500
FMR100(%):; 60,000
FMR1000(%):; 65,714
ZeroFmr(%):; 65,714
Matcher:;MQYW
FMR;FNMR;Threshold
0,0000;0,6571;0,4293
0,0028;0,6571;0,4254
0,0028;0,6250;0,3943
0,0056;0,6250;0,3920
0,0056;0,6214;0,3887
0,0083;0,6214;0,3866
0,0083;0,6000;0,3724
0,0111;0,6000;0,3715
0,0111;0,5893;0,3631
0,0167;0,5893;0,3597
0,0167;0,5750;0,3507
0,0194;0,5750;0,3457
0,0194;0,5393;0,3308
0,0222;0,5393;0,3308
0,0222;0,5214;0,3179
0,0250;0,5214;0,3158
0,0250;0,5000;0,3105
0,0278;0,5000;0,3100
0,0278;0,4857;0,2979
0,0361;0,4857;0,2938
0,0361;0,4821;0,2936
0,0389;0,4821;0,2931
0,0389;0,4786;0,2917
0,0444;0,4786;0,2884
0,0444;0,4679;0,2837
0,0500;0,4679;0,2828
0,0500;0,4643;0,2809
0,0528;0,4643;0,2801
0,0528;0,4607;0,2792
0,0556;0,4607;0,2774
0,0556;0,4571;0,2773
0,0583;0,4571;0,2757
0,0583;0,4500;0,2755
0,0611;0,4500;0,2751
0,0611;0,4464;0,2749
0,0667;0,4464;0,2740
0,0667;0,4393;0,2738
0,0694;0,4393;0,2706
0,0694;0,4321;0,2705
0,0833;0,4321;0,2672
0,0833;0,4286;0,2671
0,0861;0,4286;0,2649
0,0861;0,4250;0,2648
0,0889;0,4250;0,2617
0,0889;0,4214;0,2615
0,0944;0,4214;0,2614
0,0944;0,4179;0,2604
0,0972;0,4179;0,2576
0,0972;0,4143;0,2574
0,1056;0,4143;0,2557
0,1056;0,4071;0,2543
0,1083;0,4071;0,2532
0,1083;0,3964;0,2485
0,1194;0,3964;0,2483
0,1194;0,3929;0,2483
0,1222;0,3929;0,2483
0,1222;0,3893;0,2482
0,1250;0,3893;0,2482
0,1250;0,3857;0,2481
0,1278;0,3857;0,2481
0,1278;0,3714;0,2366
0,1306;0,3714;0,2366
0,1306;0,3643;0,2366
0,1333;0,3643;0,2361
0,1333;0,3536;0,2294
0,1389;0,3536;0,2278
0,1389;0,3464;0,2255
0,1472;0,3464;0,2242
0,1472;0,3393;0,2240
0,1639;0,3393;0,2205
0,1639;0,3321;0,2205
0,1750;0,3321;0,2180
0,1750;0,3286;0,2161
0,1806;0,3286;0,2157
0,1806;0,3250;0,2153
0,1833;0,3250;0,2149
0,1833;0,3214;0,2146
0,1861;0,3214;0,2144
0,1861;0,3179;0,2129
0,1889;0,3179;0,2128
0,1889;0,3036;0,2115
0,2111;0,3036;0,2067
0,2111;0,3000;0,2062
0,2222;0,3000;0,2052
0,2222;0,2964;0,2052
0,2306;0,2964;0,2037
0,2306;0,2857;0,1987
0,2528;0,2857;0,1985
0,2528;0,2821;0,1984
0,2667;0,2821;0,1958
0,2667;0,2786;0,1943
0,2694;0,2786;0,1942
0,2694;0,2750;0,1941
0,2750;0,2750;0,1935
0,2750;0,2714;0,1928
0,2806;0,2714;0,1908
0,2806;0,2679;0,1908
0,2861;0,2679;0,1890
0,2861;0,2643;0,1889
0,2889;0,2643;0,1878
0,2889;0,2607;0,1863
0,2972;0,2607;0,1859
0,2972;0,2571;0,1807
0,3083;0,2571;0,1803
0,3083;0,2536;0,1795
0,3306;0,2536;0,1749
0,3306;0,2500;0,1728
0,3500;0,2500;0,1712
0,3500;0,2429;0,1696
0,3556;0,2429;0,1658
0,3556;0,2286;0,1655
0,3750;0,2286;0,1614
0,3750;0,2214;0,1609
0,3889;0,2214;0,1589
0,3889;0,2143;0,1580
0,3917;0,2143;0,1579
0,3917;0,2071;0,1568
0,3972;0,2071;0,1563
0,3972;0,2036;0,1558
0,4111;0,2036;0,1538
0,4111;0,2000;0,1531
0,4167;0,2000;0,1528
0,4167;0,1929;0,1527
0,4194;0,1929;0,1527
0,4194;0,1893;0,1527
0,4222;0,1893;0,1526
0,4222;0,1857;0,1526
0,4278;0,1857;0,1508
0,4278;0,1786;0,1505
0,4444;0,1786;0,1490
0,4444;0,1750;0,1490
0,4500;0,1750;0,1489
0,4500;0,1679;0,1470
0,4639;0,1679;0,1454
0,4639;0,1643;0,1453
0,4944;0,1643;0,1385
0,4944;0,1571;0,1379
0,5028;0,1571;0,1369
0,5028;0,1500;0,1356
0,5278;0,1500;0,1325
0,5278;0,1464;0,1324
0,5333;0,1464;0,1323
0,5333;0,1429;0,1323
0,5528;0,1429;0,1282
0,5528;0,1357;0,1274
0,5556;0,1357;0,1273
0,5556;0,1286;0,1242
0,5750;0,1286;0,1240
0,5750;0,1250;0,1216
0,5889;0,1250;0,1192
0,5889;0,1214;0,1184
0,5917;0,1214;0,1183
0,5917;0,1179;0,1182
0,6000;0,1179;0,1169
0,6000;0,1143;0,1168
0,6028;0,1143;0,1168
0,6028;0,1107;0,1167
0,6056;0,1107;0,1166
0,6056;0,1071;0,1155
0,6528;0,1071;0,1103
0,6528;0,1036;0,1103
0,6556;0,1036;0,1103
0,6556;0,1000;0,1102
0,7056;0,1000;0,1034
0,7056;0,0964;0,1030
0,7194;0,0964;0,1017
0,7194;0,0893;0,0994
0,7583;0,0893;0,0961
0,7583;0,0821;0,0953
0,7694;0,0821;0,0945
0,7694;0,0786;0,0945
0,8556;0,0786;0,0736
0,8556;0,0714;0,0726
1,0000;0,0714;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
