Features:; Delaunay(Ratha1995MinutiaeExtractor).mtp
Average match time(ms):; 3,51094
EER(%):; 11,806
FMR100(%):; 22,857
FMR1000(%):; 23,929
ZeroFmr(%):; 23,929
Matcher:;MPN
FMR;FNMR;Threshold
0,0000;0,2393;28,5714
0,0056;0,2393;27,9751
0,0056;0,2286;27,8019
0,0111;0,2286;27,7603
0,0111;0,2143;27,0484
0,0139;0,2143;26,7946
0,0139;0,1964;26,4849
0,0167;0,1964;26,2613
0,0167;0,1929;26,0240
0,0194;0,1929;25,8544
0,0194;0,1857;25,7694
0,0278;0,1857;25,0418
0,0278;0,1750;24,6276
0,0306;0,1750;24,4542
0,0306;0,1679;24,0289
0,0333;0,1679;23,5935
0,0333;0,1643;23,4787
0,0361;0,1643;23,4261
0,0361;0,1571;22,9528
0,0500;0,1571;21,6131
0,0500;0,1536;21,3809
0,0694;0,1536;20,6284
0,0694;0,1500;20,5832
0,0750;0,1500;20,2116
0,0750;0,1464;20,2073
0,0778;0,1464;20,0000
0,0778;0,1429;19,8497
0,0833;0,1429;19,5217
0,0833;0,1393;19,4666
0,0917;0,1393;19,2897
0,0917;0,1321;19,1346
0,0972;0,1321;19,0108
0,0972;0,1286;18,9737
0,1111;0,1286;18,4620
0,1111;0,1250;18,3587
0,1583;0,1250;16,8455
0,1583;0,1214;16,7705
0,1750;0,1214;16,2221
0,1750;0,1179;16,1165
0,2222;0,1179;15,2499
0,2222;0,1143;15,2277
0,2444;0,1143;14,5479
0,2444;0,1036;14,4399
0,4111;0,1036;9,8907
0,4111;0,1000;9,8773
0,4139;0,1000;9,8058
0,4139;0,0964;9,7590
0,4417;0,0964;9,1430
0,4417;0,0929;9,1121
0,4917;0,0929;7,9057
0,4917;0,0893;7,9057
1,0000;0,0893;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
