Features:; Ratha1995MinutiaeExtractor_Ratha1995OrImgExtractor.qyw
Average match time(ms):; 8,59063
EER(%):; 30,952
FMR100(%):; 60,714
FMR1000(%):; 63,929
ZeroFmr(%):; 63,929
Matcher:;QYW
FMR;FNMR;Threshold
0,0000;0,6393;0,4960
0,0056;0,6393;0,4952
0,0056;0,6250;0,4837
0,0083;0,6250;0,4768
0,0083;0,6071;0,4654
0,0111;0,6071;0,4649
0,0111;0,5679;0,4444
0,0139;0,5679;0,4440
0,0139;0,5536;0,4338
0,0167;0,5536;0,4328
0,0167;0,5429;0,4222
0,0194;0,5429;0,4205
0,0194;0,5357;0,4172
0,0250;0,5357;0,4140
0,0250;0,5321;0,4129
0,0306;0,5321;0,4101
0,0306;0,5250;0,4089
0,0333;0,5250;0,4072
0,0333;0,5179;0,4068
0,0361;0,5179;0,4048
0,0361;0,5071;0,3963
0,0389;0,5071;0,3906
0,0389;0,5000;0,3896
0,0556;0,5000;0,3836
0,0556;0,4964;0,3835
0,0583;0,4964;0,3805
0,0583;0,4893;0,3789
0,0611;0,4893;0,3784
0,0611;0,4750;0,3721
0,0694;0,4750;0,3680
0,0694;0,4607;0,3661
0,0722;0,4607;0,3657
0,0722;0,4500;0,3632
0,0778;0,4500;0,3622
0,0778;0,4464;0,3612
0,0833;0,4464;0,3587
0,0833;0,4357;0,3556
0,0917;0,4357;0,3541
0,0917;0,4286;0,3527
0,1167;0,4286;0,3403
0,1167;0,4179;0,3388
0,1194;0,4179;0,3382
0,1194;0,3964;0,3304
0,1417;0,3964;0,3217
0,1417;0,3929;0,3214
0,1472;0,3929;0,3184
0,1472;0,3786;0,3146
0,1722;0,3786;0,3079
0,1722;0,3750;0,3053
0,1861;0,3750;0,3024
0,1861;0,3571;0,2975
0,1972;0,3571;0,2972
0,1972;0,3536;0,2951
0,2000;0,3536;0,2937
0,2000;0,3500;0,2918
0,2056;0,3500;0,2883
0,2056;0,3393;0,2877
0,2194;0,3393;0,2835
0,2194;0,3357;0,2834
0,2500;0,3357;0,2775
0,2500;0,3321;0,2770
0,2667;0,3321;0,2721
0,2667;0,3286;0,2709
0,2778;0,3286;0,2699
0,2778;0,3250;0,2690
0,2861;0,3250;0,2666
0,2861;0,3214;0,2647
0,2972;0,3214;0,2611
0,2972;0,3179;0,2609
0,3028;0,3179;0,2574
0,3028;0,3143;0,2572
0,3083;0,3143;0,2557
0,3083;0,3107;0,2556
0,3111;0,3107;0,2549
0,3111;0,3000;0,2540
0,3139;0,3000;0,2486
0,3139;0,2893;0,2483
0,3167;0,2893;0,2481
0,3167;0,2821;0,2480
0,3222;0,2821;0,2480
0,3222;0,2786;0,2480
0,3333;0,2786;0,2477
0,3333;0,2750;0,2477
0,3417;0,2750;0,2475
0,3417;0,2714;0,2444
0,3556;0,2714;0,2382
0,3556;0,2679;0,2380
0,3694;0,2679;0,2369
0,3694;0,2643;0,2363
0,3833;0,2643;0,2336
0,3833;0,2607;0,2334
0,3917;0,2607;0,2316
0,3917;0,2571;0,2295
0,3972;0,2571;0,2287
0,3972;0,2500;0,2280
0,4000;0,2500;0,2264
0,4000;0,2429;0,2253
0,4139;0,2429;0,2225
0,4139;0,2393;0,2209
0,4167;0,2393;0,2209
0,4167;0,2357;0,2207
0,4194;0,2357;0,2205
0,4194;0,2286;0,2204
0,4250;0,2286;0,2201
0,4250;0,2250;0,2200
0,4333;0,2250;0,2166
0,4333;0,2214;0,2157
0,4417;0,2214;0,2138
0,4417;0,2179;0,2131
0,4694;0,2179;0,2086
0,4694;0,2143;0,2076
0,4917;0,2143;0,2026
0,4917;0,2107;0,2026
0,4972;0,2107;0,2007
0,4972;0,2036;0,1985
0,5000;0,2036;0,1984
0,5000;0,2000;0,1983
0,5389;0,2000;0,1915
0,5389;0,1964;0,1912
0,5556;0,1964;0,1887
0,5556;0,1929;0,1887
0,5611;0,1929;0,1859
0,5611;0,1893;0,1857
0,5639;0,1893;0,1854
0,5639;0,1750;0,1834
0,5694;0,1750;0,1786
0,5694;0,1679;0,1784
0,5722;0,1679;0,1780
0,5722;0,1607;0,1762
0,5806;0,1607;0,1746
0,5806;0,1571;0,1738
0,5917;0,1571;0,1695
0,5917;0,1536;0,1694
0,5944;0,1536;0,1693
0,5944;0,1500;0,1687
0,6000;0,1500;0,1655
0,6000;0,1464;0,1654
0,6111;0,1464;0,1651
0,6111;0,1429;0,1650
0,6167;0,1429;0,1649
0,6167;0,1393;0,1630
0,6222;0,1393;0,1624
0,6222;0,1357;0,1607
0,6361;0,1357;0,1580
0,6361;0,1321;0,1568
0,6444;0,1321;0,1549
0,6444;0,1250;0,1526
0,6639;0,1250;0,1501
0,6639;0,1214;0,1500
0,6667;0,1214;0,1486
0,6667;0,1179;0,1471
0,6889;0,1179;0,1420
0,6889;0,1143;0,1419
0,7333;0,1143;0,1297
0,7333;0,1107;0,1295
0,7389;0,1107;0,1293
0,7389;0,1071;0,1281
0,7417;0,1071;0,1264
0,7417;0,0964;0,1240
0,7528;0,0964;0,1236
0,7528;0,0929;0,1212
0,7806;0,0929;0,1103
0,7806;0,0893;0,1102
0,8000;0,0893;0,1034
0,8000;0,0821;0,1026
0,8583;0,0821;0,0825
0,8583;0,0786;0,0765
0,8611;0,0786;0,0763
0,8611;0,0750;0,0745
1,0000;0,0750;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
