Features:; Ratha1995MinutiaeExtractor_Ratha1995OrImgExtractor.tk
Average match time(ms):; 4,53281
EER(%):; 13,135
FMR100(%):; 24,286
FMR1000(%):; 41,071
ZeroFmr(%):; 41,071
Matcher:;MTK
FMR;FNMR;Threshold
0,0000;0,4107;0,0160
0,0056;0,4107;0,0157
0,0056;0,2786;0,0112
0,0083;0,2786;0,0111
0,0083;0,2429;0,0098
0,0111;0,2429;0,0097
0,0111;0,2393;0,0096
0,0194;0,2393;0,0095
0,0194;0,2321;0,0095
0,0222;0,2321;0,0091
0,0222;0,2286;0,0090
0,0250;0,2286;0,0090
0,0250;0,2143;0,0083
0,0278;0,2143;0,0082
0,0278;0,2000;0,0076
0,0306;0,2000;0,0075
0,0306;0,1929;0,0074
0,0333;0,1929;0,0074
0,0333;0,1821;0,0071
0,0361;0,1821;0,0070
0,0361;0,1786;0,0069
0,0417;0,1786;0,0066
0,0417;0,1679;0,0062
0,0472;0,1679;0,0059
0,0472;0,1607;0,0058
0,0500;0,1607;0,0058
0,0500;0,1571;0,0056
0,0639;0,1571;0,0054
0,0639;0,1536;0,0053
0,0667;0,1536;0,0052
0,0667;0,1500;0,0052
0,0694;0,1500;0,0052
0,0694;0,1429;0,0051
0,1083;0,1429;0,0043
0,1083;0,1393;0,0043
0,1111;0,1393;0,0043
0,1111;0,1357;0,0042
0,1306;0,1357;0,0038
0,1306;0,1321;0,0038
0,1556;0,1321;0,0036
0,1556;0,1286;0,0036
0,1694;0,1286;0,0035
0,1694;0,1250;0,0035
0,1778;0,1250;0,0034
0,1778;0,1179;0,0034
0,1917;0,1179;0,0032
0,1917;0,1143;0,0032
0,2111;0,1143;0,0030
0,2111;0,1107;0,0030
0,2417;0,1107;0,0027
0,2417;0,1071;0,0027
0,2583;0,1071;0,0026
0,2583;0,1036;0,0026
0,3611;0,1036;0,0020
0,3611;0,1000;0,0020
0,3889;0,1000;0,0019
0,3889;0,0964;0,0019
0,4222;0,0964;0,0018
0,4222;0,0893;0,0017
0,4333;0,0893;0,0017
0,4333;0,0857;0,0017
0,4750;0,0857;0,0015
0,4750;0,0821;0,0015
0,4861;0,0821;0,0014
0,4861;0,0786;0,0014
0,5389;0,0786;0,0013
0,5389;0,0750;0,0013
0,5917;0,0750;0,0012
0,5917;0,0714;0,0012
0,7361;0,0714;0,0007
0,7361;0,0679;0,0007
1,0000;0,0679;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
