Features:; Ratha1995MinutiaeExtractor_Ratha1995SkeImgExtractor.jy
Average match time(ms):; 3,75313
EER(%):; 21,587
FMR100(%):; 47,500
FMR1000(%):; 51,071
ZeroFmr(%):; 51,071
Matcher:;MJY
FMR;FNMR;Threshold
0,0000;0,5107;18,9655
0,0028;0,5107;18,7500
0,0028;0,4857;17,3913
0,0083;0,4857;17,1429
0,0083;0,4750;17,0213
0,0111;0,4750;16,6667
0,0111;0,4679;16,6667
0,0139;0,4679;16,3265
0,0139;0,4571;16,3265
0,0167;0,4571;16,2791
0,0167;0,4464;16,2791
0,0250;0,4464;16,1290
0,0250;0,4179;15,1515
0,0389;0,4179;14,6341
0,0389;0,3893;14,0000
0,0472;0,3893;13,7931
0,0472;0,3821;13,4615
0,0556;0,3821;13,3333
0,0556;0,3786;13,3333
0,0583;0,3786;13,1579
0,0583;0,3500;12,7660
0,0694;0,3500;12,5000
0,0694;0,3357;12,2807
0,0778;0,3357;12,1951
0,0778;0,3321;12,1951
0,0833;0,3321;12,1212
0,0833;0,3250;12,0690
0,0889;0,3250;12,0000
0,0889;0,3179;12,0000
0,1139;0,3179;11,4286
0,1139;0,3143;11,4286
0,1361;0,3143;11,1111
0,1361;0,3000;10,7527
0,1500;0,3000;10,7143
0,1500;0,2857;10,7143
0,1556;0,2857;10,6383
0,1556;0,2821;10,6383
0,1639;0,2821;10,5263
0,1639;0,2714;10,5263
0,1722;0,2714;10,3448
0,1722;0,2643;10,3448
0,1750;0,2643;10,2041
0,1750;0,2571;10,1449
0,1861;0,2571;10,0000
0,1861;0,2393;10,0000
0,1917;0,2393;9,8039
0,1917;0,2357;9,7826
0,1972;0,2357;9,7561
0,1972;0,2321;9,7561
0,2028;0,2321;9,6774
0,2028;0,2286;9,6774
0,2139;0,2286;9,5238
0,2139;0,2179;9,5238
0,2750;0,2179;8,9286
0,2750;0,2143;8,9286
0,2861;0,2143;8,8235
0,2861;0,2107;8,7719
0,2972;0,2107;8,6957
0,2972;0,2036;8,6957
0,3056;0,2036;8,6207
0,3056;0,1929;8,6022
0,3306;0,1929;8,5714
0,3306;0,1857;8,5714
0,3444;0,1857;8,5106
0,3444;0,1786;8,4507
0,3528;0,1786;8,3333
0,3528;0,1750;8,3333
0,3944;0,1750;8,0000
0,3944;0,1643;8,0000
0,4194;0,1643;7,8431
0,4194;0,1607;7,8431
0,4250;0,1607;7,8125
0,4250;0,1500;7,6923
0,4278;0,1500;7,6087
0,4278;0,1464;7,6087
0,4528;0,1464;7,4074
0,4528;0,1393;7,4074
0,4556;0,1393;7,3529
0,4556;0,1357;7,3529
0,4722;0,1357;7,3171
0,4722;0,1286;7,3171
0,4778;0,1286;7,2464
0,4778;0,1250;7,2464
0,5056;0,1250;7,1429
0,5056;0,1107;7,0423
0,5111;0,1107;7,0175
0,5111;0,1071;7,0175
0,5556;0,1071;6,8966
0,5556;0,1036;6,8966
0,5667;0,1036;6,6667
0,5667;0,1000;6,6667
0,5694;0,1000;6,5217
0,5694;0,0964;6,5217
0,5778;0,0964;6,4103
0,5778;0,0929;6,4103
0,6361;0,0929;6,1224
0,6361;0,0893;6,1224
0,6472;0,0893;6,0976
0,6472;0,0857;6,0976
0,6889;0,0857;5,8824
0,6889;0,0821;5,7971
0,7361;0,0821;5,5556
0,7361;0,0786;5,5556
0,7528;0,0786;5,3763
0,7528;0,0750;5,3763
0,7639;0,0750;5,3333
0,7639;0,0714;5,3333
0,7972;0,0714;5,1724
0,7972;0,0679;5,1724
0,8306;0,0679;4,7619
0,8306;0,0643;4,7619
1,0000;0,0643;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
