Features:; Ratha1995MinutiaeExtractor_Ratha1995SkeImgExtractor.jy
Average match time(ms):; 2,78438
EER(%):; 24,266
FMR100(%):; 43,929
FMR1000(%):; 57,143
ZeroFmr(%):; 57,143
Matcher:;JY
FMR;FNMR;Threshold
0,0000;0,5714;37,8250
0,0028;0,5714;37,6995
0,0028;0,5000;34,2504
0,0056;0,5000;34,0511
0,0056;0,4607;30,3060
0,0083;0,4607;30,0348
0,0083;0,4393;27,8876
0,0139;0,4393;27,4061
0,0139;0,4286;26,9103
0,0167;0,4286;26,6304
0,0167;0,4000;24,3887
0,0194;0,4000;24,2232
0,0194;0,3929;23,6601
0,0222;0,3929;23,2614
0,0222;0,3893;22,6753
0,0250;0,3893;22,6650
0,0250;0,3750;22,3949
0,0306;0,3750;22,2354
0,0306;0,3714;22,2053
0,0333;0,3714;22,1748
0,0333;0,3643;21,9197
0,0417;0,3643;21,2387
0,0417;0,3607;21,2370
0,0444;0,3607;21,0130
0,0444;0,3571;20,9639
0,0500;0,3571;20,7108
0,0500;0,3500;20,2504
0,0611;0,3500;20,1040
0,0611;0,3464;20,0805
0,0667;0,3464;19,7971
0,0667;0,3429;19,7594
0,0861;0,3429;18,7000
0,0861;0,3214;18,0916
0,1000;0,3214;17,8003
0,1000;0,3179;17,7844
0,1083;0,3179;17,5173
0,1083;0,3143;17,3288
0,1278;0,3143;17,0238
0,1278;0,3107;16,9556
0,1306;0,3107;16,8672
0,1306;0,3071;16,7771
0,1333;0,3071;16,7745
0,1333;0,3000;16,7380
0,1361;0,3000;16,7356
0,1361;0,2929;16,6307
0,1417;0,2929;16,5164
0,1417;0,2857;16,2750
0,1500;0,2857;16,0940
0,1500;0,2821;16,0571
0,1528;0,2821;15,9776
0,1528;0,2786;15,9241
0,1639;0,2786;15,7807
0,1639;0,2750;15,7685
0,1694;0,2750;15,5614
0,1694;0,2714;15,5279
0,1861;0,2714;15,1898
0,1861;0,2679;15,1675
0,2139;0,2679;14,5055
0,2139;0,2643;14,4568
0,2222;0,2643;14,3806
0,2222;0,2607;14,3615
0,2306;0,2607;14,0971
0,2306;0,2571;14,0866
0,2361;0,2571;13,5866
0,2361;0,2500;13,5260
0,2389;0,2500;13,3620
0,2389;0,2464;13,3076
0,2611;0,2464;12,7144
0,2611;0,2429;12,5614
0,2694;0,2429;12,4553
0,2694;0,2393;12,3107
0,2722;0,2393;12,2811
0,2722;0,2357;12,1669
0,2861;0,2357;11,9304
0,2861;0,2321;11,8570
0,3528;0,2321;9,8781
0,3528;0,2286;9,8534
0,3722;0,2286;9,1172
0,3722;0,2250;9,0355
0,3750;0,2250;9,0237
0,3750;0,2214;9,0228
0,3861;0,2214;8,5760
0,3861;0,2179;8,2722
0,3917;0,2179;8,0461
0,3917;0,2143;8,0081
0,4056;0,2143;6,8581
0,4056;0,2107;6,1278
1,0000;0,2107;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
