Features:; Delaunay(Ratha1995MinutiaeExtractor).mtp
Average match time(ms):; 15,32656
EER(%):; 6,230
FMR100(%):; 15,357
FMR1000(%):; 17,500
ZeroFmr(%):; 17,500
Matcher:;MPN
FMR;FNMR;Threshold
0,0000;0,1750;28,8453
0,0028;0,1750;28,4901
0,0028;0,1679;28,2138
0,0056;0,1679;28,1718
0,0056;0,1536;27,7054
0,0111;0,1536;27,5380
0,0111;0,1214;26,8931
0,0139;0,1214;26,6524
0,0139;0,1179;26,0171
0,0194;0,1179;25,9381
0,0194;0,1071;25,3185
0,0222;0,1071;25,2758
0,0222;0,1036;25,1976
0,0278;0,1036;24,8186
0,0278;0,0929;24,5615
0,0306;0,0929;24,0025
0,0306;0,0857;23,8904
0,0444;0,0857;23,0797
0,0444;0,0821;23,0508
0,0556;0,0821;22,6455
0,0556;0,0714;22,3041
0,0639;0,0714;21,8866
0,0639;0,0607;21,6219
0,1167;0,0607;19,7952
0,1167;0,0536;19,7351
0,1278;0,0536;19,6070
0,1278;0,0500;19,5355
0,1583;0,0500;18,3472
0,1583;0,0464;18,2258
0,1806;0,0464;17,8786
0,1806;0,0429;17,8202
0,2028;0,0429;17,6090
0,2028;0,0393;17,5691
0,2139;0,0393;17,4714
0,2139;0,0357;17,4078
0,3306;0,0357;15,1887
0,3306;0,0321;15,1354
0,3500;0,0321;14,7087
0,3500;0,0286;14,6516
0,4056;0,0286;13,7619
0,4056;0,0250;13,6598
0,4361;0,0250;12,9877
0,4361;0,0214;12,9732
0,4556;0,0214;12,6302
0,4556;0,0179;12,5272
0,4833;0,0179;12,2279
0,4833;0,0143;12,2018
0,5333;0,0143;11,7985
0,5333;0,0107;11,7254
0,6306;0,0107;10,1666
0,6306;0,0071;10,1447
0,6667;0,0071;9,7719
0,6667;0,0036;9,7677
0,6861;0,0036;9,5130
0,6861;0,0000;9,4967
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
