Features:; Ratha1995MinutiaeExtractor.pn
Average match time(ms):; 34,53594
EER(%):; 11,290
FMR100(%):; 20,000
FMR1000(%):; 23,214
ZeroFmr(%):; 23,214
Matcher:;PN
FMR;FNMR;Threshold
0,0000;0,2321;26,8931
0,0028;0,2321;25,8966
0,0028;0,2286;25,7539
0,0083;0,2286;25,2758
0,0083;0,2000;23,5378
0,0111;0,2000;22,9061
0,0111;0,1964;22,8869
0,0167;0,1964;22,6455
0,0167;0,1857;21,7597
0,0194;0,1857;21,6815
0,0194;0,1750;20,7443
0,0222;0,1750;20,5345
0,0222;0,1679;19,6970
0,0278;0,1679;19,6352
0,0278;0,1607;19,4487
0,0389;0,1607;17,4714
0,0389;0,1536;17,3117
0,0444;0,1536;17,0169
0,0444;0,1500;16,8982
0,0611;0,1500;16,3507
0,0611;0,1464;16,2607
0,0750;0,1464;15,8114
0,0750;0,1429;15,7485
0,0778;0,1429;15,7400
0,0778;0,1393;15,6863
0,0861;0,1393;15,2443
0,0861;0,1357;15,1947
0,0972;0,1357;14,6458
0,0972;0,1286;14,5248
0,1306;0,1286;13,2075
0,1306;0,1250;13,1701
0,1333;0,1250;13,1390
0,1333;0,1214;12,8706
0,1500;0,1214;12,5742
0,1500;0,1179;12,5272
0,1583;0,1179;12,2226
0,1583;0,1107;12,2018
0,2444;0,1107;10,4713
0,2444;0,1071;10,2986
0,2722;0,1071;9,8093
0,2722;0,1036;9,6987
0,2750;0,1036;9,6065
0,2750;0,0964;9,6035
0,2889;0,0964;9,1372
0,2889;0,0929;9,1129
0,2944;0,0929;9,0909
0,2944;0,0893;9,0909
0,3167;0,0893;8,7142
0,3167;0,0857;8,6957
0,3500;0,0857;7,9584
0,3500;0,0821;7,9365
0,3528;0,0821;7,8211
0,3528;0,0786;7,7709
0,3611;0,0786;7,7042
0,3611;0,0750;7,7005
0,3694;0,0750;7,5993
0,3694;0,0714;7,5974
0,4222;0,0714;6,8721
0,4222;0,0679;6,7632
0,4278;0,0679;6,6733
0,4278;0,0607;6,4866
0,4333;0,0607;6,4610
0,4333;0,0571;6,4517
0,4500;0,0571;6,1619
0,4500;0,0536;6,1404
0,5028;0,0536;5,5132
0,5028;0,0500;5,4877
0,5139;0,0500;5,3009
0,5139;0,0464;5,2991
1,0000;0,0464;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
