Features:; Ratha1995MinutiaeExtractor_Ratha1995SkeImgExtractor.jy
Average match time(ms):; 10,53438
EER(%):; 12,639
FMR100(%):; 33,571
FMR1000(%):; 41,071
ZeroFmr(%):; 41,071
Matcher:;MJY
FMR;FNMR;Threshold
0,0000;0,4107;16,3265
0,0028;0,4107;16,2791
0,0028;0,3607;15,1515
0,0056;0,3607;15,0000
0,0056;0,3429;14,8936
0,0083;0,3429;14,8148
0,0083;0,3357;14,4144
0,0111;0,3357;14,2857
0,0111;0,3071;14,0625
0,0139;0,3071;13,9535
0,0139;0,2714;13,2653
0,0167;0,2714;13,2075
0,0167;0,2607;12,9771
0,0194;0,2607;12,8571
0,0194;0,2429;12,6984
0,0222;0,2429;12,6126
0,0222;0,2357;12,2137
0,0250;0,2357;12,1212
0,0250;0,2250;11,9048
0,0278;0,2250;11,7647
0,0278;0,2107;11,5385
0,0389;0,2107;11,1111
0,0389;0,2071;11,1111
0,0444;0,2071;10,9375
0,0444;0,1929;10,6383
0,0472;0,1929;10,5263
0,0472;0,1893;10,4167
0,0500;0,1893;10,2941
0,0500;0,1857;10,2941
0,0528;0,1857;10,2564
0,0528;0,1821;10,2564
0,0583;0,1821;10,1449
0,0583;0,1786;10,1266
0,0611;0,1786;10,0000
0,0611;0,1714;9,9099
0,0639;0,1714;9,8361
0,0639;0,1607;9,8361
0,0722;0,1607;9,6154
0,0722;0,1571;9,5890
0,0778;0,1571;9,5238
0,0778;0,1536;9,4595
0,0861;0,1536;9,4340
0,0861;0,1500;9,4017
0,0889;0,1500;9,3023
0,0889;0,1464;9,3023
0,1083;0,1464;9,0909
0,1083;0,1357;9,0164
0,1111;0,1357;8,9744
0,1111;0,1321;8,9744
0,1139;0,1321;8,8608
0,1139;0,1286;8,8608
0,1278;0,1286;8,6957
0,1278;0,1250;8,6957
0,1694;0,1250;8,3333
0,1694;0,1179;8,2569
0,1778;0,1179;8,1967
0,1778;0,1143;8,1967
0,1833;0,1143;8,1081
0,1833;0,1071;8,1081
0,1889;0,1071;7,9365
0,1889;0,1036;7,9365
0,2000;0,1036;7,8431
0,2000;0,1000;7,8431
0,2139;0,1000;7,7922
0,2139;0,0964;7,7922
0,2306;0,0964;7,6923
0,2306;0,0893;7,6923
0,2333;0,0893;7,6336
0,2333;0,0821;7,5949
0,2444;0,0821;7,5758
0,2444;0,0750;7,5758
0,2944;0,0750;7,3394
0,2944;0,0714;7,3394
0,3222;0,0714;7,2464
0,3222;0,0679;7,2464
0,3583;0,0679;6,9767
0,3583;0,0571;6,9767
0,3667;0,0571;6,8493
0,3667;0,0536;6,8493
0,3722;0,0536;6,8182
0,3722;0,0500;6,8182
0,3917;0,0500;6,7568
0,3917;0,0464;6,7568
0,4167;0,0464;6,4935
0,4167;0,0429;6,4935
0,4417;0,0429;6,4103
0,4417;0,0393;6,4103
0,5083;0,0393;6,1069
0,5083;0,0357;6,1069
0,5167;0,0357;6,0606
0,5167;0,0286;6,0606
0,5611;0,0286;5,7971
0,5611;0,0214;5,7971
0,5944;0,0214;5,4348
0,5944;0,0179;5,4348
0,6528;0,0179;5,1948
0,6528;0,0143;5,1948
0,8167;0,0143;4,5455
0,8167;0,0107;4,5455
0,8222;0,0107;4,5045
0,8222;0,0071;4,5045
0,8556;0,0071;4,3478
0,8556;0,0036;4,3478
0,9500;0,0036;3,5294
0,9500;0,0000;3,5294
1,0000;0,0000;2,2901
1,0000;0,0000;2,2901
1,0000;0,0000;2,2901
