Features:; Ratha1995MinutiaeExtractor_Ratha1995OrImgExtractor.qyw
Average match time(ms):; 22,45000
EER(%):; 15,496
FMR100(%):; 57,857
FMR1000(%):; 73,929
ZeroFmr(%):; 73,929
Matcher:;QYW
FMR;FNMR;Threshold
0,0000;0,7393;0,5716
0,0028;0,7393;0,5684
0,0028;0,6000;0,5172
0,0056;0,6000;0,5171
0,0056;0,5893;0,5150
0,0083;0,5893;0,5141
0,0083;0,5786;0,5098
0,0111;0,5786;0,5097
0,0111;0,5250;0,4956
0,0139;0,5250;0,4955
0,0139;0,4857;0,4775
0,0194;0,4857;0,4740
0,0194;0,3964;0,4416
0,0222;0,3964;0,4414
0,0222;0,3893;0,4405
0,0250;0,3893;0,4381
0,0250;0,3786;0,4340
0,0278;0,3786;0,4338
0,0278;0,3714;0,4327
0,0306;0,3714;0,4325
0,0306;0,3500;0,4289
0,0361;0,3500;0,4275
0,0361;0,3214;0,4222
0,0389;0,3214;0,4209
0,0389;0,3000;0,4176
0,0444;0,3000;0,4163
0,0444;0,2857;0,4145
0,0472;0,2857;0,4140
0,0472;0,2821;0,4094
0,0528;0,2821;0,4090
0,0528;0,2786;0,4088
0,0556;0,2786;0,4082
0,0556;0,2679;0,4027
0,0583;0,2679;0,4017
0,0583;0,2643;0,4016
0,0611;0,2643;0,4005
0,0611;0,2571;0,4003
0,0639;0,2571;0,3990
0,0639;0,2429;0,3967
0,0667;0,2429;0,3967
0,0667;0,2393;0,3960
0,0722;0,2393;0,3956
0,0722;0,2357;0,3940
0,0778;0,2357;0,3934
0,0778;0,2214;0,3912
0,0861;0,2214;0,3879
0,0861;0,2143;0,3860
0,0889;0,2143;0,3851
0,0889;0,2000;0,3820
0,0917;0,2000;0,3805
0,0917;0,1929;0,3800
0,1000;0,1929;0,3789
0,1000;0,1893;0,3785
0,1083;0,1893;0,3760
0,1083;0,1857;0,3752
0,1194;0,1857;0,3711
0,1194;0,1786;0,3705
0,1333;0,1786;0,3646
0,1333;0,1750;0,3646
0,1444;0,1750;0,3621
0,1444;0,1714;0,3617
0,1472;0,1714;0,3612
0,1472;0,1643;0,3602
0,1528;0,1643;0,3598
0,1528;0,1571;0,3594
0,1639;0,1571;0,3567
0,1639;0,1536;0,3554
0,1694;0,1536;0,3541
0,1694;0,1500;0,3541
0,1722;0,1500;0,3519
0,1722;0,1464;0,3514
0,1833;0,1464;0,3490
0,1833;0,1393;0,3481
0,1972;0,1393;0,3455
0,1972;0,1357;0,3419
0,2056;0,1357;0,3404
0,2056;0,1286;0,3390
0,2222;0,1286;0,3355
0,2222;0,1250;0,3353
0,2361;0,1250;0,3308
0,2361;0,1143;0,3304
0,2556;0,1143;0,3246
0,2556;0,1107;0,3232
0,2611;0,1107;0,3211
0,2611;0,1000;0,3199
0,2806;0,1000;0,3149
0,2806;0,0857;0,3132
0,2944;0,0857;0,3093
0,2944;0,0821;0,3093
0,3000;0,0821;0,3088
0,3000;0,0786;0,3078
0,3194;0,0786;0,3032
0,3194;0,0750;0,3031
0,3250;0,0750;0,3018
0,3250;0,0714;0,3016
0,3361;0,0714;0,2971
0,3361;0,0679;0,2969
0,3389;0,0679;0,2942
0,3389;0,0643;0,2934
0,3417;0,0643;0,2930
0,3417;0,0607;0,2914
0,3722;0,0607;0,2863
0,3722;0,0571;0,2834
0,4194;0,0571;0,2733
0,4194;0,0536;0,2720
0,4278;0,0536;0,2715
0,4278;0,0500;0,2714
0,4444;0,0500;0,2691
0,4444;0,0464;0,2670
0,4583;0,0464;0,2624
0,4583;0,0429;0,2624
0,4806;0,0429;0,2573
0,4806;0,0393;0,2566
0,4889;0,0393;0,2555
0,4889;0,0357;0,2552
0,4944;0,0357;0,2536
0,4944;0,0321;0,2535
0,5056;0,0321;0,2521
0,5056;0,0286;0,2519
0,5194;0,0286;0,2501
0,5194;0,0250;0,2475
0,5417;0,0250;0,2423
0,5417;0,0214;0,2415
0,5583;0,0214;0,2398
0,5583;0,0179;0,2392
0,6000;0,0179;0,2313
0,6000;0,0143;0,2302
0,6556;0,0143;0,2151
0,6556;0,0107;0,2140
0,8333;0,0107;0,1649
0,8333;0,0071;0,1647
0,8944;0,0071;0,1458
0,8944;0,0036;0,1437
0,9278;0,0036;0,1282
0,9278;0,0000;0,1282
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
