Features:; Ratha1995MinutiaeExtractor_Ratha1995OrImgExtractor.qyw
Average match time(ms):; 24,44531
EER(%):; 9,226
FMR100(%):; 24,643
FMR1000(%):; 33,929
ZeroFmr(%):; 33,929
Matcher:;MQYW
FMR;FNMR;Threshold
0,0000;0,3393;0,3196
0,0028;0,3393;0,3177
0,0028;0,2893;0,2963
0,0056;0,2893;0,2947
0,0056;0,2464;0,2834
0,0139;0,2464;0,2797
0,0139;0,2250;0,2746
0,0167;0,2250;0,2745
0,0167;0,1964;0,2648
0,0194;0,1964;0,2648
0,0194;0,1500;0,2539
0,0222;0,1500;0,2532
0,0222;0,1464;0,2531
0,0250;0,1464;0,2523
0,0250;0,1393;0,2482
0,0361;0,1393;0,2479
0,0361;0,1286;0,2459
0,0389;0,1286;0,2447
0,0389;0,1143;0,2404
0,0500;0,1143;0,2380
0,0500;0,1107;0,2351
0,0667;0,1107;0,2290
0,0667;0,1071;0,2290
0,0694;0,1071;0,2290
0,0694;0,1036;0,2289
0,0722;0,1036;0,2287
0,0722;0,1000;0,2285
0,0861;0,1000;0,2255
0,0861;0,0964;0,2245
0,0917;0,0964;0,2227
0,0917;0,0929;0,2226
0,1111;0,0929;0,2147
0,1111;0,0893;0,2146
0,1167;0,0893;0,2127
0,1167;0,0857;0,2123
0,1222;0,0857;0,2097
0,1222;0,0821;0,2091
0,1278;0,0821;0,2086
0,1278;0,0786;0,2078
0,1417;0,0786;0,2047
0,1417;0,0750;0,2037
0,1667;0,0750;0,1983
0,1667;0,0679;0,1963
0,1750;0,0679;0,1949
0,1750;0,0643;0,1937
0,1944;0,0643;0,1877
0,1944;0,0571;0,1875
0,2194;0,0571;0,1821
0,2194;0,0536;0,1805
0,2583;0,0536;0,1760
0,2583;0,0500;0,1736
0,2611;0,0500;0,1733
0,2611;0,0429;0,1726
0,2750;0,0429;0,1709
0,2750;0,0393;0,1706
0,2806;0,0393;0,1691
0,2806;0,0321;0,1686
0,2944;0,0321;0,1677
0,2944;0,0286;0,1656
0,3333;0,0286;0,1611
0,3333;0,0250;0,1601
0,4472;0,0250;0,1458
0,4472;0,0214;0,1453
0,6028;0,0214;0,1272
0,6028;0,0179;0,1271
0,7361;0,0179;0,1118
0,7361;0,0143;0,1103
0,8389;0,0143;0,0929
0,8389;0,0107;0,0916
0,8583;0,0107;0,0876
0,8583;0,0071;0,0864
0,9417;0,0071;0,0719
0,9417;0,0036;0,0708
0,9889;0,0036;0,0529
0,9889;0,0000;0,0505
1,0000;0,0000;0,0405
1,0000;0,0000;0,0405
1,0000;0,0000;0,0405
