Features:; Ratha1995MinutiaeExtractor(4).mtp
Average match time(ms):; 2,68750
EER(%):; 6,488
FMR100(%):; 10,714
FMR1000(%):; 11,071
ZeroFmr(%):; 11,071
Matcher:;M3gl
FMR;FNMR;Threshold
0,0000;0,1107;0,0204
0,0056;0,1107;0,0169
0,0056;0,1071;0,0167
0,0111;0,1071;0,0161
0,0111;0,1036;0,0158
0,0139;0,1036;0,0156
0,0139;0,1000;0,0152
0,0194;0,1000;0,0150
0,0194;0,0929;0,0140
0,0250;0,0929;0,0136
0,0250;0,0893;0,0133
0,0306;0,0893;0,0130
0,0306;0,0857;0,0130
0,0500;0,0857;0,0122
0,0500;0,0821;0,0120
0,0556;0,0821;0,0117
0,0556;0,0786;0,0114
0,0583;0,0786;0,0114
0,0583;0,0714;0,0111
0,0722;0,0714;0,0108
0,0722;0,0679;0,0103
0,1278;0,0679;0,0087
0,1278;0,0643;0,0086
0,1444;0,0643;0,0082
0,1444;0,0607;0,0081
0,1722;0,0607;0,0075
0,1722;0,0536;0,0075
0,2139;0,0536;0,0070
0,2139;0,0500;0,0070
0,2361;0,0500;0,0066
0,2361;0,0464;0,0066
0,2667;0,0464;0,0063
0,2667;0,0429;0,0063
0,3083;0,0429;0,0058
0,3083;0,0393;0,0058
0,4194;0,0393;0,0049
0,4194;0,0357;0,0049
0,4333;0,0357;0,0048
0,4333;0,0321;0,0047
0,4500;0,0321;0,0046
0,4500;0,0286;0,0046
0,4667;0,0286;0,0045
0,4667;0,0250;0,0045
0,4833;0,0250;0,0044
0,4833;0,0214;0,0044
0,5361;0,0214;0,0040
0,5361;0,0179;0,0039
0,5639;0,0179;0,0038
0,5639;0,0143;0,0038
0,5917;0,0143;0,0037
0,5917;0,0071;0,0037
0,6528;0,0071;0,0035
0,6528;0,0036;0,0035
0,9667;0,0036;0,0017
0,9667;0,0000;0,0016
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
