Features:; Ratha1995MinutiaeExtractor_Ratha1995OrImgExtractor.tk
Average match time(ms):; 10,83750
EER(%):; 5,456
FMR100(%):; 12,143
FMR1000(%):; 35,714
ZeroFmr(%):; 35,714
Matcher:;MTK
FMR;FNMR;Threshold
0,0000;0,3571;0,0094
0,0028;0,3571;0,0094
0,0028;0,1571;0,0053
0,0056;0,1571;0,0053
0,0056;0,1357;0,0050
0,0083;0,1357;0,0050
0,0083;0,1214;0,0045
0,0111;0,1214;0,0045
0,0111;0,1143;0,0044
0,0139;0,1143;0,0043
0,0139;0,1107;0,0043
0,0222;0,1107;0,0039
0,0222;0,1000;0,0039
0,0306;0,1000;0,0037
0,0306;0,0929;0,0037
0,0333;0,0929;0,0035
0,0333;0,0893;0,0035
0,0361;0,0893;0,0035
0,0361;0,0714;0,0031
0,0389;0,0714;0,0031
0,0389;0,0643;0,0030
0,0472;0,0643;0,0029
0,0472;0,0607;0,0028
0,0528;0,0607;0,0028
0,0528;0,0571;0,0028
0,0556;0,0571;0,0027
0,0556;0,0536;0,0027
0,0583;0,0536;0,0027
0,0583;0,0464;0,0026
0,0778;0,0464;0,0024
0,0778;0,0429;0,0024
0,0944;0,0429;0,0022
0,0944;0,0393;0,0022
0,1056;0,0393;0,0021
0,1056;0,0357;0,0021
0,1083;0,0357;0,0021
0,1083;0,0321;0,0021
0,1194;0,0321;0,0020
0,1194;0,0286;0,0020
0,1278;0,0286;0,0019
0,1278;0,0250;0,0019
0,1389;0,0250;0,0019
0,1389;0,0214;0,0018
0,1611;0,0214;0,0017
0,1611;0,0179;0,0017
0,1694;0,0179;0,0017
0,1694;0,0143;0,0016
0,1917;0,0143;0,0015
0,1917;0,0107;0,0015
0,1972;0,0107;0,0015
0,1972;0,0071;0,0015
0,2389;0,0071;0,0014
0,2389;0,0036;0,0014
0,6167;0,0036;0,0006
0,6167;0,0000;0,0006
1,0000;0,0000;0,0001
1,0000;0,0000;0,0001
1,0000;0,0000;0,0001
