Features:; Delaunay(Ratha1995MinutiaeExtractor).mtp
Average match time(ms):; 59,25000
EER(%):; 8,175
FMR100(%):; 15,357
FMR1000(%):; 22,143
ZeroFmr(%):; 22,143
Matcher:;MPN
FMR;FNMR;Threshold
0,0000;0,2214;23,3978
0,0028;0,2214;22,8306
0,0028;0,1750;21,2766
0,0056;0,1750;21,2042
0,0056;0,1679;20,2992
0,0083;0,1679;20,2634
0,0083;0,1536;19,5998
0,0139;0,1536;19,5256
0,0139;0,1464;19,3448
0,0167;0,1464;19,2785
0,0167;0,1393;19,0857
0,0222;0,1393;19,0058
0,0222;0,1357;18,5164
0,0250;0,1357;18,4830
0,0250;0,1321;18,4618
0,0278;0,1321;18,2574
0,0278;0,1214;17,7878
0,0306;0,1214;17,5682
0,0306;0,1143;16,9968
0,0333;0,1143;16,9334
0,0333;0,1071;16,7225
0,0389;0,1071;16,4698
0,0389;0,1036;16,4698
0,0472;0,1036;16,1437
0,0472;0,1000;15,9901
0,0528;0,1000;15,8673
0,0528;0,0964;15,8293
0,0694;0,0964;15,5717
0,0694;0,0929;15,5534
0,0778;0,0929;15,3998
0,0778;0,0857;15,0898
0,0917;0,0857;14,6508
0,0917;0,0821;14,6151
0,1056;0,0821;14,4215
0,1056;0,0786;14,3952
0,1250;0,0786;14,1414
0,1250;0,0714;14,0083
0,1444;0,0714;13,6055
0,1444;0,0679;13,5982
0,1889;0,0679;13,0797
0,1889;0,0643;13,0682
0,2306;0,0643;12,4334
0,2306;0,0607;12,3955
0,2444;0,0607;12,2332
0,2444;0,0571;12,2319
0,2639;0,0571;11,8678
0,2639;0,0536;11,8678
0,3028;0,0536;11,4411
0,3028;0,0500;11,3990
0,3194;0,0500;11,1915
0,3194;0,0464;11,1688
0,3583;0,0464;10,6633
0,3583;0,0429;10,6465
0,3611;0,0429;10,6411
0,3611;0,0393;10,6182
0,3889;0,0393;10,3039
0,3889;0,0321;10,1710
0,4472;0,0321;9,6561
0,4472;0,0286;9,5743
0,4944;0,0286;8,8965
0,4944;0,0250;8,8918
0,6139;0,0250;7,9243
0,6139;0,0214;7,9243
0,6500;0,0214;7,6004
0,6500;0,0179;7,5716
0,6778;0,0179;7,1088
0,6778;0,0143;7,0711
0,7722;0,0143;5,6960
0,7722;0,0107;5,6710
1,0000;0,0107;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
