Features:; Ratha1995MinutiaeExtractor_Ratha1995OrImgExtractor.qyw
Average match time(ms):; 48,55313
EER(%):; 15,913
FMR100(%):; 38,214
FMR1000(%):; 41,071
ZeroFmr(%):; 41,071
Matcher:;MQYW
FMR;FNMR;Threshold
0,0000;0,4107;0,2544
0,0056;0,4107;0,2526
0,0056;0,4036;0,2484
0,0083;0,4036;0,2483
0,0083;0,3821;0,2401
0,0111;0,3821;0,2399
0,0111;0,3679;0,2366
0,0139;0,3679;0,2362
0,0139;0,3429;0,2297
0,0167;0,3429;0,2292
0,0167;0,3286;0,2243
0,0194;0,3286;0,2241
0,0194;0,3071;0,2175
0,0222;0,3071;0,2167
0,0222;0,3036;0,2162
0,0250;0,3036;0,2156
0,0250;0,2821;0,2061
0,0278;0,2821;0,2059
0,0278;0,2750;0,2053
0,0306;0,2750;0,2046
0,0306;0,2714;0,2005
0,0361;0,2714;0,1964
0,0361;0,2643;0,1936
0,0417;0,2643;0,1931
0,0417;0,2607;0,1926
0,0444;0,2607;0,1919
0,0444;0,2536;0,1912
0,0472;0,2536;0,1912
0,0472;0,2500;0,1909
0,0528;0,2500;0,1889
0,0528;0,2357;0,1843
0,0611;0,2357;0,1832
0,0611;0,2286;0,1827
0,0667;0,2286;0,1824
0,0667;0,2214;0,1806
0,0778;0,2214;0,1751
0,0778;0,2179;0,1750
0,0806;0,2179;0,1741
0,0806;0,2143;0,1734
0,0833;0,2143;0,1715
0,0833;0,2107;0,1714
0,0917;0,2107;0,1703
0,0917;0,2071;0,1702
0,1000;0,2071;0,1675
0,1000;0,1893;0,1654
0,1028;0,1893;0,1653
0,1028;0,1857;0,1652
0,1139;0,1857;0,1650
0,1139;0,1821;0,1629
0,1167;0,1821;0,1619
0,1167;0,1786;0,1614
0,1306;0,1786;0,1588
0,1306;0,1750;0,1586
0,1444;0,1750;0,1546
0,1444;0,1714;0,1528
0,1472;0,1714;0,1528
0,1472;0,1679;0,1527
0,1611;0,1679;0,1491
0,1611;0,1571;0,1467
0,1667;0,1571;0,1452
0,1667;0,1536;0,1451
0,1694;0,1536;0,1447
0,1694;0,1500;0,1421
0,1750;0,1500;0,1419
0,1750;0,1429;0,1417
0,1861;0,1429;0,1381
0,1861;0,1393;0,1380
0,2111;0,1393;0,1342
0,2111;0,1357;0,1331
0,2139;0,1357;0,1325
0,2139;0,1321;0,1309
0,2194;0,1321;0,1301
0,2194;0,1286;0,1299
0,2444;0,1286;0,1254
0,2444;0,1250;0,1249
0,2500;0,1250;0,1242
0,2500;0,1214;0,1241
0,2722;0,1214;0,1212
0,2722;0,1179;0,1210
0,2778;0,1179;0,1208
0,2778;0,1143;0,1208
0,2833;0,1143;0,1204
0,2833;0,1107;0,1203
0,2861;0,1107;0,1201
0,2861;0,1071;0,1200
0,3139;0,1071;0,1175
0,3139;0,1036;0,1175
0,3167;0,1036;0,1173
0,3167;0,1000;0,1170
0,3194;0,1000;0,1169
0,3194;0,0964;0,1168
0,3250;0,0964;0,1163
0,3250;0,0929;0,1154
0,3306;0,0929;0,1148
0,3306;0,0893;0,1147
0,3806;0,0893;0,1101
0,3806;0,0857;0,1092
0,3944;0,0857;0,1068
0,3944;0,0821;0,1065
0,4000;0,0821;0,1060
0,4000;0,0786;0,1056
0,4056;0,0786;0,1044
0,4056;0,0750;0,1044
0,4139;0,0750;0,1036
0,4139;0,0714;0,1030
0,4167;0,0714;0,1026
0,4167;0,0679;0,1026
0,4722;0,0679;0,0973
0,4722;0,0643;0,0969
0,5083;0,0643;0,0920
0,5083;0,0607;0,0919
0,5333;0,0607;0,0904
0,5333;0,0571;0,0903
0,5583;0,0571;0,0876
0,5583;0,0536;0,0876
0,6278;0,0536;0,0805
0,6278;0,0500;0,0794
0,6361;0,0500;0,0789
0,6361;0,0464;0,0783
0,6556;0,0464;0,0764
0,6556;0,0429;0,0764
0,6750;0,0429;0,0735
0,6750;0,0393;0,0734
0,6806;0,0393;0,0734
0,6806;0,0357;0,0731
0,7000;0,0357;0,0709
0,7000;0,0321;0,0709
0,7639;0,0321;0,0662
0,7639;0,0250;0,0655
0,7833;0,0250;0,0650
0,7833;0,0214;0,0647
0,8306;0,0214;0,0595
0,8306;0,0143;0,0580
0,8417;0,0143;0,0571
0,8417;0,0107;0,0568
0,8500;0,0107;0,0559
0,8500;0,0071;0,0546
0,8556;0,0071;0,0543
0,8556;0,0036;0,0542
0,9278;0,0036;0,0440
0,9278;0,0000;0,0439
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
