Features:; Ratha1995MinutiaeExtractor_Ratha1995OrImgExtractor.tk
Average match time(ms):; 17,28281
EER(%):; 16,230
FMR100(%):; 41,786
FMR1000(%):; 46,429
ZeroFmr(%):; 46,429
Matcher:;TK
FMR;FNMR;Threshold
0,0000;0,4643;0,0111
0,0028;0,4643;0,0109
0,0028;0,4429;0,0097
0,0056;0,4429;0,0097
0,0056;0,4321;0,0096
0,0083;0,4321;0,0095
0,0083;0,4179;0,0086
0,0111;0,4179;0,0085
0,0111;0,4107;0,0084
0,0139;0,4107;0,0083
0,0139;0,4036;0,0081
0,0167;0,4036;0,0080
0,0167;0,3893;0,0072
0,0194;0,3893;0,0071
0,0194;0,3786;0,0068
0,0222;0,3786;0,0066
0,0222;0,3679;0,0062
0,0250;0,3679;0,0061
0,0250;0,3643;0,0055
0,0278;0,3643;0,0052
0,0278;0,3500;0,0048
0,0306;0,3500;0,0048
0,0306;0,3464;0,0047
0,0333;0,3464;0,0047
0,0333;0,3393;0,0044
0,0389;0,3393;0,0044
0,0389;0,3179;0,0041
0,0417;0,3179;0,0041
0,0417;0,3143;0,0041
0,0472;0,3143;0,0040
0,0472;0,3000;0,0039
0,0500;0,3000;0,0039
0,0500;0,2929;0,0038
0,0583;0,2929;0,0037
0,0583;0,2643;0,0034
0,0611;0,2643;0,0033
0,0611;0,2500;0,0032
0,0667;0,2500;0,0032
0,0667;0,2357;0,0031
0,0750;0,2357;0,0031
0,0750;0,2286;0,0031
0,0778;0,2286;0,0030
0,0778;0,2250;0,0030
0,0972;0,2250;0,0027
0,0972;0,2214;0,0027
0,1000;0,2214;0,0027
0,1000;0,2000;0,0026
0,1194;0,2000;0,0023
0,1194;0,1964;0,0023
0,1278;0,1964;0,0023
0,1278;0,1893;0,0023
0,1306;0,1893;0,0022
0,1306;0,1821;0,0022
0,1417;0,1821;0,0022
0,1417;0,1786;0,0022
0,1500;0,1786;0,0021
0,1500;0,1714;0,0020
0,1528;0,1714;0,0020
0,1528;0,1679;0,0020
0,1611;0,1679;0,0020
0,1611;0,1643;0,0019
0,1639;0,1643;0,0019
0,1639;0,1607;0,0019
0,1694;0,1607;0,0019
0,1694;0,1571;0,0019
0,1889;0,1571;0,0017
0,1889;0,1536;0,0017
0,2056;0,1536;0,0016
0,2056;0,1500;0,0016
0,2167;0,1500;0,0016
0,2167;0,1464;0,0016
0,2222;0,1464;0,0016
0,2222;0,1429;0,0016
0,2778;0,1429;0,0014
0,2778;0,1393;0,0014
0,2917;0,1393;0,0013
0,2917;0,1321;0,0013
0,3278;0,1321;0,0012
0,3278;0,1286;0,0012
0,3306;0,1286;0,0012
0,3306;0,1250;0,0012
0,3750;0,1250;0,0011
0,3750;0,1214;0,0011
0,3778;0,1214;0,0011
0,3778;0,1179;0,0011
0,3861;0,1179;0,0011
0,3861;0,1143;0,0011
0,4028;0,1143;0,0010
0,4028;0,1071;0,0010
0,4278;0,1071;0,0010
0,4278;0,1036;0,0010
0,4417;0,1036;0,0010
0,4417;0,0964;0,0009
0,4556;0,0964;0,0009
0,4556;0,0929;0,0009
0,4667;0,0929;0,0009
0,4667;0,0893;0,0009
0,4722;0,0893;0,0009
0,4722;0,0857;0,0009
0,4944;0,0857;0,0008
0,4944;0,0821;0,0008
0,5000;0,0821;0,0008
0,5000;0,0786;0,0008
0,5083;0,0786;0,0008
0,5083;0,0750;0,0008
0,5361;0,0750;0,0007
0,5361;0,0714;0,0007
0,5639;0,0714;0,0007
0,5639;0,0679;0,0007
0,5861;0,0679;0,0006
0,5861;0,0643;0,0006
0,5944;0,0643;0,0006
0,5944;0,0607;0,0006
0,5972;0,0607;0,0006
0,5972;0,0571;0,0006
0,6417;0,0571;0,0006
0,6417;0,0536;0,0006
0,6639;0,0536;0,0005
0,6639;0,0500;0,0005
0,6694;0,0500;0,0005
0,6694;0,0464;0,0005
0,6806;0,0464;0,0005
0,6806;0,0429;0,0005
0,7444;0,0429;0,0004
0,7444;0,0393;0,0004
0,8139;0,0393;0,0003
0,8139;0,0321;0,0003
0,8583;0,0321;0,0003
0,8583;0,0250;0,0003
0,8667;0,0250;0,0003
0,8667;0,0214;0,0003
0,8972;0,0214;0,0002
0,8972;0,0179;0,0002
0,9167;0,0179;0,0002
0,9167;0,0143;0,0002
0,9472;0,0143;0,0001
0,9472;0,0107;0,0001
0,9528;0,0107;0,0001
0,9528;0,0071;0,0001
0,9611;0,0071;0,0001
0,9611;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
