Features:; Ratha1995MinutiaeExtractor_Ratha1995SkeImgExtractor.jy
Average match time(ms):; 19,96719
EER(%):; 18,492
FMR100(%):; 36,429
FMR1000(%):; 59,286
ZeroFmr(%):; 59,286
Matcher:;MJY
FMR;FNMR;Threshold
0,0000;0,5929;20,2381
0,0028;0,5929;20,0000
0,0028;0,4000;12,9032
0,0056;0,4000;12,8205
0,0056;0,3714;12,2137
0,0083;0,3714;12,1951
0,0083;0,3643;12,0000
0,0111;0,3643;11,9048
0,0111;0,3571;11,7647
0,0139;0,3571;11,5385
0,0139;0,3536;11,5385
0,0222;0,3536;11,4286
0,0222;0,3429;11,2903
0,0333;0,3429;10,5263
0,0333;0,3357;10,4478
0,0361;0,3357;10,4167
0,0361;0,3286;10,3175
0,0417;0,3286;10,0000
0,0417;0,3214;9,9174
0,0444;0,3214;9,8039
0,0444;0,3143;9,7015
0,0528;0,3143;9,6774
0,0528;0,2964;9,6154
0,0583;0,2964;9,5238
0,0583;0,2571;9,0000
0,0806;0,2571;8,5714
0,0806;0,2500;8,4034
0,0889;0,2500;8,3333
0,0889;0,2357;8,2645
0,0972;0,2357;8,1633
0,0972;0,2321;8,1633
0,1028;0,2321;8,1081
0,1028;0,2286;8,0645
0,1083;0,2286;8,0000
0,1083;0,2250;7,9470
0,1167;0,2250;7,8652
0,1167;0,2179;7,7419
0,1333;0,2179;7,5758
0,1333;0,2143;7,5630
0,1444;0,2143;7,4627
0,1444;0,2071;7,4074
0,1611;0,2071;7,2289
0,1611;0,2036;7,1895
0,1806;0,2036;7,1429
0,1806;0,1893;7,0352
0,1917;0,1893;7,0000
0,1917;0,1821;6,8702
0,2056;0,1821;6,5789
0,2056;0,1786;6,5359
0,2194;0,1786;6,4516
0,2194;0,1679;6,4516
0,2306;0,1679;6,1224
0,2306;0,1571;6,1069
0,2333;0,1571;6,0606
0,2333;0,1536;6,0606
0,2389;0,1536;6,0241
0,2389;0,1500;6,0000
0,2417;0,1500;5,9880
0,2417;0,1429;5,9880
0,2444;0,1429;5,9701
0,2444;0,1393;5,9603
0,2583;0,1393;5,8824
0,2583;0,1321;5,8824
0,2639;0,1321;5,7851
0,2639;0,1286;5,7851
0,2750;0,1286;5,7692
0,2750;0,1107;5,6818
0,2944;0,1107;5,6180
0,2944;0,1071;5,5556
0,2972;0,1071;5,4264
0,2972;0,1036;5,4264
0,3000;0,1036;5,3892
0,3000;0,0964;5,3892
0,3083;0,0964;5,3435
0,3083;0,0929;5,3435
0,3222;0,0929;5,1613
0,3222;0,0893;5,1613
0,3417;0,0893;5,1282
0,3417;0,0857;5,1136
0,3583;0,0857;5,1020
0,3583;0,0786;5,1020
0,3833;0,0786;5,0000
0,3833;0,0750;5,0000
0,4194;0,0750;4,8387
0,4194;0,0679;4,8387
0,4472;0,0679;4,6512
0,4472;0,0643;4,6512
0,4694;0,0643;4,5455
0,4694;0,0536;4,5455
0,4722;0,0536;4,5161
0,4722;0,0500;4,5161
0,5000;0,0500;4,2017
0,5000;0,0464;4,2017
0,5833;0,0464;4,0323
0,5833;0,0393;4,0201
0,6528;0,0393;3,7879
0,6528;0,0321;3,7879
0,6889;0,0321;3,6145
0,6889;0,0286;3,5928
0,7028;0,0286;3,5176
0,7028;0,0250;3,5176
0,7111;0,0250;3,4091
0,7111;0,0179;3,4091
0,7861;0,0179;3,1008
0,7861;0,0143;3,1008
0,8250;0,0143;3,0534
0,8250;0,0107;3,0534
0,8500;0,0107;3,0151
0,8500;0,0000;3,0151
1,0000;0,0000;1,9608
1,0000;0,0000;1,9608
1,0000;0,0000;1,9608
