Features:; Ratha1995MinutiaeExtractor.pn
Average match time(ms):; 104,57344
EER(%):; 16,726
FMR100(%):; 28,929
FMR1000(%):; 29,286
ZeroFmr(%):; 29,286
Matcher:;PN
FMR;FNMR;Threshold
0,0000;0,2929;18,7680
0,0083;0,2929;17,9374
0,0083;0,2893;17,4347
0,0139;0,2893;16,8862
0,0139;0,2786;16,3286
0,0167;0,2786;16,3118
0,0167;0,2750;16,1032
0,0222;0,2750;15,8673
0,0222;0,2571;15,0376
0,0306;0,2571;14,6508
0,0306;0,2536;14,5479
0,0417;0,2536;14,2177
0,0417;0,2429;14,1576
0,0444;0,2429;14,1046
0,0444;0,2321;13,8675
0,0472;0,2321;13,8643
0,0472;0,2286;13,7672
0,0500;0,2286;13,7651
0,0500;0,2179;13,3333
0,0639;0,2179;12,9792
0,0639;0,2143;12,9570
0,0750;0,2143;12,5615
0,0750;0,2107;12,5240
0,0778;0,2107;12,4808
0,0778;0,2071;12,3955
0,0833;0,2071;12,3208
0,0833;0,1964;12,2319
0,0917;0,1964;12,1469
0,0917;0,1929;12,1455
0,0944;0,1929;12,1238
0,0944;0,1893;12,1046
0,0972;0,1893;12,0939
0,0972;0,1821;12,0510
0,1222;0,1821;11,5087
0,1222;0,1750;11,3228
0,1556;0,1750;10,9109
0,1556;0,1714;10,9109
0,1667;0,1714;10,7275
0,1667;0,1679;10,7148
0,1806;0,1679;10,5099
0,1806;0,1607;10,4037
0,2056;0,1607;9,9311
0,2056;0,1571;9,8412
0,2111;0,1571;9,7167
0,2111;0,1536;9,7083
0,2194;0,1536;9,5026
0,2194;0,1500;9,4943
0,2667;0,1500;8,9087
0,2667;0,1464;8,8939
0,2750;0,1464;8,7370
0,2750;0,1429;8,6727
0,2861;0,1429;8,4431
0,2861;0,1393;8,4122
0,3000;0,1393;8,2502
0,3000;0,1357;8,2052
0,3028;0,1357;8,1495
0,3028;0,1286;8,0988
0,3333;0,1286;7,6205
0,3333;0,1250;7,6046
0,3611;0,1250;7,2247
0,3611;0,1214;7,2002
0,3722;0,1214;7,1134
0,3722;0,1179;7,1074
0,3806;0,1179;7,0476
0,3806;0,1143;7,0447
0,4194;0,1143;6,4356
0,4194;0,1107;6,4235
0,4250;0,1107;6,3428
0,4250;0,1071;6,2776
0,4333;0,1071;6,2017
0,4333;0,1036;6,1862
0,4722;0,1036;5,9131
0,4722;0,1000;5,8890
0,4917;0,1000;5,7148
0,4917;0,0964;5,7147
0,4944;0,0964;5,4741
0,4944;0,0929;5,4393
0,4972;0,0929;5,4153
0,4972;0,0893;5,3882
0,5306;0,0893;5,0572
0,5306;0,0857;5,0508
0,5333;0,0857;5,0212
0,5333;0,0821;5,0063
0,5444;0,0821;4,8585
0,5444;0,0786;4,8025
0,5806;0,0786;4,1812
0,5806;0,0750;4,1757
0,6000;0,0750;3,5469
0,6000;0,0714;3,4816
1,0000;0,0714;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
