Features:; Ratha1995MinutiaeExtractor(4).mtp
Average match time(ms):; 5,35625
EER(%):; 16,310
FMR100(%):; 30,714
FMR1000(%):; 36,071
ZeroFmr(%):; 36,071
Matcher:;M3gl
FMR;FNMR;Threshold
0,0000;0,3607;0,0257
0,0028;0,3607;0,0255
0,0028;0,3464;0,0237
0,0056;0,3464;0,0231
0,0056;0,3214;0,0210
0,0083;0,3214;0,0210
0,0083;0,3071;0,0203
0,0111;0,3071;0,0199
0,0111;0,2821;0,0175
0,0139;0,2821;0,0167
0,0139;0,2750;0,0164
0,0167;0,2750;0,0161
0,0167;0,2536;0,0141
0,0361;0,2536;0,0128
0,0361;0,2429;0,0126
0,0389;0,2429;0,0124
0,0389;0,2286;0,0112
0,0417;0,2286;0,0112
0,0417;0,2250;0,0109
0,0472;0,2250;0,0105
0,0472;0,2179;0,0104
0,0500;0,2179;0,0103
0,0500;0,2107;0,0103
0,0556;0,2107;0,0103
0,0556;0,2071;0,0099
0,0667;0,2071;0,0097
0,0667;0,2036;0,0094
0,0750;0,2036;0,0091
0,0750;0,1929;0,0089
0,1111;0,1929;0,0080
0,1111;0,1893;0,0078
0,1167;0,1893;0,0076
0,1167;0,1857;0,0075
0,1333;0,1857;0,0070
0,1333;0,1821;0,0070
0,1444;0,1821;0,0067
0,1444;0,1786;0,0067
0,1472;0,1786;0,0067
0,1472;0,1714;0,0066
0,1583;0,1714;0,0064
0,1583;0,1679;0,0064
0,1861;0,1679;0,0061
0,1861;0,1643;0,0060
0,2056;0,1643;0,0057
0,2056;0,1607;0,0057
0,2194;0,1607;0,0055
0,2194;0,1571;0,0054
0,2222;0,1571;0,0054
0,2222;0,1429;0,0053
0,2306;0,1429;0,0052
0,2306;0,1393;0,0052
0,2361;0,1393;0,0052
0,2361;0,1250;0,0051
0,2472;0,1250;0,0049
0,2472;0,1214;0,0049
0,2611;0,1214;0,0047
0,2611;0,1179;0,0047
0,2778;0,1179;0,0045
0,2778;0,1143;0,0044
0,3028;0,1143;0,0043
0,3028;0,1107;0,0043
0,3194;0,1107;0,0041
0,3194;0,1036;0,0041
0,3333;0,1036;0,0039
0,3333;0,0929;0,0039
0,3583;0,0929;0,0037
0,3583;0,0857;0,0036
0,3972;0,0857;0,0035
0,3972;0,0821;0,0034
0,4528;0,0821;0,0031
0,4528;0,0786;0,0031
0,4889;0,0786;0,0029
0,4889;0,0750;0,0028
0,4917;0,0750;0,0028
0,4917;0,0714;0,0028
0,5056;0,0714;0,0026
0,5056;0,0679;0,0026
0,5333;0,0679;0,0026
0,5333;0,0643;0,0025
0,5444;0,0643;0,0025
0,5444;0,0571;0,0025
0,6306;0,0571;0,0021
0,6306;0,0536;0,0021
0,6361;0,0536;0,0021
0,6361;0,0500;0,0021
0,6389;0,0500;0,0021
0,6389;0,0464;0,0021
0,7056;0,0464;0,0019
0,7056;0,0393;0,0019
0,7417;0,0393;0,0017
0,7417;0,0357;0,0017
0,7667;0,0357;0,0016
0,7667;0,0321;0,0016
0,8083;0,0321;0,0014
0,8083;0,0286;0,0014
0,8500;0,0286;0,0013
0,8500;0,0179;0,0012
0,8806;0,0179;0,0011
0,8806;0,0143;0,0011
0,8944;0,0143;0,0011
0,8944;0,0107;0,0011
0,9250;0,0107;0,0009
0,9250;0,0071;0,0009
0,9361;0,0071;0,0008
0,9361;0,0036;0,0008
0,9639;0,0036;0,0005
0,9639;0,0000;0,0005
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
