Features:; Ratha1995MinutiaeExtractor_Ratha1995SkeImgExtractor.jy
Average match time(ms):; 14,44688
EER(%):; 19,683
FMR100(%):; 41,071
FMR1000(%):; 46,786
ZeroFmr(%):; 46,786
Matcher:;JY
FMR;FNMR;Threshold
0,0000;0,4679;31,7554
0,0028;0,4679;31,7122
0,0028;0,4321;29,4276
0,0056;0,4321;28,7183
0,0056;0,4143;28,1187
0,0083;0,4143;26,3512
0,0083;0,4107;26,2275
0,0139;0,4107;25,6622
0,0139;0,3679;23,0048
0,0194;0,3679;22,7100
0,0194;0,3643;22,5896
0,0250;0,3643;21,7951
0,0250;0,3571;21,6379
0,0278;0,3571;21,5278
0,0278;0,3536;21,3771
0,0306;0,3536;21,2504
0,0306;0,3429;20,8150
0,0361;0,3429;19,8959
0,0361;0,3393;19,8693
0,0389;0,3393;19,8427
0,0389;0,3250;19,3175
0,0417;0,3250;19,2765
0,0417;0,3179;19,2114
0,0444;0,3179;19,1179
0,0444;0,3071;18,6739
0,0500;0,3071;18,5878
0,0500;0,3036;18,4966
0,0556;0,3036;18,3216
0,0556;0,3000;18,2984
0,0583;0,3000;18,2043
0,0583;0,2964;17,9673
0,0611;0,2964;17,8652
0,0611;0,2929;17,8265
0,0639;0,2929;17,7277
0,0639;0,2893;17,6791
0,0722;0,2893;17,1271
0,0722;0,2857;17,0915
0,0806;0,2857;16,8689
0,0806;0,2750;16,6671
0,0972;0,2750;16,2456
0,0972;0,2714;16,2078
0,1000;0,2714;16,1874
0,1000;0,2679;16,1808
0,1028;0,2679;16,0900
0,1028;0,2643;16,0890
0,1083;0,2643;16,0514
0,1083;0,2571;15,9863
0,1250;0,2571;15,3331
0,1250;0,2536;15,1355
0,1278;0,2536;15,0438
0,1278;0,2464;14,9881
0,1306;0,2464;14,8541
0,1306;0,2429;14,8071
0,1333;0,2429;14,6790
0,1333;0,2393;14,5600
0,1417;0,2393;14,4938
0,1417;0,2357;14,4131
0,1444;0,2357;14,3584
0,1444;0,2286;14,2908
0,1472;0,2286;14,0454
0,1472;0,2250;13,9776
0,1583;0,2250;13,7954
0,1583;0,2214;13,7830
0,1611;0,2214;13,5351
0,1611;0,2179;13,4863
0,1694;0,2179;13,3200
0,1694;0,2143;13,3176
0,1750;0,2143;13,2625
0,1750;0,2107;13,2279
0,1806;0,2107;13,1283
0,1806;0,2071;13,0764
0,1833;0,2071;13,0375
0,1833;0,2036;13,0310
0,1972;0,2036;12,4733
0,1972;0,1964;12,3690
0,2028;0,1964;12,1103
0,2028;0,1893;11,9920
0,2139;0,1893;11,8497
0,2139;0,1857;11,8317
0,2250;0,1857;11,5666
0,2250;0,1821;11,5529
0,2361;0,1821;11,3535
0,2361;0,1786;11,2968
0,2417;0,1786;11,2323
0,2417;0,1750;11,2251
0,2444;0,1750;11,1407
0,2444;0,1714;11,1270
0,2528;0,1714;11,0577
0,2528;0,1679;11,0269
0,2556;0,1679;10,9556
0,2556;0,1643;10,9544
0,2667;0,1643;10,5378
0,2667;0,1607;10,4455
0,2722;0,1607;10,3243
0,2722;0,1571;10,2595
0,2833;0,1571;9,9677
0,2833;0,1536;9,9510
0,2944;0,1536;9,7622
0,2944;0,1500;9,7601
0,3333;0,1500;9,0939
0,3333;0,1464;9,0898
0,3417;0,1464;8,9951
0,3417;0,1429;8,9858
0,3583;0,1429;8,8219
0,3583;0,1393;8,8201
0,3806;0,1393;8,5065
0,3806;0,1357;8,4919
0,3861;0,1357;8,3870
0,3861;0,1321;8,3780
0,3944;0,1321;8,3488
0,3944;0,1286;8,3095
0,4250;0,1286;8,0358
0,4250;0,1250;8,0202
0,4361;0,1250;7,8052
0,4361;0,1214;7,8037
0,4583;0,1214;7,4225
0,4583;0,1179;7,3841
0,4806;0,1179;7,1813
0,4806;0,1143;7,1763
0,5111;0,1143;6,7679
0,5111;0,1036;6,6864
0,5139;0,1036;6,6403
0,5139;0,1000;6,6380
0,5722;0,1000;5,6391
0,5722;0,0929;5,5898
0,5833;0,0929;5,5394
0,5833;0,0857;5,4655
0,6000;0,0857;5,2355
0,6000;0,0821;5,2308
0,6167;0,0821;5,0025
0,6167;0,0786;4,9858
0,6194;0,0786;4,8820
0,6194;0,0750;4,8773
0,6361;0,0750;4,6136
0,6361;0,0679;4,4964
0,6472;0,0679;4,3300
0,6472;0,0643;4,2975
0,6500;0,0643;4,2666
0,6500;0,0607;4,2352
0,6639;0,0607;3,9650
0,6639;0,0571;3,7376
1,0000;0,0571;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
