Features:; Ratha1995MinutiaeExtractor_Ratha1995OrImgExtractor.qyw
Average match time(ms):; 45,02188
EER(%):; 21,369
FMR100(%):; 61,786
FMR1000(%):; 67,500
ZeroFmr(%):; 67,500
Matcher:;QYW
FMR;FNMR;Threshold
0,0000;0,6750;0,5336
0,0028;0,6750;0,5293
0,0028;0,6429;0,5089
0,0056;0,6429;0,5069
0,0056;0,6179;0,4968
0,0111;0,6179;0,4904
0,0111;0,6036;0,4802
0,0139;0,6036;0,4796
0,0139;0,5679;0,4677
0,0167;0,5679;0,4640
0,0167;0,5607;0,4630
0,0194;0,5607;0,4626
0,0194;0,5500;0,4573
0,0222;0,5500;0,4561
0,0222;0,5429;0,4559
0,0250;0,5429;0,4559
0,0250;0,5321;0,4503
0,0306;0,5321;0,4486
0,0306;0,5179;0,4431
0,0333;0,5179;0,4418
0,0333;0,5143;0,4397
0,0361;0,5143;0,4381
0,0361;0,5071;0,4363
0,0389;0,5071;0,4359
0,0389;0,5000;0,4349
0,0417;0,5000;0,4334
0,0417;0,4964;0,4332
0,0472;0,4964;0,4318
0,0472;0,4750;0,4243
0,0500;0,4750;0,4241
0,0500;0,4679;0,4211
0,0528;0,4679;0,4197
0,0528;0,4571;0,4178
0,0583;0,4571;0,4146
0,0583;0,4429;0,4057
0,0611;0,4429;0,4052
0,0611;0,4321;0,4042
0,0639;0,4321;0,4037
0,0639;0,4250;0,4029
0,0667;0,4250;0,4027
0,0667;0,4143;0,3998
0,0694;0,4143;0,3988
0,0694;0,4107;0,3968
0,0778;0,4107;0,3950
0,0778;0,3964;0,3896
0,0806;0,3964;0,3888
0,0806;0,3929;0,3886
0,0861;0,3929;0,3843
0,0861;0,3786;0,3795
0,0917;0,3786;0,3782
0,0917;0,3714;0,3760
0,0944;0,3714;0,3757
0,0944;0,3607;0,3716
0,0972;0,3607;0,3715
0,0972;0,3500;0,3673
0,1000;0,3500;0,3671
0,1000;0,3429;0,3661
0,1028;0,3429;0,3653
0,1028;0,3393;0,3643
0,1056;0,3393;0,3643
0,1056;0,3357;0,3643
0,1139;0,3357;0,3598
0,1139;0,3286;0,3584
0,1167;0,3286;0,3584
0,1167;0,3250;0,3570
0,1250;0,3250;0,3539
0,1250;0,3143;0,3504
0,1306;0,3143;0,3490
0,1306;0,3071;0,3451
0,1333;0,3071;0,3451
0,1333;0,3036;0,3427
0,1389;0,3036;0,3418
0,1389;0,3000;0,3403
0,1472;0,3000;0,3376
0,1472;0,2964;0,3355
0,1500;0,2964;0,3347
0,1500;0,2893;0,3306
0,1528;0,2893;0,3305
0,1528;0,2821;0,3300
0,1556;0,2821;0,3282
0,1556;0,2786;0,3266
0,1583;0,2786;0,3232
