EER;FMR;FNMR;THR;GDTHR;GAngTHR;;;;;;;;;;
26,25;0,144444444;0,380555556;0,6;10;60;;;;;;;;;;
26,8056;0,155555556;0,380555556;0,4;4;60;;;;;;;;;;
25,2778;0,186111111;0,319444444;0,1;8;10;;;;;;;;;;
26,1111;0,208333333;0,313888889;0,6;12;60;;;;;;;;;;
24,4444;0,213888889;0,275;0,4;8;40;;;;;;;;;;
24,1667;0,222222222;0,261111111;0,5;10;50;;;;;;;;;;
23,1944;0,227777778;0,236111111;0,2;8;20;;;;;;;;;;
25,6944;0,227777778;0,286111111;0,4;6;50;;;;;;;;;;
23,6111;0,230555556;0,241666667;0,3;8;30;;;;;;;;;;
24,1667;0,241666667;0,241666667;0,2;4;30;;;;;;;;;;
24,7222;0,241666667;0,252777778;0,1;10;10;;;;;;;;;;
25,6944;0,255555556;0,258333333;0,5;8;60;;;;;;;;;;
26,5278;0,288888889;0,241666667;0,3;4;50;;;;;;;;;;
24,8611;0,294444444;0,202777778;0,4;10;40;;;;;;;;;;
25,5556;0,297222222;0,213888889;0,5;12;50;;;;;;;;;;
25;0,305555556;0,194444444;0,2;10;20;;;;;;;;;;
26,1111;0,313888889;0,208333333;0,1;12;10;;;;;;;;;;
25,4167;0,327777778;0,180555556;0,3;10;30;;;;;;;;;;
26,25;0,333333333;0,191666667;0,3;6;40;;;;;;;;;;
26,3889;0,361111111;0,166666667;0,4;12;40;;;;;;;;;;
26,5278;0,366666667;0,163888889;0,4;8;50;;;;;;;;;;
27,2222;0,369444444;0,175;0,5;10;60;;;;;;;;;;
27,2222;0,386111111;0,158333333;0,2;12;20;;;;;;;;;;
28,8889;0,394444444;0,183333333;0,4;6;60;;;;;;;;;;
26,9444;0,4;0,138888889;0,3;12;30;;;;;;;;;;
27,9167;0,436111111;0,122222222;0,2;6;30;;;;;;;;;;
30,8333;0,45;0,166666667;0,1;4;20;;;;;;;;;;
29,4444;0,452777778;0,136111111;0,5;12;60;;;;;;;;;;
29,5833;0,475;0,116666667;0,2;4;40;;;;;;;;;;
30,2778;0,491666667;0,113888889;0,3;8;40;;;;;;;;;;
32,2222;0,491666667;0,152777778;0,3;4;60;;;;;;;;;;
30,6944;0,5;0,113888889;0,4;10;50;;;;;;;;;;
31,5278;0,544444444;0,086111111;0,3;6;50;;;;;;;;;;
33,1944;0,555555556;0,108333333;0,4;8;60;;;;;;;;;;
32,6389;0,583333333;0,069444444;0,2;8;30;;;;;;;;;;
32,9167;0,586111111;0,072222222;0,4;12;50;;;;;;;;;;
33,6111;0,608333333;0,063888889;0,3;10;40;;;;;;;;;;
35,4167;0,619444444;0,088888889;0,1;6;20;;;;;;;;;;
35,6944;0,658333333;0,055555556;0,2;10;30;;;;;;;;;;
36,5278;0,683333333;0,047222222;0,3;12;40;;;;;;;;;;
37,7778;0,688888889;0,066666667;0,4;10;60;;;;;;;;;;
36,6667;0,694444444;0,038888889;0,3;8;50;;;;;;;;;;
37,6389;0,705555556;0,047222222;0,1;8;20;;;;;;;;;;
38,6111;0,719444444;0,052777778;0,2;4;50;;;;;;;;;;
38,4722;0,725;0,044444444;0,3;6;60;;;;;;;;;;
38,6111;0,725;0,047222222;0,2;6;40;;;;;;;;;;
38,75;0,727777778;0,047222222;0,2;12;30;;;;;;;;;;
39,5833;0,741666667;0,05;0,1;4;30;;;;;;;;;;
39,8611;0,755555556;0,041666667;0,4;12;60;;;;;;;;;;
40,9722;0,777777778;0,041666667;0,1;10;20;;;;;;;;;;
42,0833;0,811111111;0,030555556;0,2;8;40;;;;;;;;;;
42,3611;0,816666667;0,030555556;0,3;10;50;;;;;;;;;;
42,7778;0,816666667;0,038888889;0,1;12;20;;;;;;;;;;
44,4444;0,863888889;0,025;0,3;12;50;;;;;;;;;;
44,7222;0,869444444;0,025;0,2;6;50;;;;;;;;;;
44,7222;0,869444444;0,025;0,3;8;60;;;;;;;;;;
45;0,869444444;0,030555556;0,2;10;40;;;;;;;;;;
44,7222;0,872222222;0,022222222;0,2;4;60;;;;;;;;;;
45,2778;0,877777778;0,027777778;0,1;6;30;;;;;;;;;;
45,9722;0,902777778;0,016666667;0,1;4;40;;;;;;;;;;
46,5278;0,911111111;0,019444444;0,3;10;60;;;;;;;;;;
46,9444;0,922222222;0,016666667;0,2;12;40;;;;;;;;;;
47,5;0,933333333;0,016666667;0,3;12;60;;;;;;;;;;
47,7778;0,933333333;0,022222222;0,1;8;30;;;;;;;;;;
47,7778;0,936111111;0,019444444;0,2;8;50;;;;;;;;;;
48,3333;0,95;0,016666667;0,2;6;60;;;;;;;;;;
48,6111;0,952777778;0,019444444;0,1;10;30;;;;;;;;;;
48,4722;0,958333333;0,011111111;0,1;6;40;;;;;;;;;;
49,1667;0,966666667;0,016666667;0,2;10;50;;;;;;;;;;
49,3056;0,972222222;0,013888889;0,1;12;30;;;;;;;;;;
49,3056;0,975;0,011111111;0,2;8;60;;;;;;;;;;
49,1667;0,977777778;0,005555556;0,1;8;40;;;;;;;;;;
49,3056;0,977777778;0,008333333;0,1;4;50;;;;;;;;;;
49,3056;0,983333333;0,002777778;0,1;10;40;;;;;;;;;;
49,4444;0,983333333;0,005555556;0,2;12;50;;;;;;;;;;
49,4444;0,986111111;0,002777778;0,2;10;60;;;;;;;;;;
49,7222;0,991666667;0,002777778;0,1;12;40;;;;;;;;;;
49,8611;0,994444444;0,002777778;0,1;8;50;;;;;;;;;;
49,8611;0,994444444;0,002777778;0,1;4;60;;;;;;;;;;
50;0,994444444;0,005555556;0,1;6;50;;;;;;;;;;
50;0,997222222;0,002777778;0,2;12;60;;;;;;;;;;
50;1;0;0,1;10;50;;;;;;;;;;
50;1;0;0,1;12;50;;;;;;;;;;
50;1;0;0,1;6;60;;;;;;;;;;
50;1;0;0,1;8;60;;;;;;;;;;
50;1;0;0,1;10;60;;;;;;;;;;
50;1;0;0,1;12;60;;;;;;;;;;
Matches;total;129600;;;;;;;;;;;;;
1745;;;;;;;;;;;;;;;
