EER;FMR;FNMR;THR;GDTHR;GAngTHR;;;;;;;
16,6667;0,111111111;0,222222222;0,3;12;20;;;;;;;
19,8611;0,116666667;0,280555556;0,4;8;60;;;;;;;
20;0,15;0,25;0,4;12;40;;;;;;;
18,4722;0,152777778;0,216666667;0,3;8;30;;;;;;;
20,6944;0,161111111;0,252777778;0,4;10;50;;;;;;;
19,8611;0,166666667;0,230555556;0,3;6;40;;;;;;;
21,6667;0,194444444;0,238888889;0,4;10;60;;;;;;;
19,0278;0,197222222;0,183333333;0,2;6;20;;;;;;;
19,3056;0,219444444;0,166666667;0,2;4;30;;;;;;;
20,2778;0,219444444;0,186111111;0,3;6;50;;;;;;;
20,2778;0,222222222;0,183333333;0,1;4;10;;;;;;;
20,9722;0,241666667;0,177777778;0,3;10;30;;;;;;;
23,3333;0,241666667;0,225;0,4;12;50;;;;;;;
23,75;0,283333333;0,191666667;0,3;6;60;;;;;;;
24,7222;0,283333333;0,211111111;0,4;12;60;;;;;;;
22,3611;0,3;0,147222222;0,2;8;20;;;;;;;
24,0278;0,305555556;0,175;0,3;8;40;;;;;;;
23,0556;0,333333333;0,127777778;0,1;6;10;;;;;;;
24,4444;0,336111111;0,152777778;0,3;12;30;;;;;;;
25,4167;0,372222222;0,136111111;0,2;4;40;;;;;;;
26,1111;0,377777778;0,144444444;0,3;8;50;;;;;;;
25,8333;0,411111111;0,105555556;0,1;8;10;;;;;;;
27,6389;0,413888889;0,138888889;0,3;10;40;;;;;;;
26,3889;0,419444444;0,108333333;0,2;10;20;;;;;;;
27,5;0,436111111;0,113888889;0,2;6;30;;;;;;;
29,5833;0,452777778;0,138888889;0,3;8;60;;;;;;;
29,3056;0,463888889;0,122222222;0,2;4;50;;;;;;;
29,7222;0,475;0,119444444;0,3;10;50;;;;;;;
30,2778;0,486111111;0,119444444;0,3;12;40;;;;;;;
28,3333;0,488888889;0,077777778;0,1;10;10;;;;;;;
28,4722;0,488888889;0,080555556;0,2;12;20;;;;;;;
32,0833;0,538888889;0,102777778;0,2;4;60;;;;;;;
32,2222;0,552777778;0,091666667;0,3;10;60;;;;;;;
31,3889;0,563888889;0,063888889;0,1;12;10;;;;;;;
33,75;0,569444444;0,105555556;0,3;12;50;;;;;;;
33,0556;0,580555556;0,080555556;0,2;8;30;;;;;;;
34,0278;0,602777778;0,077777778;0,2;6;40;;;;;;;
34,3056;0,630555556;0,055555556;0,1;4;20;;;;;;;
35,8333;0,630555556;0,086111111;0,3;12;60;;;;;;;
35,4167;0,647222222;0,061111111;0,2;6;50;;;;;;;
35,5556;0,652777778;0,058333333;0,2;10;30;;;;;;;
37,9167;0,711111111;0,047222222;0,2;8;40;;;;;;;
37,9167;0,711111111;0,047222222;0,2;6;60;;;;;;;
38,1944;0,730555556;0,033333333;0,2;12;30;;;;;;;
39,4444;0,755555556;0,033333333;0,2;10;40;;;;;;;
39,8611;0,761111111;0,036111111;0,2;8;50;;;;;;;
40,4167;0,766666667;0,041666667;0,1;6;20;;;;;;;
41,5278;0,813888889;0,016666667;0,2;10;50;;;;;;;
42,5;0,816666667;0,033333333;0,2;8;60;;;;;;;
42,5;0,819444444;0,030555556;0,2;12;40;;;;;;;
43,75;0,836111111;0,038888889;0,1;4;30;;;;;;;
43,3333;0,841666667;0,025;0,1;8;20;;;;;;;
44,4444;0,875;0,013888889;0,2;10;60;;;;;;;
44,5833;0,883333333;0,008333333;0,2;12;50;;;;;;;
45,1389;0,883333333;0,019444444;0,1;10;20;;;;;;;
46,1111;0,9;0,022222222;0,1;4;40;;;;;;;
46,1111;0,902777778;0,019444444;0,1;6;30;;;;;;;
46,6667;0,922222222;0,011111111;0,2;12;60;;;;;;;
46,9444;0,930555556;0,008333333;0,1;4;50;;;;;;;
47,5;0,936111111;0,013888889;0,1;12;20;;;;;;;
47,6389;0,944444444;0,008333333;0,1;8;30;;;;;;;
48,0556;0,955555556;0,005555556;0,1;4;60;;;;;;;
48,6111;0,958333333;0,013888889;0,1;6;40;;;;;;;
48,1944;0,963888889;0;0,1;10;30;;;;;;;
48,75;0,975;0;0,1;12;30;;;;;;;
48,8889;0,975;0,002777778;0,1;8;40;;;;;;;
49,1667;0,983333333;0;0,1;10;40;;;;;;;
49,3056;0,983333333;0,002777778;0,1;6;50;;;;;;;
49,4444;0,988888889;0;0,1;8;50;;;;;;;
49,4444;0,988888889;0;0,1;6;60;;;;;;;
49,4444;0,988888889;0;0,1;8;60;;;;;;;
49,4444;0,988888889;0;0,1;10;60;;;;;;;
49,5833;0,991666667;0;0,1;12;40;;;;;;;
49,7222;0,994444444;0;0,1;10;50;;;;;;;
49,8611;0,997222222;0;0,1;12;50;;;;;;;
50;1;0;0,1;12;60;;;;;;;
Matches;total;129600;;;;;;;;;;
782;;;;;;;;;;;;
