EER;FMR;FNMR;THR;GDTHR;GAngTHR;;;;;;;
21,25;0,322222222;0,102777778;0,3;4;50;;;;;;;
18,3333;0,330555556;0,036111111;0,4;10;40;;;;;;;
21,25;0,363888889;0,061111111;0,5;12;50;;;;;;;
20,1389;0,369444444;0,033333333;0,1;12;10;;;;;;;
20,9722;0,380555556;0,038888889;0,2;10;20;;;;;;;
21,5278;0,388888889;0,041666667;0,3;6;40;;;;;;;
23,1944;0,4;0,063888889;0,5;10;60;;;;;;;
21,6667;0,405555556;0,027777778;0,3;10;30;;;;;;;
25,5556;0,433333333;0,077777778;0,4;6;60;;;;;;;
22,9167;0,438888889;0,019444444;0,4;12;40;;;;;;;
24,8611;0,452777778;0,044444444;0,4;8;50;;;;;;;
25,2778;0,483333333;0,022222222;0,2;12;20;;;;;;;
26,6667;0,491666667;0,041666667;0,1;4;20;;;;;;;
25,6944;0,494444444;0,019444444;0,3;12;30;;;;;;;
27,7778;0,511111111;0,044444444;0,5;12;60;;;;;;;
30,5556;0,533333333;0,077777778;0,3;4;60;;;;;;;
29,5833;0,566666667;0,025;0,4;10;50;;;;;;;
29,7222;0,575;0,019444444;0,2;6;30;;;;;;;
29,8611;0,580555556;0,016666667;0,3;8;40;;;;;;;
31,25;0,586111111;0,038888889;0,2;4;40;;;;;;;
32,7778;0,622222222;0,033333333;0,4;8;60;;;;;;;
34,3056;0,666666667;0,019444444;0,3;6;50;;;;;;;
34,8611;0,683333333;0,013888889;0,1;6;20;;;;;;;
35,1389;0,691666667;0,011111111;0,4;12;50;;;;;;;
35,5556;0,702777778;0,008333333;0,2;8;30;;;;;;;
36,25;0,716666667;0,008333333;0,3;10;40;;;;;;;
37,6389;0,741666667;0,011111111;0,4;10;60;;;;;;;
39,4444;0,780555556;0,008333333;0,1;8;20;;;;;;;
39,7222;0,788888889;0,005555556;0,2;10;30;;;;;;;
40,4167;0,802777778;0,005555556;0,3;12;40;;;;;;;
40,8333;0,802777778;0,013888889;0,2;4;50;;;;;;;
40,8333;0,811111111;0,005555556;0,4;12;60;;;;;;;
40,9722;0,811111111;0,008333333;0,3;8;50;;;;;;;
41,25;0,811111111;0,013888889;0,3;6;60;;;;;;;
40,8333;0,813888889;0,002777778;0,2;6;40;;;;;;;
42,6389;0,847222222;0,005555556;0,2;12;30;;;;;;;
44,0278;0,863888889;0,016666667;0,1;4;30;;;;;;;
43,75;0,872222222;0,002777778;0,1;10;20;;;;;;;
43,8889;0,875;0,002777778;0,3;10;50;;;;;;;
44,4444;0,888888889;0;0,2;8;40;;;;;;;
45,2778;0,9;0,005555556;0,2;4;60;;;;;;;
45,2778;0,902777778;0,002777778;0,3;12;50;;;;;;;
45,4167;0,905555556;0,002777778;0,3;8;60;;;;;;;
45,4167;0,908333333;0;0,2;6;50;;;;;;;
45,6944;0,913888889;0;0,1;12;20;;;;;;;
47,0833;0,938888889;0,002777778;0,1;6;30;;;;;;;
47,5;0,95;0;0,1;4;40;;;;;;;
47,5;0,95;0;0,2;10;40;;;;;;;
47,9167;0,958333333;0;0,2;12;40;;;;;;;
47,9167;0,958333333;0;0,2;6;60;;;;;;;
47,9167;0,958333333;0;0,3;10;60;;;;;;;
48,1944;0,963888889;0;0,1;8;30;;;;;;;
48,3333;0,966666667;0;0,3;12;60;;;;;;;
48,4722;0,969444444;0;0,1;6;40;;;;;;;
48,4722;0,969444444;0;0,2;8;50;;;;;;;
48,75;0,975;0;0,1;4;50;;;;;;;
48,8889;0,977777778;0;0,1;10;30;;;;;;;
48,8889;0,977777778;0;0,1;12;30;;;;;;;
48,8889;0,977777778;0;0,2;10;50;;;;;;;
49,0278;0,980555556;0;0,1;8;40;;;;;;;
49,0278;0,980555556;0;0,1;10;40;;;;;;;
49,0278;0,980555556;0;0,2;12;50;;;;;;;
49,3056;0,986111111;0;0,1;6;50;;;;;;;
49,4444;0,988888889;0;0,1;12;40;;;;;;;
49,4444;0,988888889;0;0,2;8;60;;;;;;;
49,5833;0,991666667;0;0,1;8;50;;;;;;;
49,5833;0,991666667;0;0,1;4;60;;;;;;;
49,5833;0,991666667;0;0,2;10;60;;;;;;;
49,7222;0,994444444;0;0,1;6;60;;;;;;;
49,8611;0,997222222;0;0,1;10;50;;;;;;;
49,8611;0,997222222;0;0,1;12;50;;;;;;;
49,8611;0,997222222;0;0,1;8;60;;;;;;;
49,8611;0,997222222;0;0,1;10;60;;;;;;;
49,8611;0,997222222;0;0,1;12;60;;;;;;;
49,8611;0,997222222;0;0,2;12;60;;;;;;;
Matches;total;129600;;;;;;;;;;
2843;;;;;;;;;;;;
