Features:; Ratha1995MinutiaeExtractor_Ratha1995SkeImgExtractor.jy
Average match time(ms):; 5,87969
EER(%):; 10,357
FMR100(%):; 21,786
FMR1000(%):; 32,857
ZeroFmr(%):; 32,857
Matcher:;MJY
FMR;FNMR;Threshold
0,0000;0,3286;21,7391
0,0028;0,3286;21,6216
0,0028;0,2393;16,3265
0,0056;0,2393;16,2162
0,0056;0,2179;15,6863
0,0111;0,2179;15,5556
0,0111;0,2000;14,7541
0,0167;0,2000;14,6341
0,0167;0,1786;13,5802
0,0250;0,1786;13,5135
0,0250;0,1750;13,1148
0,0306;0,1750;12,7660
0,0306;0,1571;12,3077
0,0444;0,1571;12,0000
0,0444;0,1500;12,0000
0,0528;0,1500;11,7647
0,0528;0,1464;11,6505
0,0667;0,1464;11,6279
0,0667;0,1393;11,4943
0,0722;0,1393;11,4286
0,0722;0,1357;11,4286
0,0806;0,1357;11,1111
0,0806;0,1214;10,9375
0,0944;0,1214;10,8108
0,0944;0,1143;10,6796
0,1000;0,1143;10,5263
0,1000;0,1071;10,3448
0,1250;0,1071;10,0000
0,1250;0,1036;9,8592
0,1583;0,1036;9,7222
0,1583;0,1000;9,7087
0,1722;0,1000;9,4340
0,1722;0,0964;9,4340
0,1750;0,0964;9,3750
0,1750;0,0929;9,3333
0,2861;0,0929;8,0000
0,2861;0,0893;8,0000
0,3361;0,0893;7,8431
0,3361;0,0857;7,8125
0,3389;0,0857;7,7670
0,3389;0,0821;7,7670
0,3861;0,0821;7,4074
0,3861;0,0750;7,4074
0,4611;0,0750;6,9444
0,4611;0,0714;6,9444
0,4722;0,0714;6,8966
0,4722;0,0679;6,8966
0,4917;0,0679;6,6667
0,4917;0,0643;6,6667
0,5389;0,0643;6,3830
0,5389;0,0607;6,3830
0,5500;0,0607;6,2500
0,5500;0,0571;6,2500
0,5722;0,0571;6,1224
0,5722;0,0536;6,1224
0,6139;0,0536;6,0000
0,6139;0,0500;6,0000
0,6889;0,0500;5,8824
0,6889;0,0464;5,8824
0,6944;0,0464;5,8252
0,6944;0,0429;5,8252
0,7250;0,0429;5,7143
0,7250;0,0286;5,7143
0,7583;0,0286;5,5556
0,7583;0,0214;5,5556
0,8000;0,0214;5,3333
0,8000;0,0179;5,3333
0,8139;0,0179;4,9383
0,8139;0,0143;4,9383
0,8333;0,0143;4,6875
0,8333;0,0107;4,6875
0,9250;0,0107;4,2857
0,9250;0,0071;4,2857
0,9611;0,0071;4,0000
0,9611;0,0000;4,0000
1,0000;0,0000;2,9126
1,0000;0,0000;2,9126
1,0000;0,0000;2,9126
