Features:; Ratha1995MinutiaeExtractor_Ratha1995OrImgExtractor.tk
Average match time(ms):; 7,21719
EER(%):; 3,869
FMR100(%):; 7,143
FMR1000(%):; 12,500
ZeroFmr(%):; 12,500
Matcher:;MTK
FMR;FNMR;Threshold
0,0000;0,1250;0,0096
0,0028;0,1250;0,0096
0,0028;0,1000;0,0073
0,0056;0,1000;0,0072
0,0056;0,0821;0,0069
0,0083;0,0821;0,0068
0,0083;0,0714;0,0058
0,0167;0,0714;0,0054
0,0167;0,0500;0,0045
0,0250;0,0500;0,0044
0,0250;0,0464;0,0043
0,0306;0,0464;0,0041
0,0306;0,0429;0,0040
0,0417;0,0429;0,0037
0,0417;0,0357;0,0036
0,0750;0,0357;0,0030
0,0750;0,0321;0,0030
0,0889;0,0321;0,0029
0,0889;0,0286;0,0028
0,0972;0,0286;0,0028
0,0972;0,0250;0,0028
0,1111;0,0250;0,0026
0,1111;0,0214;0,0025
0,1167;0,0214;0,0024
0,1167;0,0179;0,0024
0,1222;0,0179;0,0024
0,1222;0,0143;0,0023
0,2361;0,0143;0,0017
0,2361;0,0107;0,0017
0,2389;0,0107;0,0017
0,2389;0,0071;0,0017
0,4417;0,0071;0,0010
0,4417;0,0036;0,0010
0,5361;0,0036;0,0008
0,5361;0,0000;0,0008
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
