Features:; Ratha1995MinutiaeExtractor(4).mtp
Average match time(ms):; 1,13125
EER(%):; 6,528
FMR100(%):; 9,643
FMR1000(%):; 15,000
ZeroFmr(%):; 15,000
Matcher:;M3gl
FMR;FNMR;Threshold
0,0000;0,1500;0,0403
0,0028;0,1500;0,0375
0,0028;0,1036;0,0206
0,0056;0,1036;0,0204
0,0056;0,1000;0,0197
0,0083;0,1000;0,0194
0,0083;0,0964;0,0189
0,0167;0,0964;0,0180
0,0167;0,0929;0,0178
0,0222;0,0929;0,0168
0,0222;0,0857;0,0153
0,0472;0,0857;0,0136
0,0472;0,0786;0,0133
0,0556;0,0786;0,0123
0,0556;0,0750;0,0123
0,0861;0,0750;0,0108
0,0861;0,0714;0,0106
0,1083;0,0714;0,0095
0,1083;0,0679;0,0095
0,1139;0,0679;0,0094
0,1139;0,0643;0,0093
0,1306;0,0643;0,0090
0,1306;0,0607;0,0089
0,1917;0,0607;0,0077
0,1917;0,0571;0,0077
0,2083;0,0571;0,0074
0,2083;0,0536;0,0074
0,2111;0,0536;0,0072
0,2111;0,0464;0,0072
0,2472;0,0464;0,0066
0,2472;0,0429;0,0065
0,3028;0,0429;0,0058
0,3028;0,0393;0,0057
0,3167;0,0393;0,0057
0,3167;0,0357;0,0057
0,4361;0,0357;0,0048
0,4361;0,0321;0,0048
0,4472;0,0321;0,0047
0,4472;0,0286;0,0047
0,4528;0,0286;0,0046
0,4528;0,0250;0,0046
0,4750;0,0250;0,0045
0,4750;0,0214;0,0045
0,5417;0,0214;0,0042
0,5417;0,0179;0,0042
0,5556;0,0179;0,0042
0,5556;0,0143;0,0042
0,5750;0,0143;0,0040
0,5750;0,0107;0,0040
0,5889;0,0107;0,0038
0,5889;0,0071;0,0038
0,6528;0,0071;0,0036
0,6528;0,0036;0,0036
1,0000;0,0036;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
