Features:; Ratha1995MinutiaeExtractor_Ratha1995OrImgExtractor.qyw
Average match time(ms):; 14,78125
EER(%):; 26,548
FMR100(%):; 62,143
FMR1000(%):; 64,643
ZeroFmr(%):; 64,643
Matcher:;QYW
FMR;FNMR;Threshold
0,0000;0,6464;0,4894
0,0028;0,6464;0,4838
0,0028;0,6250;0,4762
0,0083;0,6250;0,4668
0,0083;0,6214;0,4632
0,0139;0,6214;0,4585
0,0139;0,6036;0,4446
0,0167;0,6036;0,4433
0,0167;0,5571;0,4109
0,0222;0,5571;0,4097
0,0222;0,5536;0,4081
0,0278;0,5536;0,4079
0,0278;0,5357;0,4036
0,0306;0,5357;0,4034
0,0306;0,5250;0,3967
0,0361;0,5250;0,3959
0,0361;0,5071;0,3904
0,0389;0,5071;0,3895
0,0389;0,5036;0,3879
0,0417;0,5036;0,3848
0,0417;0,5000;0,3837
0,0472;0,5000;0,3825
0,0472;0,4821;0,3790
0,0722;0,4821;0,3656
0,0722;0,4750;0,3627
0,0806;0,4750;0,3619
0,0806;0,4714;0,3610
0,0833;0,4714;0,3603
0,0833;0,4679;0,3602
0,0861;0,4679;0,3587
0,0861;0,4607;0,3585
0,0944;0,4607;0,3566
0,0944;0,4536;0,3555
0,0972;0,4536;0,3542
0,0972;0,4464;0,3538
0,1028;0,4464;0,3524
0,1028;0,4429;0,3521
0,1083;0,4429;0,3506
0,1083;0,4250;0,3468
0,1111;0,4250;0,3452
0,1111;0,4214;0,3448
0,1139;0,4214;0,3447
0,1139;0,4179;0,3420
0,1194;0,4179;0,3409
0,1194;0,4071;0,3403
0,1222;0,4071;0,3399
0,1222;0,4036;0,3395
0,1250;0,4036;0,3391
0,1250;0,3964;0,3376
0,1278;0,3964;0,3371
0,1278;0,3929;0,3367
0,1389;0,3929;0,3308
0,1389;0,3750;0,3300
0,1444;0,3750;0,3298
0,1444;0,3714;0,3297
0,1472;0,3714;0,3296
0,1472;0,3679;0,3295
0,1583;0,3679;0,3245
