Features:; Ratha1995MinutiaeExtractor_Ratha1995OrImgExtractor.qyw
Average match time(ms):; 16,04531
EER(%):; 15,794
FMR100(%):; 38,214
FMR1000(%):; 48,929
ZeroFmr(%):; 48,929
Matcher:;MQYW
FMR;FNMR;Threshold
0,0000;0,4893;0,3915
0,0028;0,4893;0,3913
0,0028;0,4786;0,3852
0,0056;0,4786;0,3823
0,0056;0,4250;0,3647
0,0083;0,4250;0,3635
0,0083;0,3821;0,3431
0,0111;0,3821;0,3429
0,0111;0,3679;0,3354
0,0139;0,3679;0,3310
0,0139;0,3643;0,3309
0,0167;0,3643;0,3306
0,0167;0,3571;0,3165
0,0194;0,3571;0,3117
0,0194;0,3536;0,3074
0,0222;0,3536;0,3049
0,0222;0,3250;0,2974
0,0278;0,3250;0,2973
0,0278;0,3214;0,2972
0,0306;0,3214;0,2933
0,0306;0,3143;0,2879
0,0361;0,3143;0,2867
0,0361;0,3071;0,2858
0,0417;0,3071;0,2835
0,0417;0,3000;0,2820
0,0472;0,3000;0,2798
0,0472;0,2964;0,2793
0,0667;0,2964;0,2744
0,0667;0,2893;0,2725
0,0694;0,2893;0,2725
0,0694;0,2750;0,2699
0,0722;0,2750;0,2687
0,0722;0,2571;0,2647
0,0806;0,2571;0,2629
0,0806;0,2143;0,2481
0,0944;0,2143;0,2478
0,0944;0,2107;0,2477
0,1000;0,2107;0,2475
0,1000;0,2036;0,2430
0,1056;0,2036;0,2412
0,1056;0,1964;0,2400
0,1083;0,1964;0,2396
0,1083;0,1929;0,2382
0,1222;0,1929;0,2364
0,1222;0,1857;0,2336
0,1278;0,1857;0,2321
0,1278;0,1821;0,2318
0,1333;0,1821;0,2302
0,1333;0,1786;0,2287
0,1444;0,1786;0,2230
0,1444;0,1714;0,2204
0,1861;0,1714;0,2142
0,1861;0,1679;0,2139
0,1889;0,1679;0,2129
0,1889;0,1607;0,2109
0,1944;0,1607;0,2074
0,1944;0,1571;0,2064
0,2028;0,1571;0,2042
0,2028;0,1536;0,2041
0,2583;0,1536;0,1861
0,2583;0,1464;0,1857
0,2639;0,1464;0,1846
0,2639;0,1429;0,1844
0,2889;0,1429;0,1801
0,2889;0,1393;0,1799
0,2917;0,1393;0,1776
0,2917;0,1286;0,1763
0,3083;0,1286;0,1723
0,3083;0,1250;0,1715
0,3417;0,1250;0,1653
0,3417;0,1214;0,1652
0,3611;0,1214;0,1609
0,3611;0,1179;0,1609
0,3722;0,1179;0,1607
0,3722;0,1143;0,1606
0,3917;0,1143;0,1586
0,3917;0,1107;0,1578
0,4056;0,1107;0,1549
0,4056;0,1071;0,1549
0,4250;0,1071;0,1524
0,4250;0,1036;0,1524
0,4306;0,1036;0,1510
0,4306;0,1000;0,1504
0,4750;0,1000;0,1416
0,4750;0,0964;0,1415
0,5000;0,0964;0,1373
0,5000;0,0929;0,1369
0,5056;0,0929;0,1366
0,5056;0,0893;0,1361
0,5194;0,0893;0,1306
0,5194;0,0821;0,1305
0,5361;0,0821;0,1291
0,5361;0,0786;0,1285
0,5500;0,0786;0,1271
0,5500;0,0750;0,1269
0,5972;0,0750;0,1200
0,5972;0,0714;0,1191
0,6139;0,0714;0,1169
0,6139;0,0679;0,1168
0,6417;0,0679;0,1146
0,6417;0,0643;0,1143
0,6500;0,0643;0,1136
0,6500;0,0607;0,1134
0,6583;0,0607;0,1131
0,6583;0,0571;0,1127
0,6611;0,0571;0,1125
0,6611;0,0536;0,1123
0,6639;0,0536;0,1122
0,6639;0,0500;0,1122
0,6722;0,0500;0,1118
0,6722;0,0464;0,1103
0,6806;0,0464;0,1102
0,6806;0,0393;0,1102
0,7306;0,0393;0,1061
0,7306;0,0357;0,1055
0,8139;0,0357;0,0959
0,8139;0,0321;0,0955
0,8167;0,0321;0,0952
0,8167;0,0286;0,0943
0,8417;0,0286;0,0901
0,8417;0,0250;0,0901
0,9056;0,0250;0,0763
0,9056;0,0214;0,0763
0,9250;0,0214;0,0734
0,9250;0,0143;0,0709
0,9333;0,0143;0,0684
0,9333;0,0107;0,0677
0,9750;0,0107;0,0573
0,9750;0,0071;0,0572
0,9778;0,0071;0,0570
0,9778;0,0036;0,0496
0,9944;0,0036;0,0406
0,9944;0,0000;0,0368
1,0000;0,0000;0,0343
1,0000;0,0000;0,0343
1,0000;0,0000;0,0343
