Features:; Ratha1995MinutiaeExtractor_Ratha1995OrImgExtractor.tk
Average match time(ms):; 7,35156
EER(%):; 9,544
FMR100(%):; 17,143
FMR1000(%):; 27,143
ZeroFmr(%):; 27,143
Matcher:;TK
FMR;FNMR;Threshold
0,0000;0,2714;0,0126
0,0028;0,2714;0,0125
0,0028;0,1929;0,0076
0,0056;0,1929;0,0075
0,0056;0,1714;0,0068
0,0111;0,1714;0,0067
0,0111;0,1679;0,0063
0,0194;0,1679;0,0061
0,0194;0,1643;0,0060
0,0222;0,1643;0,0059
0,0222;0,1607;0,0058
0,0278;0,1607;0,0055
0,0278;0,1536;0,0055
0,0306;0,1536;0,0053
0,0306;0,1429;0,0052
0,0361;0,1429;0,0050
0,0361;0,1393;0,0050
0,0444;0,1393;0,0047
0,0444;0,1357;0,0047
0,0500;0,1357;0,0046
0,0500;0,1286;0,0046
0,0583;0,1286;0,0044
0,0583;0,1250;0,0043
0,0611;0,1250;0,0043
0,0611;0,1143;0,0040
0,0639;0,1143;0,0039
0,0639;0,1071;0,0037
0,0778;0,1071;0,0036
0,0778;0,1036;0,0036
0,0889;0,1036;0,0035
0,0889;0,1000;0,0035
0,0944;0,1000;0,0034
0,0944;0,0964;0,0034
0,1000;0,0964;0,0034
0,1000;0,0893;0,0034
0,1111;0,0893;0,0031
0,1111;0,0857;0,0031
0,1139;0,0857;0,0031
0,1139;0,0821;0,0030
0,1167;0,0821;0,0030
0,1167;0,0786;0,0030
0,1278;0,0786;0,0028
0,1278;0,0750;0,0028
0,1472;0,0750;0,0025
0,1472;0,0714;0,0025
0,1583;0,0714;0,0025
0,1583;0,0679;0,0025
0,1833;0,0679;0,0023
0,1833;0,0643;0,0023
0,2306;0,0643;0,0020
0,2306;0,0607;0,0020
0,2694;0,0607;0,0019
0,2694;0,0571;0,0018
0,2806;0,0571;0,0018
0,2806;0,0500;0,0018
0,4056;0,0500;0,0013
0,4056;0,0464;0,0013
0,4333;0,0464;0,0012
0,4333;0,0429;0,0012
0,4389;0,0429;0,0012
0,4389;0,0393;0,0012
0,4750;0,0393;0,0011
0,4750;0,0357;0,0011
0,5861;0,0357;0,0009
0,5861;0,0321;0,0008
0,5972;0,0321;0,0008
0,5972;0,0286;0,0008
0,6250;0,0286;0,0008
0,6250;0,0250;0,0008
0,6722;0,0250;0,0007
0,6722;0,0214;0,0007
0,6778;0,0214;0,0006
0,6778;0,0179;0,0006
0,6917;0,0179;0,0006
0,6917;0,0143;0,0006
0,7722;0,0143;0,0005
0,7722;0,0107;0,0005
0,7917;0,0107;0,0005
0,7917;0,0071;0,0005
0,8417;0,0071;0,0004
0,8417;0,0036;0,0004
0,9944;0,0036;0,0001
0,9944;0,0000;0,0001
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
