Features:; Ratha1995MinutiaeExtractor.pn
Average match time(ms):; 17,35938
EER(%):; 9,742
FMR100(%):; 14,286
FMR1000(%):; 15,714
ZeroFmr(%):; 15,714
Matcher:;PN
FMR;FNMR;Threshold
0,0000;0,1571;21,7758
0,0056;0,1571;19,2953
0,0056;0,1500;19,0476
0,0083;0,1500;18,8982
0,0083;0,1429;18,2203
0,0111;0,1429;18,2006
0,0111;0,1321;17,4078
0,0167;0,1321;17,1920
0,0167;0,1250;16,4276
0,0222;0,1250;15,8910
0,0222;0,1214;15,6384
0,0417;0,1214;14,0028
0,0417;0,1179;13,9443
0,0806;0,1179;13,1762
0,0806;0,1143;13,1519
0,1389;0,1143;11,3391
0,1389;0,1107;11,3288
0,1472;0,1107;11,1369
0,1472;0,1071;11,0974
0,1750;0,1071;10,5247
0,1750;0,1000;10,4784
0,1944;0,1000;9,9136
0,1944;0,0929;9,7590
0,2194;0,0929;9,2082
0,2194;0,0893;8,9803
0,2444;0,0893;8,3918
0,2444;0,0857;8,2416
0,3167;0,0857;7,1715
0,3167;0,0821;7,1693
0,3389;0,0821;6,9061
0,3389;0,0786;6,9007
0,3556;0,0786;6,3524
0,3556;0,0714;6,2854
0,4056;0,0714;5,1793
0,4056;0,0679;5,0540
0,4444;0,0679;3,7043
0,4444;0,0643;3,6113
0,4583;0,0643;3,0096
0,4583;0,0607;2,8284
1,0000;0,0607;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
