Features:; Ratha1995MinutiaeExtractor_Ratha1995SkeImgExtractor.jy
Average match time(ms):; 4,36563
EER(%):; 12,758
FMR100(%):; 22,143
FMR1000(%):; 25,000
ZeroFmr(%):; 25,000
Matcher:;JY
FMR;FNMR;Threshold
0,0000;0,2500;31,6444
0,0028;0,2500;30,9221
0,0028;0,2357;30,1298
0,0056;0,2357;30,1095
0,0056;0,2286;29,6372
0,0083;0,2286;29,1255
0,0083;0,2214;28,7878
0,0111;0,2214;28,7390
0,0111;0,2143;28,2621
0,0139;0,2143;27,1323
0,0139;0,2000;26,4333
0,0222;0,2000;25,3636
0,0222;0,1929;24,7736
0,0306;0,1929;23,9781
0,0306;0,1893;23,7235
0,0333;0,1893;23,6098
0,0333;0,1857;23,6015
0,0361;0,1857;23,5529
0,0361;0,1821;23,3108
0,0444;0,1821;23,0091
0,0444;0,1750;22,4899
0,0472;0,1750;22,4250
0,0472;0,1714;21,9413
0,0528;0,1714;21,7870
0,0528;0,1679;21,6285
0,0667;0,1679;20,9277
0,0667;0,1643;20,7963
0,0694;0,1643;20,5351
0,0694;0,1607;20,4867
0,0806;0,1607;20,0984
0,0806;0,1536;19,7922
0,0972;0,1536;19,0277
0,0972;0,1500;18,9865
0,1056;0,1500;18,5203
0,1056;0,1464;18,4886
0,1111;0,1464;18,3538
0,1111;0,1429;18,2120
0,1194;0,1429;17,8563
0,1194;0,1357;17,3524
0,1528;0,1357;16,2819
0,1528;0,1321;16,2067
0,1667;0,1321;15,9041
0,1667;0,1286;15,8909
0,1722;0,1286;15,8387
0,1722;0,1250;15,7934
0,1944;0,1250;15,2571
0,1944;0,1179;15,1037
0,2028;0,1179;14,9371
0,2028;0,1143;14,8623
0,2111;0,1143;14,6820
0,2111;0,1107;14,6449
0,2222;0,1107;14,4005
0,2222;0,1071;14,1746
0,2444;0,1071;13,7441
0,2444;0,1036;13,6477
0,2944;0,1036;12,4034
0,2944;0,1000;12,3061
0,2972;0,1000;12,2477
0,2972;0,0964;12,2215
0,3778;0,0964;11,0770
0,3778;0,0929;11,0653
0,4556;0,0929;9,6405
0,4556;0,0857;9,3734
0,4889;0,0857;8,6664
0,4889;0,0821;8,6286
0,4944;0,0821;8,5350
0,4944;0,0750;8,5273
0,5028;0,0750;8,0991
0,5028;0,0714;8,0308
0,5167;0,0714;7,1990
0,5167;0,0679;6,9512
0,5222;0,0679;6,4193
0,5222;0,0643;6,4003
1,0000;0,0643;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
