EER;FMR;FNMR;THR;GDTHR;GAngTHR;MtiaCTHR;;;;;;;;
23,8889;0;0,477777778;0,012;6;20;2;;;;;;;;
23,8889;0;0,477777778;0,012;6;20;4;;;;;;;;
23,8889;0;0,477777778;0,012;6;20;6;;;;;;;;
24,0278;0;0,480555556;0,016;8;10;2;;;;;;;;
24,0278;0;0,480555556;0,016;8;10;4;;;;;;;;
24,0278;0;0,480555556;0,016;8;10;6;;;;;;;;
24,1667;0;0,483333333;0,012;6;20;8;;;;;;;;
24,3056;0;0,486111111;0,016;8;10;8;;;;;;;;
24,7222;0;0,494444444;0,012;6;40;10;;;;;;;;
24,7222;0;0,494444444;0,012;6;50;10;;;;;;;;
24,7222;0;0,494444444;0,012;6;60;10;;;;;;;;
24,8611;0;0,497222222;0,012;6;30;10;;;;;;;;
25,2778;0;0,505555556;0,012;6;20;10;;;;;;;;
25,2778;0;0,505555556;0,016;8;10;10;;;;;;;;
25,8333;0;0,516666667;0,012;6;10;2;;;;;;;;
25,8333;0;0,516666667;0,012;6;10;4;;;;;;;;
25,8333;0;0,516666667;0,012;6;10;6;;;;;;;;
25,9722;0;0,519444444;0,016;6;50;2;;;;;;;;
25,9722;0;0,519444444;0,016;6;50;4;;;;;;;;
25,9722;0;0,519444444;0,016;6;50;6;;;;;;;;
25,9722;0;0,519444444;0,016;6;60;2;;;;;;;;
25,9722;0;0,519444444;0,016;6;60;4;;;;;;;;
25,9722;0;0,519444444;0,016;6;60;6;;;;;;;;
26,1111;0;0,522222222;0,012;6;10;8;;;;;;;;
26,25;0;0,525;0,016;6;40;2;;;;;;;;
26,25;0;0,525;0,016;6;40;4;;;;;;;;
26,25;0;0,525;0,016;6;40;6;;;;;;;;
26,25;0;0,525;0,016;6;50;8;;;;;;;;
26,25;0;0,525;0,016;6;60;8;;;;;;;;
26,3889;0;0,527777778;0,016;6;30;2;;;;;;;;
26,3889;0;0,527777778;0,016;6;30;4;;;;;;;;
26,3889;0;0,527777778;0,016;6;30;6;;;;;;;;
26,5278;0;0,530555556;0,016;6;20;2;;;;;;;;
26,5278;0;0,530555556;0,016;6;20;4;;;;;;;;
26,5278;0;0,530555556;0,016;6;20;6;;;;;;;;
26,5278;0;0,530555556;0,016;6;40;8;;;;;;;;
26,6667;0;0,533333333;0,016;6;30;8;;;;;;;;
26,8056;0;0,536111111;0,016;6;20;8;;;;;;;;
27,2222;0;0,544444444;0,012;6;10;10;;;;;;;;
27,3611;0;0,547222222;0,016;6;50;10;;;;;;;;
27,3611;0;0,547222222;0,016;6;60;10;;;;;;;;
27,6389;0;0,552777778;0,008;4;40;2;;;;;;;;
27,6389;0;0,552777778;0,008;4;50;2;;;;;;;;
27,6389;0;0,552777778;0,008;4;60;2;;;;;;;;
27,6389;0;0,552777778;0,016;6;40;10;;;;;;;;
27,7778;0;0,555555556;0,008;4;30;2;;;;;;;;
27,7778;0;0,555555556;0,008;4;40;4;;;;;;;;
27,7778;0;0,555555556;0,008;4;50;4;;;;;;;;
27,7778;0;0,555555556;0,008;4;60;4;;;;;;;;
27,7778;0;0,555555556;0,016;6;30;10;;;;;;;;
27,9167;0;0,558333333;0,008;4;30;4;;;;;;;;
27,9167;0;0,558333333;0,008;4;40;6;;;;;;;;
27,9167;0;0,558333333;0,008;4;50;6;;;;;;;;
27,9167;0;0,558333333;0,008;4;60;6;;;;;;;;
27,9167;0;0,558333333;0,016;6;20;10;;;;;;;;
28,0556;0;0,561111111;0,008;4;20;2;;;;;;;;
28,0556;0;0,561111111;0,008;4;30;6;;;;;;;;
28,1944;0;0,563888889;0,008;4;20;4;;;;;;;;
