EER;FMR;FNMR;THR;GDTHR;GAngTHR;MtiaCTHR;;;;;;;;
34,5833;0;0,691666667;0,012;6;50;8;;;;;;;;
34,5833;0;0,691666667;0,012;6;50;10;;;;;;;;
34,7222;0;0,694444444;0,012;6;40;8;;;;;;;;
34,7222;0;0,694444444;0,012;6;40;10;;;;;;;;
34,8611;0;0,697222222;0,012;6;20;8;;;;;;;;
34,8611;0;0,697222222;0,012;6;20;10;;;;;;;;
34,8611;0;0,697222222;0,012;6;30;8;;;;;;;;
34,8611;0;0,697222222;0,012;6;30;10;;;;;;;;
35,4167;0;0,708333333;0,016;8;10;8;;;;;;;;
35,4167;0;0,708333333;0,016;8;10;10;;;;;;;;
35,8333;0;0,716666667;0,012;6;10;4;;;;;;;;
35,8333;0;0,716666667;0,012;6;10;6;;;;;;;;
35,8333;0;0,716666667;0,012;6;10;8;;;;;;;;
35,8333;0;0,716666667;0,012;6;10;10;;;;;;;;
35,9722;0;0,719444444;0,008;4;30;8;;;;;;;;
35,9722;0;0,719444444;0,008;4;30;10;;;;;;;;
35,9722;0;0,719444444;0,008;4;40;8;;;;;;;;
35,9722;0;0,719444444;0,008;4;40;10;;;;;;;;
35,9722;0;0,719444444;0,008;4;50;8;;;;;;;;
35,9722;0;0,719444444;0,008;4;50;10;;;;;;;;
35,9722;0;0,719444444;0,008;4;60;8;;;;;;;;
35,9722;0;0,719444444;0,008;4;60;10;;;;;;;;
36,1111;0;0,722222222;0,016;6;20;2;;;;;;;;
36,1111;0;0,722222222;0,016;6;20;4;;;;;;;;
36,1111;0;0,722222222;0,016;6;20;6;;;;;;;;
36,1111;0;0,722222222;0,016;6;20;8;;;;;;;;
36,1111;0;0,722222222;0,016;6;20;10;;;;;;;;
36,1111;0;0,722222222;0,016;6;30;2;;;;;;;;
36,1111;0;0,722222222;0,016;6;30;4;;;;;;;;
36,1111;0;0,722222222;0,016;6;30;6;;;;;;;;
36,1111;0;0,722222222;0,016;6;30;8;;;;;;;;
36,1111;0;0,722222222;0,016;6;30;10;;;;;;;;
36,1111;0;0,722222222;0,016;6;40;2;;;;;;;;
36,1111;0;0,722222222;0,016;6;40;4;;;;;;;;
36,1111;0;0,722222222;0,016;6;40;6;;;;;;;;
36,1111;0;0,722222222;0,016;6;40;8;;;;;;;;
36,1111;0;0,722222222;0,016;6;40;10;;;;;;;;
36,1111;0;0,722222222;0,016;6;50;2;;;;;;;;
36,1111;0;0,722222222;0,016;6;50;4;;;;;;;;
36,1111;0;0,722222222;0,016;6;50;6;;;;;;;;
36,1111;0;0,722222222;0,016;6;50;8;;;;;;;;
36,1111;0;0,722222222;0,016;6;50;10;;;;;;;;
36,1111;0;0,722222222;0,016;6;60;2;;;;;;;;
