EER;FMR;FNMR;THR;GDTHR;GAngTHRLDTHR;LAngTHR;;;;;;;;;;;;
11,9444;0;0,238888889;30;12;30;12;50;;;;;;;;;;;
12,5;0;0,25;30;12;50;8;50;;;;;;;;;;;
13,1944;0;0,263888889;30;12;30;8;50;;;;EER;FMR;FNMR;THR;GDTHR;GAngTHR;LDTHR;LAngTHR
13,6111;0;0,272222222;30;12;30;12;30;;;FMR = 0;11,9444;0;0,238888889;30;12;30;12;50
13,8889;0;0,277777778;30;12;50;8;30;;;FMR > 0;26,6667;0,002777778;0,530555556;10;8;10;12;10
15;0;0,3;30;12;30;8;30;;;;;;;;;;;
18,75;0;0,375;30;12;50;4;50;;;Matches;total;174960;;;;;;
19,8611;0;0,397222222;30;12;50;4;30;;;1233;;;;;;;;
20,2778;0;0,405555556;30;12;30;4;50;;;;;;;;;;;
20,2778;0;0,405555556;30;8;50;12;50;;;average match;0,007047325;;;;;;;
20,6944;0;0,413888889;30;8;50;12;30;;;;;;;;;;;
20,8333;0;0,416666667;30;8;30;12;50;;;;;;;;;;;
20,8333;0;0,416666667;30;12;30;4;30;;;;;;;;;;;
21,1111;0;0,422222222;30;8;50;8;50;;;;;;;;;;;
21,3889;0;0,427777778;30;8;30;12;30;;;;;;;;;;;
21,5278;0;0,430555556;30;8;50;8;30;;;;;;;;;;;
21,6667;0;0,433333333;30;8;30;8;50;;;;;;;;;;;
22,3611;0;0,447222222;30;8;30;8;30;;;;;;;;;;;
24,1667;0;0,483333333;30;12;10;12;50;;;;;;;;;;;
24,5833;0;0,491666667;30;12;10;12;30;;;;;;;;;;;
24,8611;0;0,497222222;30;12;10;8;50;;;;;;;;;;;
25,5556;0;0,511111111;30;12;10;8;30;;;;;;;;;;;
25,5556;0;0,511111111;30;8;50;4;30;;;;;;;;;;;
25,5556;0;0,511111111;30;8;50;4;50;;;;;;;;;;;
26,25;0;0,525;30;8;30;4;30;;;;;;;;;;;
26,25;0;0,525;30;8;30;4;50;;;;;;;;;;;
27,2222;0;0,544444444;30;12;50;12;10;;;;;;;;;;;
27,3611;0;0,547222222;30;12;50;8;10;;;;;;;;;;;
27,5;0;0,55;30;12;30;12;10;;;;;;;;;;;
27,6389;0;0,552777778;30;12;30;8;10;;;;;;;;;;;
27,9167;0;0,558333333;30;12;10;4;50;;;;;;;;;;;
28,0556;0;0,561111111;30;12;10;4;30;;;;;;;;;;;
29,5833;0;0,591666667;50;12;50;12;30;;;;;;;;;;;
29,5833;0;0,591666667;50;12;50;12;50;;;;;;;;;;;
29,8611;0;0,597222222;30;8;10;12;50;;;;;;;;;;;
29,8611;0;0,597222222;50;12;50;8;50;;;;;;;;;;;
30,1389;0;0,602777778;30;8;10;12;30;;;;;;;;;;;
30,1389;0;0,602777778;30;12;50;4;10;;;;;;;;;;;
30,2778;0;0,605555556;50;12;50;8;30;;;;;;;;;;;
30,4167;0;0,608333333;30;8;10;8;50;;;;;;;;;;;
30,4167;0;0,608333333;30;12;30;4;10;;;;;;;;;;;
30,5556;0;0,611111111;30;8;50;12;10;;;;;;;;;;;
30,6944;0;0,613888889;30;8;10;8;30;;;;;;;;;;;
30,8333;0;0,616666667;50;12;30;8;50;;;;;;;;;;;
30,8333;0;0,616666667;50;12;30;12;50;;;;;;;;;;;
30,9722;0;0,619444444;30;12;10;12;10;;;;;;;;;;;
30,9722;0;0,619444444;30;8;30;12;10;;;;;;;;;;;
30,9722;0;0,619444444;30;8;50;8;10;;;;;;;;;;;
30,9722;0;0,619444444;50;12;30;12;30;;;;;;;;;;;
