EER;FMR;FNMR;THR;GDTHR;GAngTHR;LDTHR;LAngTHR;MtiaCount;;;;;;;;;;;
22,9167;0;0,458333333;0,02;8;10;8;30;4;;;;;;;;;;;
23,0556;0;0,461111111;0,02;8;30;12;50;8;;;;;;;;;;;
23,0556;0;0,461111111;0,03;8;30;12;50;8;;;;;;;;;;;
23,0556;0;0,461111111;0,04;12;10;8;50;4;;;;;;;;;;;
23,1944;0;0,463888889;0,04;12;10;12;30;4;;;;;;;;;;;
23,3333;0;0,466666667;0,03;8;10;8;50;4;;;;;;;;;;;
23,4722;0;0,469444444;0,02;12;50;8;30;8;;;;;;;;;;;
23,4722;0;0,469444444;0,04;8;50;12;50;8;;;;;;;;;;;
23,6111;0;0,472222222;0,04;8;30;12;50;8;;;;;;;;;;;
23,75;0;0,475;0,02;12;30;8;30;8;;;;;;;;;;;
23,8889;0;0,477777778;0,03;8;10;12;30;4;;;;;;;;;;;
23,8889;0;0,477777778;0,03;12;50;8;30;8;;;;;;;;;;;
24,0278;0;0,480555556;0,03;8;10;8;30;4;;;;;;;;;;;
24,0278;0;0,480555556;0,04;12;10;8;30;4;;;;;;;;;;;
24,0278;0;0,480555556;0,04;12;50;8;30;8;;;;;;;;;;;
24,1667;0;0,483333333;0,03;12;30;4;50;4;;;;;;;;;;;
24,1667;0;0,483333333;0,03;12;30;8;30;8;;;;;;;;;;;
24,1667;0;0,483333333;0,03;12;50;4;50;4;;;;;;;;;;;
24,1667;0;0,483333333;0,04;12;30;8;30;8;;;;;;;;;;;
24,4444;0;0,488888889;0,02;8;30;4;50;4;;;;;;;;;;;
24,4444;0;0,488888889;0,02;8;50;4;50;4;;;;;;;;;;;
24,5833;0;0,491666667;0,02;8;30;8;50;8;;;;;;;;;;;
24,5833;0;0,491666667;0,02;8;50;8;50;8;;;;;;;;;;;
24,5833;0;0,491666667;0,03;8;30;8;50;8;;;;;;;;;;;
24,5833;0;0,491666667;0,03;8;50;8;50;8;;;;;;;;;;;
24,5833;0;0,491666667;0,04;8;10;12;50;4;;;;;;;;;;;
24,7222;0;0,494444444;0,02;12;30;4;30;4;;;;;;;;;;;
24,7222;0;0,494444444;0,02;8;50;12;30;8;;;;;;;;;;;
24,7222;0;0,494444444;0,02;12;50;4;30;4;;;;;;;;;;;
24,8611;0;0,497222222;0,02;8;30;12;30;8;;;;;;;;;;;
24,8611;0;0,497222222;0,04;8;30;8;50;8;;;;;;;;;;;
24,8611;0;0,497222222;0,04;8;50;8;50;8;;;;;;;;;;;
25,1389;0;0,502777778;0,03;8;50;12;30;8;;;;;;;;;;;
25,1389;0;0,502777778;0,04;8;10;8;50;4;;;;;;;;;;;
25,1389;0;0,502777778;0,04;8;10;12;30;4;;;;;;;;;;;
25,2778;0;0,505555556;0,03;8;30;12;30;8;;;;;;;;;;;
25,2778;0;0,505555556;0,03;8;50;4;50;4;;;;;;;;;;;
25,4167;0;0,508333333;0,02;4;30;12;50;4;;;;;;;;;;;
25,4167;0;0,508333333;0,02;4;50;12;50;4;;;;;;;;;;;
25,4167;0;0,508333333;0,03;8;30;4;50;4;;;;;;;;;;;
25,5556;0;0,511111111;0,04;8;50;12;30;8;;;;;;;;;;;
25,5556;0;0,511111111;0,04;12;50;4;50;4;;;;;;;;;;;
25,6944;0;0,513888889;0,02;8;30;4;30;4;;;;;;;;;;;
25,6944;0;0,513888889;0,02;8;50;4;30;4;;;;;;;;;;;
25,6944;0;0,513888889;0,04;8;30;12;30;8;;;;;;;;;;;
25,6944;0;0,513888889;0,04;12;30;4;50;4;;;;;;;;;;;
25,8333;0;0,516666667;0,02;4;30;8;50;4;;;;;;;;;;;
25,8333;0;0,516666667;0,02;4;50;8;50;4;;;;;;;;;;;
25,8333;0;0,516666667;0,03;12;30;4;30;4;;;;;;;;;;;
25,8333;0;0,516666667;0,03;12;50;4;30;4;;;;;;;;;;;
25,8333;0;0,516666667;0,04;8;10;8;30;4;;;;;;;;;;;
26,25;0;0,525;0,02;8;30;8;30;8;;;;;;;;;;;
26,25;0;0,525;0,02;8;50;8;30;8;;;;;;;;;;;
26,25;0;0,525;0,03;8;30;4;30;4;;;;;;;;;;;
26,25;0;0,525;0,03;8;50;4;30;4;;;;;;;;;;;
26,3889;0;0,527777778;0,02;4;30;12;30;4;;;;;;;;;;;
26,3889;0;0,527777778;0,02;4;50;12;30;4;;;;;;;;;;;
26,3889;0;0,527777778;0,03;8;30;8;30;8;;;;;;;;;;;
26,3889;0;0,527777778;0,03;8;50;8;30;8;;;;;;;;;;;
26,3889;0;0,527777778;0,04;8;50;4;50;4;;;;;;;;;;;
26,5278;0;0,530555556;0,04;8;30;4;50;4;;;;;;;;;;;
26,8056;0;0,536111111;0,04;12;30;4;30;4;;;;;;;;;;;
26,8056;0;0,536111111;0,04;12;50;4;30;4;;;;;;;;;;;
26,9444;0;0,538888889;0,02;12;10;12;50;8;;;;;;;;;;;
26,9444;0;0,538888889;0,04;8;30;8;30;8;;;;;;;;;;;
26,9444;0;0,538888889;0,04;8;50;8;30;8;;;;;;;;;;;
27,0833;0;0,541666667;0,03;12;10;12;50;8;;;;;;;;;;;
27,2222;0;0,544444444;0,02;4;30;8;30;4;;;;;;;;;;;
27,2222;0;0,544444444;0,02;4;50;8;30;4;;;;;;;;;;;
27,5;0;0,55;0,02;12;10;4;30;4;;;;;;;;;;;
27,6389;0;0,552777778;0,03;12;10;4;50;4;;;;;;;;;;;
27,6389;0;0,552777778;0,04;8;30;4;30;4;;;;;;;;;;;
27,6389;0;0,552777778;0,04;8;50;4;30;4;;;;;;;;;;;
27,7778;0;0,555555556;0,02;12;10;12;30;8;;;;;;;;;;;
27,7778;0;0,555555556;0,03;4;30;12;50;4;;;;;;;;;;;
27,7778;0;0,555555556;0,03;4;50;12;50;4;;;;;;;;;;;
27,9167;0;0,558333333;0,02;12;10;8;50;8;;;;;;;;;;;
27,9167;0;0,558333333;0,04;12;10;12;50;8;;;;;;;;;;;
28,0556;0;0,561111111;0,02;8;10;4;50;4;;;;;;;;;;;
28,0556;0;0,561111111;0,03;12;10;8;50;8;;;;;;;;;;;
28,0556;0;0,561111111;0,03;12;10;12;30;8;;;;;;;;;;;
28,0556;0;0,561111111;0,03;4;50;8;50;4;;;;;;;;;;;
28,1944;0;0,563888889;0,03;12;10;4;30;4;;;;;;;;;;;
28,1944;0;0,563888889;0,03;4;30;8;50;4;;;;;;;;;;;
28,3333;0;0,566666667;0,03;4;30;12;30;4;;;;;;;;;;;
28,3333;0;0,566666667;0,03;4;50;12;30;4;;;;;;;;;;;
28,3333;0;0,566666667;0,04;12;10;12;30;8;;;;;;;;;;;
28,4722;0;0,569444444;0,04;12;10;8;50;8;;;;;;;;;;;
28,75;0;0,575;0,02;8;10;4;30;4;;;;;;;;;;;
28,75;0;0,575;0,02;12;10;8;30;8;;;;;;;;;;;
28,75;0;0,575;0,04;12;10;4;50;4;;;;;;;;;;;
28,8889;0;0,577777778;0,02;12;30;12;50;12;;;;;;;;;;;
28,8889;0;0,577777778;0,02;12;50;12;50;12;;;;;;;;;;;
28,8889;0;0,577777778;0,03;12;10;8;30;8;;;;;;;;;;;
28,8889;0;0,577777778;0,03;12;30;12;50;12;;;;;;;;;;;
28,8889;0;0,577777778;0,03;12;50;12;50;12;;;;;;;;;;;
28,8889;0;0,577777778;0,04;12;30;12;50;12;;;;;;;;;;;
28,8889;0;0,577777778;0,04;12;50;12;50;12;;;;;;;;;;;
29,0278;0;0,580555556;0,03;4;30;8;30;4;;;;;;;;;;;
29,0278;0;0,580555556;0,03;4;50;8;30;4;;;;;;;;;;;
29,1667;0;0,583333333;0,03;8;10;4;50;4;;;;;;;;;;;
29,1667;0;0,583333333;0,04;12;10;8;30;8;;;;;;;;;;;
29,3056;0;0,586111111;0,04;12;10;4;30;4;;;;;;;;;;;
29,4444;0;0,588888889;0,02;4;10;12;50;4;;;;;;;;;;;
29,7222;0;0,594444444;0,02;8;10;12;50;8;;;;;;;;;;;
29,7222;0;0,594444444;0,02;12;30;8;50;12;;;;;;;;;;;
29,7222;0;0,594444444;0,02;12;50;8;50;12;;;;;;;;;;;
29,7222;0;0,594444444;0,03;12;30;8;50;12;;;;;;;;;;;
29,7222;0;0,594444444;0,03;12;50;8;50;12;;;;;;;;;;;
29,7222;0;0,594444444;0,04;12;30;8;50;12;;;;;;;;;;;
