TRESHOLD;EER;FMR;FNMR
0;50;1;0
3;27,2222;0,316666667;0,227777778
6;26,9444;0,308333333;0,230555556
9;26,5278;0,288888889;0,241666667
12;25;0,238888889;0,261111111
15;20,6944;0,144444444;0,269444444
18;19,7222;0,1;0,294444444
21;19,7222;0,058333333;0,336111111
24;19,3056;0,027777778;0,358333333
27;19,8611;0,005555556;0,391666667
30;21,25;0,002777778;0,422222222
