EER;FMR;FNMR;THR;GDTHR;GAngTHR;;;;;;;
31,8056;0,205555556;0,430555556;0,1;10;10;;;;;;;
32,9167;0,208333333;0,45;0,5;12;50;;;;;;;
33,0556;0,208333333;0,452777778;0,3;4;50;;;;;;;
32,9167;0,216666667;0,441666667;0,4;10;40;;;;;;;
30,6944;0,233333333;0,380555556;0,2;10;20;;;;;;;
33,0556;0,241666667;0,419444444;0,4;6;60;;;;;;;
34,5833;0,247222222;0,444444444;0,5;10;60;;;;;;;
32,2222;0,255555556;0,388888889;0,1;12;10;;;;;;;
32,9167;0,255555556;0,402777778;0,4;8;50;;;;;;;
33,4722;0,255555556;0,413888889;0,3;6;40;;;;;;;
33,3333;0,263888889;0,402777778;0,3;10;30;;;;;;;
33,1944;0,286111111;0,377777778;0,4;12;40;;;;;;;
32,0833;0,305555556;0,336111111;0,2;12;20;;;;;;;
35,2778;0,325;0,380555556;0,3;4;60;;;;;;;
32,7778;0,327777778;0,327777778;0,3;12;30;;;;;;;
34,0278;0,327777778;0,352777778;0,1;4;20;;;;;;;
36,25;0,333333333;0,391666667;0,5;12;60;;;;;;;
33,1944;0,338888889;0,325;0,2;6;30;;;;;;;
34,5833;0,355555556;0,336111111;0,4;10;50;;;;;;;
34,0278;0,358333333;0,322222222;0,3;8;40;;;;;;;
34,1667;0,358333333;0,325;0,2;4;40;;;;;;;
34,8611;0,375;0,322222222;0,4;8;60;;;;;;;
35,8333;0,402777778;0,313888889;0,3;6;50;;;;;;;
35,6944;0,441666667;0,272222222;0,4;12;50;;;;;;;
35,1389;0,452777778;0,25;0,2;8;30;;;;;;;
35,1389;0,463888889;0,238888889;0,3;10;40;;;;;;;
36,8056;0,494444444;0,241666667;0,4;10;60;;;;;;;
38,6111;0,525;0,247222222;0,1;6;20;;;;;;;
37,6389;0,530555556;0,222222222;0,3;8;50;;;;;;;
39,4444;0,541666667;0,247222222;0,3;6;60;;;;;;;
38,4722;0,558333333;0,211111111;0,3;12;40;;;;;;;
37,6389;0,561111111;0,191666667;0,2;10;30;;;;;;;
38,1944;0,563888889;0,2;0,2;6;40;;;;;;;
40,2778;0,563888889;0,241666667;0,2;4;50;;;;;;;
39,0278;0,577777778;0,202777778;0,4;12;60;;;;;;;
38,75;0,619444444;0,155555556;0,1;4;30;;;;;;;
40,1389;0,638888889;0,163888889;0,1;8;20;;;;;;;
39,8611;0,644444444;0,152777778;0,2;12;30;;;;;;;
40,4167;0,644444444;0,163888889;0,3;10;50;;;;;;;
42,5;0,655555556;0,194444444;0,2;4;60;;;;;;;
41,6667;0,666666667;0,166666667;0,3;8;60;;;;;;;
42,0833;0,694444444;0,147222222;0,2;8;40;;;;;;;
41,8056;0,697222222;0,138888889;0,3;12;50;;;;;;;
42,3611;0,711111111;0,136111111;0,1;10;20;;;;;;;
43,3333;0,727777778;0,138888889;0,2;6;50;;;;;;;
42,6389;0,736111111;0,116666667;0,3;10;60;;;;;;;
43,6111;0,752777778;0,119444444;0,1;12;20;;;;;;;
44,3056;0,761111111;0,125;0,1;6;30;;;;;;;
43,8889;0,769444444;0,108333333;0,2;10;40;;;;;;;
44,4444;0,780555556;0,108333333;0,3;12;60;;;;;;;
44,8611;0,794444444;0,102777778;0,1;4;40;;;;;;;
44,7222;0,8;0,094444444;0,2;12;40;;;;;;;
45,9722;0,819444444;0,1;0,2;6;60;;;;;;;
45,8333;0,825;0,091666667;0,1;8;30;;;;;;;
45,9722;0,825;0,094444444;0,2;8;50;;;;;;;
46,9444;0,861111111;0,077777778;0,1;10;30;;;;;;;
46,9444;0,861111111;0,077777778;0,2;10;50;;;;;;;
46,6667;0,863888889;0,069444444;0,1;4;50;;;;;;;
47,3611;0,872222222;0,075;0,1;12;30;;;;;;;
47,7778;0,875;0,080555556;0,2;8;60;;;;;;;
47,9167;0,877777778;0,080555556;0,1;6;40;;;;;;;
47,7778;0,880555556;0,075;0,2;12;50;;;;;;;
47,9167;0,894444444;0,063888889;0,1;8;40;;;;;;;
48,3333;0,897222222;0,069444444;0,2;10;60;;;;;;;
47,9167;0,902777778;0,055555556;0,1;4;60;;;;;;;
48,4722;0,913888889;0,055555556;0,1;10;40;;;;;;;
49,1667;0,913888889;0,069444444;0,2;12;60;;;;;;;
48,4722;0,916666667;0,052777778;0,1;8;50;;;;;;;
48,75;0,916666667;0,058333333;0,1;6;50;;;;;;;
48,8889;0,922222222;0,055555556;0,1;12;40;;;;;;;
48,75;0,925;0,05;0,1;6;60;;;;;;;
48,75;0,927777778;0,047222222;0,1;8;60;;;;;;;
48,8889;0,930555556;0,047222222;0,1;10;50;;;;;;;
48,8889;0,930555556;0,047222222;0,1;12;50;;;;;;;
49,0278;0,936111111;0,044444444;0,1;10;60;;;;;;;
49,0278;0,936111111;0,044444444;0,1;12;60;;;;;;;
Matches;total;129600;;;;;;;;;;
1276;;;;;;;;;;;;
