Features:; Ratha1995MinutiaeExtractor_Ratha1995SkeImgExtractor.jy
Average match time(ms):; 3,76875
EER(%):; 27,758
FMR100(%):; 65,000
FMR1000(%):; 75,000
ZeroFmr(%):; 75,000
Matcher:;MJY
FMR;FNMR;Threshold
0,0000;0,7500;22,9508
0,0028;0,7500;22,7273
0,0028;0,6964;19,0476
0,0056;0,6964;18,7500
0,0056;0,6500;17,9487
0,0139;0,6500;17,6471
0,0139;0,6179;16,2162
0,0167;0,6179;16,0714
0,0167;0,6143;16,0714
0,0194;0,6143;15,9091
0,0194;0,5786;14,8936
0,0222;0,5786;14,8148
0,0222;0,5536;14,5833
0,0250;0,5536;14,2857
0,0250;0,5143;13,7931
0,0306;0,5143;13,6364
0,0306;0,5071;13,6364
0,0472;0,5071;13,1579
0,0472;0,4929;13,1148
0,0556;0,4929;13,0435
0,0556;0,4714;12,6984
0,0750;0,4714;12,5000
0,0750;0,4429;12,5000
0,0889;0,4429;12,1951
0,0889;0,4286;12,0690
0,0917;0,4286;12,0000
0,0917;0,4250;12,0000
0,1000;0,4250;11,7647
0,1000;0,4107;11,7647
0,1028;0,4107;11,6279
0,1028;0,4036;11,5385
0,1111;0,4036;11,4754
0,1111;0,4000;11,4754
0,1194;0,4000;11,3636
0,1194;0,3929;11,3636
0,1250;0,3929;11,1111
0,1250;0,3750;10,9091
0,1278;0,3750;10,8696
0,1278;0,3714;10,8696
0,1333;0,3714;10,7692
0,1333;0,3679;10,7692
0,1556;0,3679;10,7143
0,1556;0,3607;10,7143
0,1583;0,3607;10,6383
0,1583;0,3571;10,6383
0,1639;0,3571;10,5263
0,1639;0,3536;10,5263
0,1694;0,3536;10,3448
0,1694;0,3500;10,3448
0,1722;0,3500;10,2941
0,1722;0,3464;10,2941
0,1861;0,3464;10,2041
0,1861;0,3357;10,1449
0,1944;0,3357;10,0000
0,1944;0,3321;10,0000
0,1972;0,3321;9,8361
0,1972;0,3286;9,8361
0,2111;0,3286;9,7561
0,2111;0,3214;9,7561
0,2194;0,3214;9,6154
0,2194;0,3143;9,6154
0,2417;0,3143;9,5238
0,2417;0,3036;9,5238
0,2444;0,3036;9,4340
0,2444;0,3000;9,4340
0,2583;0,3000;9,3750
0,2583;0,2964;9,3750
0,2611;0,2964;9,3023
0,2611;0,2929;9,3023
0,2639;0,2929;9,2593
0,2639;0,2893;9,2593
0,2694;0,2893;9,2308
0,2694;0,2857;9,2308
0,2944;0,2857;9,0909
0,2944;0,2679;9,0909
0,3250;0,2679;8,6957
0,3250;0,2643;8,6957
0,3333;0,2643;8,6207
0,3333;0,2607;8,6207
0,3472;0,2607;8,5714
0,3472;0,2571;8,5714
0,3667;0,2571;8,1967
0,3667;0,2536;8,1967
0,4000;0,2536;8,0000
0,4000;0,2500;8,0000
0,4056;0,2500;7,9365
0,4056;0,2464;7,9365
0,4250;0,2464;7,8947
0,4250;0,2429;7,8947
0,4306;0,2429;7,8431
0,4306;0,2357;7,8431
0,4361;0,2357;7,8125
0,4361;0,2321;7,8125
0,4694;0,2321;7,6923
0,4694;0,2179;7,6923
0,4722;0,2179;7,5472
0,4722;0,2107;7,5472
0,4833;0,2107;7,5000
0,4833;0,2000;7,5000
0,4861;0,2000;7,4074
0,4861;0,1964;7,3529
0,5056;0,1964;7,2727
0,5056;0,1857;7,2727
0,5111;0,1857;7,2464
0,5111;0,1786;7,2464
0,5472;0,1786;7,1429
0,5472;0,1750;7,1429
0,5639;0,1750;6,9767
0,5639;0,1643;6,9767
0,5694;0,1643;6,8966
0,5694;0,1607;6,8966
0,5833;0,1607;6,8182
0,5833;0,1536;6,8182
0,5917;0,1536;6,6667
0,5917;0,1429;6,6667
0,6111;0,1429;6,5574
0,6111;0,1393;6,5574
0,6333;0,1393;6,5217
0,6333;0,1357;6,5217
0,6389;0,1357;6,3830
0,6389;0,1250;6,3830
0,6583;0,1250;6,3492
0,6583;0,1143;6,3492
0,6833;0,1143;6,2500
0,6833;0,1107;6,2500
0,6889;0,1107;6,1538
0,6889;0,1071;6,1538
0,7250;0,1071;5,8824
0,7250;0,1036;5,8824
0,7306;0,1036;5,7971
0,7306;0,0964;5,7971
0,7444;0,0964;5,7692
0,7444;0,0786;5,7692
0,7583;0,0786;5,6604
0,7583;0,0679;5,6604
0,7722;0,0679;5,5556
0,7722;0,0643;5,5556
0,7806;0,0643;5,4545
0,7806;0,0607;5,4545
0,8028;0,0607;5,3333
0,8028;0,0536;5,3333
0,8333;0,0536;5,1724
0,8333;0,0464;5,1724
0,8417;0,0464;5,0000
0,8417;0,0429;5,0000
0,8722;0,0429;4,9180
0,8722;0,0357;4,9180
0,8917;0,0357;4,7619
0,8917;0,0286;4,7619
0,9111;0,0286;4,6154
0,9111;0,0143;4,6154
0,9139;0,0143;4,5455
0,9139;0,0107;4,5455
0,9278;0,0107;4,4118
0,9278;0,0071;4,4118
0,9528;0,0071;4,1667
0,9528;0,0036;4,1667
0,9833;0,0036;3,1746
0,9833;0,0000;3,1746
1,0000;0,0000;3,0769
1,0000;0,0000;3,0769
1,0000;0,0000;3,0769
