Features:; Ratha1995MinutiaeExtractor(4).mtp
Average match time(ms):; 0,79688
EER(%):; 17,183
FMR100(%):; 35,000
FMR1000(%):; 60,000
ZeroFmr(%):; 60,000
Matcher:;M3gl
FMR;FNMR;Threshold
0,0000;0,6000;0,0779
0,0028;0,6000;0,0756
0,0028;0,4964;0,0514
0,0056;0,4964;0,0511
0,0056;0,4214;0,0342
0,0083;0,4214;0,0341
0,0083;0,3500;0,0277
0,0111;0,3500;0,0277
0,0111;0,3071;0,0234
0,0139;0,3071;0,0221
0,0139;0,3000;0,0217
0,0167;0,3000;0,0217
0,0167;0,2964;0,0214
0,0222;0,2964;0,0208
0,0222;0,2929;0,0206
0,0278;0,2929;0,0204
0,0278;0,2857;0,0198
0,0361;0,2857;0,0196
0,0361;0,2821;0,0195
0,0389;0,2821;0,0189
0,0389;0,2786;0,0189
0,0417;0,2786;0,0186
0,0417;0,2679;0,0182
0,0528;0,2679;0,0178
0,0528;0,2571;0,0173
0,0611;0,2571;0,0164
0,0611;0,2536;0,0163
0,0639;0,2536;0,0162
0,0639;0,2429;0,0158
0,0694;0,2429;0,0154
0,0694;0,2393;0,0154
0,0750;0,2393;0,0150
0,0750;0,2321;0,0148
0,0833;0,2321;0,0146
0,0833;0,2286;0,0145
0,0972;0,2286;0,0142
0,0972;0,2250;0,0141
0,1000;0,2250;0,0141
0,1000;0,2214;0,0134
0,1028;0,2214;0,0134
0,1028;0,2143;0,0131
0,1139;0,2143;0,0124
0,1139;0,2107;0,0121
0,1167;0,2107;0,0121
0,1167;0,2000;0,0115
0,1250;0,2000;0,0115
0,1250;0,1929;0,0112
0,1333;0,1929;0,0108
0,1333;0,1857;0,0106
0,1583;0,1857;0,0100
0,1583;0,1821;0,0100
0,1722;0,1821;0,0098
0,1722;0,1714;0,0096
0,1889;0,1714;0,0093
0,1889;0,1679;0,0092
0,1917;0,1679;0,0091
0,1917;0,1643;0,0091
0,1972;0,1643;0,0089
0,1972;0,1607;0,0089
0,2000;0,1607;0,0089
0,2000;0,1571;0,0088
0,2056;0,1571;0,0087
0,2056;0,1536;0,0087
0,2194;0,1536;0,0085
0,2194;0,1464;0,0084
0,2333;0,1464;0,0081
0,2333;0,1429;0,0081
0,2556;0,1429;0,0079
0,2556;0,1393;0,0079
0,2667;0,1393;0,0078
0,2667;0,1357;0,0077
0,2806;0,1357;0,0076
0,2806;0,1321;0,0076
0,3139;0,1321;0,0072
0,3139;0,1286;0,0072
0,3167;0,1286;0,0071
0,3167;0,1250;0,0071
0,3333;0,1250;0,0068
0,3333;0,1214;0,0068
0,3472;0,1214;0,0066
0,3472;0,1179;0,0066
0,3972;0,1179;0,0063
0,3972;0,1143;0,0063
0,4028;0,1143;0,0063
0,4028;0,1107;0,0062
0,4306;0,1107;0,0060
0,4306;0,1071;0,0060
0,4694;0,1071;0,0057
0,4694;0,1036;0,0057
0,4806;0,1036;0,0056
0,4806;0,1000;0,0056
0,4861;0,1000;0,0056
0,4861;0,0964;0,0056
0,5222;0,0964;0,0051
0,5222;0,0929;0,0051
0,5250;0,0929;0,0050
0,5250;0,0857;0,0050
0,5556;0,0857;0,0048
0,5556;0,0821;0,0048
0,5583;0,0821;0,0048
0,5583;0,0786;0,0048
0,5611;0,0786;0,0048
0,5611;0,0750;0,0047
0,5917;0,0750;0,0045
0,5917;0,0714;0,0045
0,6000;0,0714;0,0043
0,6000;0,0679;0,0043
0,6222;0,0679;0,0041
0,6222;0,0643;0,0041
0,6250;0,0643;0,0040
0,6250;0,0571;0,0039
0,6472;0,0571;0,0037
0,6472;0,0536;0,0037
0,6528;0,0536;0,0036
0,6528;0,0500;0,0036
0,6694;0,0500;0,0034
0,6694;0,0464;0,0034
0,6778;0,0464;0,0034
0,6778;0,0429;0,0033
0,6972;0,0429;0,0031
0,6972;0,0393;0,0031
0,7083;0,0393;0,0030
0,7083;0,0286;0,0028
0,7222;0,0286;0,0026
0,7222;0,0250;0,0026
0,7250;0,0250;0,0026
0,7250;0,0214;0,0024
1,0000;0,0214;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
