Features:; Ratha1995MinutiaeExtractor_Ratha1995OrImgExtractor.tk
Average match time(ms):; 4,18281
EER(%):; 19,683
FMR100(%):; 54,286
FMR1000(%):; 82,143
ZeroFmr(%):; 82,143
Matcher:;TK
FMR;FNMR;Threshold
0,0000;0,8214;0,0286
0,0028;0,8214;0,0285
0,0028;0,7607;0,0240
0,0056;0,7607;0,0240
0,0056;0,7321;0,0198
0,0083;0,7321;0,0197
0,0083;0,5429;0,0118
0,0111;0,5429;0,0115
0,0111;0,4821;0,0090
0,0139;0,4821;0,0089
0,0139;0,4750;0,0087
0,0167;0,4750;0,0085
0,0167;0,4714;0,0081
0,0194;0,4714;0,0080
0,0194;0,4536;0,0073
0,0222;0,4536;0,0072
0,0222;0,4464;0,0071
0,0278;0,4464;0,0069
0,0278;0,4321;0,0067
0,0306;0,4321;0,0066
0,0306;0,4071;0,0057
0,0333;0,4071;0,0057
0,0333;0,3929;0,0054
0,0417;0,3929;0,0052
0,0417;0,3893;0,0052
0,0444;0,3893;0,0052
0,0444;0,3786;0,0050
0,0472;0,3786;0,0049
0,0472;0,3750;0,0049
0,0528;0,3750;0,0048
0,0528;0,3571;0,0046
0,0556;0,3571;0,0046
0,0556;0,3536;0,0044
0,0611;0,3536;0,0043
0,0611;0,3464;0,0041
0,0667;0,3464;0,0041
0,0667;0,3357;0,0039
0,0694;0,3357;0,0039
0,0694;0,3286;0,0038
0,0722;0,3286;0,0038
0,0722;0,3179;0,0037
0,0833;0,3179;0,0035
0,0833;0,3143;0,0035
0,0861;0,3143;0,0035
0,0861;0,3036;0,0034
0,0889;0,3036;0,0033
0,0889;0,3000;0,0033
0,0944;0,3000;0,0033
0,0944;0,2929;0,0032
0,0972;0,2929;0,0032
0,0972;0,2857;0,0031
0,1056;0,2857;0,0031
0,1056;0,2821;0,0031
0,1111;0,2821;0,0031
0,1111;0,2786;0,0030
0,1306;0,2786;0,0029
0,1306;0,2714;0,0029
0,1333;0,2714;0,0029
0,1333;0,2571;0,0028
0,1361;0,2571;0,0028
0,1361;0,2536;0,0028
0,1556;0,2536;0,0026
0,1556;0,2357;0,0026
0,1694;0,2357;0,0025
0,1694;0,2321;0,0025
0,1806;0,2321;0,0025
0,1806;0,2286;0,0025
0,1833;0,2286;0,0024
0,1833;0,2107;0,0024
0,1917;0,2107;0,0024
0,1917;0,2071;0,0023
0,1944;0,2071;0,0023
0,1944;0,2000;0,0023
0,1972;0,2000;0,0023
0,1972;0,1964;0,0023
0,2056;0,1964;0,0022
0,2056;0,1929;0,0022
0,2111;0,1929;0,0022
0,2111;0,1893;0,0022
0,2278;0,1893;0,0021
0,2278;0,1857;0,0021
0,2361;0,1857;0,0021
0,2361;0,1786;0,0021
0,2444;0,1786;0,0020
0,2444;0,1750;0,0020
0,2472;0,1750;0,0020
0,2472;0,1714;0,0020
0,2611;0,1714;0,0019
0,2611;0,1679;0,0019
0,2833;0,1679;0,0018
0,2833;0,1607;0,0018
0,2917;0,1607;0,0017
0,2917;0,1571;0,0017
0,2972;0,1571;0,0017
0,2972;0,1536;0,0017
0,3028;0,1536;0,0017
0,3028;0,1464;0,0017
0,3139;0,1464;0,0017
0,3139;0,1429;0,0017
0,3167;0,1429;0,0017
0,3167;0,1357;0,0017
0,3250;0,1357;0,0016
0,3250;0,1321;0,0016
0,3306;0,1321;0,0016
0,3306;0,1250;0,0016
0,3389;0,1250;0,0016
0,3389;0,1214;0,0016
0,3472;0,1214;0,0016
0,3472;0,1179;0,0016
0,3556;0,1179;0,0015
0,3556;0,1143;0,0015
0,3611;0,1143;0,0015
0,3611;0,1107;0,0015
0,3750;0,1107;0,0014
0,3750;0,1071;0,0014
0,3889;0,1071;0,0013
0,3889;0,1000;0,0013
0,4278;0,1000;0,0013
0,4278;0,0929;0,0013
0,5167;0,0929;0,0010
0,5167;0,0893;0,0010
0,5306;0,0893;0,0010
0,5306;0,0821;0,0010
0,5722;0,0821;0,0009
0,5722;0,0750;0,0008
0,5889;0,0750;0,0008
0,5889;0,0714;0,0008
0,6028;0,0714;0,0008
0,6028;0,0679;0,0008
0,6167;0,0679;0,0007
0,6167;0,0643;0,0007
0,6222;0,0643;0,0007
0,6222;0,0607;0,0007
0,6528;0,0607;0,0007
0,6528;0,0571;0,0007
0,7028;0,0571;0,0006
0,7028;0,0536;0,0006
0,7056;0,0536;0,0006
0,7056;0,0500;0,0006
0,7111;0,0500;0,0006
0,7111;0,0464;0,0006
0,7194;0,0464;0,0006
0,7194;0,0429;0,0006
0,7333;0,0429;0,0006
0,7333;0,0393;0,0006
0,7889;0,0393;0,0005
0,7889;0,0357;0,0005
0,8167;0,0357;0,0004
0,8167;0,0321;0,0004
0,8278;0,0321;0,0004
0,8278;0,0286;0,0004
0,8583;0,0286;0,0004
0,8583;0,0250;0,0004
0,8694;0,0250;0,0004
0,8694;0,0214;0,0003
0,8778;0,0214;0,0003
0,8778;0,0179;0,0003
0,9333;0,0179;0,0002
0,9333;0,0143;0,0002
0,9528;0,0143;0,0002
0,9528;0,0107;0,0002
1,0000;0,0107;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
