Features:; Delaunay(Ratha1995MinutiaeExtractor).mtp
Average match time(ms):; 1,74063
EER(%):; 13,730
FMR100(%):; 33,214
FMR1000(%):; 39,643
ZeroFmr(%):; 39,643
Matcher:;MPN
FMR;FNMR;Threshold
0,0000;0,3964;26,9660
0,0056;0,3964;26,8373
0,0056;0,3500;24,6647
0,0083;0,3500;24,6183
0,0083;0,3321;23,8919
0,0139;0,3321;23,7759
0,0139;0,3286;23,5864
0,0194;0,3286;23,1793
0,0194;0,3214;22,9836
0,0222;0,3214;22,9416
0,0222;0,3071;22,2222
0,0250;0,3071;22,0479
0,0250;0,2964;21,7855
0,0278;0,2964;21,7479
0,0278;0,2857;21,1702
0,0306;0,2857;21,0675
0,0306;0,2786;21,0042
0,0333;0,2786;20,8167
0,0333;0,2750;20,5879
0,0361;0,2750;20,5129
0,0361;0,2714;20,4998
0,0389;0,2714;20,4302
0,0389;0,2679;20,3859
0,0444;0,2679;20,1008
0,0444;0,2643;20,0881
0,0500;0,2643;20,0033
0,0500;0,2464;19,3560
0,0528;0,2464;19,1663
0,0528;0,2393;18,9178
0,0556;0,2393;18,9151
0,0556;0,2357;18,8982
0,0583;0,2357;18,8713
0,0583;0,2179;18,6097
0,0694;0,2179;18,2203
0,0694;0,2107;17,9969
0,0778;0,2107;17,6777
0,0778;0,2036;17,4078
0,0806;0,2036;17,3205
0,0806;0,1893;16,8034
0,0833;0,1893;16,5431
0,0833;0,1821;16,3663
0,0889;0,1821;16,2483
0,0889;0,1786;16,2221
0,0917;0,1786;16,2022
0,0917;0,1714;16,1394
0,1000;0,1714;15,9901
0,1000;0,1643;15,5902
0,1028;0,1643;15,5594
0,1028;0,1607;15,5523
0,1056;0,1607;15,5126
0,1056;0,1571;15,3930
0,1306;0,1571;14,6579
0,1306;0,1429;14,3309
0,1333;0,1429;14,3126
0,1333;0,1393;14,3019
0,1389;0,1393;14,2451
0,1389;0,1357;14,1754
0,1417;0,1357;14,1711
0,1417;0,1286;13,9876
0,1500;0,1286;13,8539
0,1500;0,1250;13,8343
0,1611;0,1250;13,7505
0,1611;0,1214;13,7361
0,2056;0,1214;12,7775
0,2056;0,1179;12,5160
0,2111;0,1179;12,4394
0,2111;0,1036;12,0491
0,2167;0,1036;11,8771
0,2167;0,1000;11,7720
0,2472;0,1000;11,1283
0,2472;0,0964;10,9728
0,2528;0,0964;10,7933
0,2528;0,0929;10,7280
0,2639;0,0929;10,5316
0,2639;0,0893;10,5290
0,2694;0,0893;10,3975
0,2694;0,0857;10,3944
0,2861;0,0857;10,1956
0,2861;0,0821;10,0167
0,3194;0,0821;9,5491
0,3194;0,0786;9,5443
0,3917;0,0786;8,3045
0,3917;0,0750;8,1349
0,4361;0,0750;6,6932
0,4361;0,0714;6,6815
0,4750;0,0714;4,9629
0,4750;0,0679;4,7088
1,0000;0,0679;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
