Features:; Ratha1995MinutiaeExtractor.pn
Average match time(ms):; 5,96563
EER(%):; 30,933
FMR100(%):; 50,000
FMR1000(%):; 55,714
ZeroFmr(%):; 55,714
Matcher:;PN
FMR;FNMR;Threshold
0,0000;0,5571;22,5075
0,0028;0,5571;22,4300
0,0028;0,5250;20,1802
0,0056;0,5250;20,1347
0,0056;0,5143;18,9178
0,0083;0,5143;18,2203
0,0083;0,5000;16,3903
0,0111;0,5000;16,1165
0,0111;0,4929;16,0128
0,0139;0,4929;15,9901
0,0139;0,4893;15,9719
0,0194;0,4893;15,6813
0,0194;0,4786;15,3930
0,0278;0,4786;14,8608
0,0278;0,4750;14,8461
0,0500;0,4750;13,7940
0,0500;0,4714;13,6201
0,0583;0,4714;13,1590
0,0583;0,4679;13,1590
0,0611;0,4679;12,9881
0,0611;0,4643;12,9430
0,0667;0,4643;12,7920
0,0667;0,4607;12,5988
0,0722;0,4607;12,4214
0,0722;0,4571;12,4073
0,0778;0,4571;11,6248
0,0778;0,4536;11,6160
0,0806;0,4536;11,6003
0,0806;0,4500;11,5133
0,0833;0,4500;11,4286
0,0833;0,4357;10,9109
0,1000;0,4357;10,5263
0,1000;0,4286;10,4530
0,1056;0,4286;10,4006
0,1056;0,4214;10,1274
0,1111;0,4214;9,9258
0,1111;0,4179;9,8954
0,1139;0,4179;9,8833
0,1139;0,4107;9,7609
0,1194;0,4107;9,7561
0,1194;0,4071;9,6028
0,1333;0,4071;9,4222
0,1333;0,4036;9,3495
0,1361;0,4036;9,3205
0,1361;0,4000;9,1885
0,1556;0,4000;8,3462
0,1556;0,3964;8,3406
0,1667;0,3964;8,0978
0,1667;0,3929;8,0875
0,1806;0,3929;7,9388
0,1806;0,3857;7,7762
0,1889;0,3857;6,8182
0,1889;0,3786;6,5146
0,1944;0,3786;6,3888
0,1944;0,3750;6,2419
0,1972;0,3750;6,2284
0,1972;0,3714;6,2107
0,2111;0,3714;5,8587
0,2111;0,3679;5,8026
0,2194;0,3679;5,6388
0,2194;0,3643;5,6274
0,2306;0,3643;5,3452
0,2306;0,3607;5,3158
0,2389;0,3607;5,0063
0,2389;0,3571;4,6676
0,2500;0,3571;3,5007
0,2500;0,3536;3,4648
0,2528;0,3536;2,8375
0,2528;0,3500;2,8318
0,2722;0,3500;2,0391
0,2722;0,3464;1,7750
1,0000;0,3464;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
